Year,SeriesCode,GeoAreaName,Location,Value
2000,"EG_ACS_ELEC","Azerbaijan","RURAL",98.1
2000,"EG_ACS_ELEC","Azerbaijan","URBAN",99.7
2000,"EG_ACS_ELEC","Azerbaijan","ALLAREA",98.9
2001,"EG_ACS_ELEC","Azerbaijan","URBAN",99.5
2001,"EG_ACS_ELEC","Azerbaijan","RURAL",97.6
2001,"EG_ACS_ELEC","Azerbaijan","ALLAREA",98.6
2002,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2002,"EG_ACS_ELEC","Azerbaijan","URBAN",99.5
2002,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2003,"EG_ACS_ELEC","Azerbaijan","ALLAREA",98.8
2003,"EG_ACS_ELEC","Azerbaijan","URBAN",99.5
2003,"EG_ACS_ELEC","Azerbaijan","RURAL",98.1
2004,"EG_ACS_ELEC","Azerbaijan","RURAL",98.4
2004,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.0
2004,"EG_ACS_ELEC","Azerbaijan","URBAN",99.5
2005,"EG_ACS_ELEC","Azerbaijan","URBAN",99.6
2005,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.1
2005,"EG_ACS_ELEC","Azerbaijan","RURAL",98.6
2006,"EG_ACS_ELEC","Azerbaijan","RURAL",99.2
2006,"EG_ACS_ELEC","Azerbaijan","URBAN",99.8
2006,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.5
2007,"EG_ACS_ELEC","Azerbaijan","URBAN",99.7
2007,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.5
2007,"EG_ACS_ELEC","Azerbaijan","RURAL",99.2
2008,"EG_ACS_ELEC","Azerbaijan","RURAL",99.5
2008,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.7
2008,"EG_ACS_ELEC","Azerbaijan","URBAN",99.8
2009,"EG_ACS_ELEC","Azerbaijan","URBAN",99.9
2009,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.9
2009,"EG_ACS_ELEC","Azerbaijan","RURAL",99.9
2010,"EG_ACS_ELEC","Azerbaijan","RURAL",99.9
2010,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.9
2010,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2011,"EG_ACS_ELEC","Azerbaijan","ALLAREA",99.9
2011,"EG_ACS_ELEC","Azerbaijan","URBAN",99.9
2011,"EG_ACS_ELEC","Azerbaijan","RURAL",99.9
2012,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2012,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2012,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2013,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2013,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2013,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2014,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2014,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2014,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2015,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2015,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2015,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2016,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2016,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2016,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2017,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2017,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2017,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2018,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2018,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2018,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2019,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2019,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2019,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2020,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2020,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2020,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2021,"EG_ACS_ELEC","Azerbaijan","RURAL",100.0
2021,"EG_ACS_ELEC","Azerbaijan","URBAN",100.0
2012,"EG_ACS_ELEC","Costa Rica","URBAN",100.0
2013,"EG_ACS_ELEC","Costa Rica","RURAL",98.4
2013,"EG_ACS_ELEC","Costa Rica","URBAN",99.9
2013,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.6
2014,"EG_ACS_ELEC","Costa Rica","URBAN",99.7
2014,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.4
2014,"EG_ACS_ELEC","Costa Rica","RURAL",98.3
2015,"EG_ACS_ELEC","Costa Rica","RURAL",97.7
2015,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.4
2015,"EG_ACS_ELEC","Costa Rica","URBAN",99.9
2016,"EG_ACS_ELEC","Costa Rica","URBAN",99.8
2016,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.5
2016,"EG_ACS_ELEC","Costa Rica","RURAL",98.5
2021,"EG_ACS_ELEC","Azerbaijan","ALLAREA",100.0
2000,"EG_ACS_ELEC","Australia","RURAL",100.0
2000,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2000,"EG_ACS_ELEC","Australia","URBAN",100.0
2001,"EG_ACS_ELEC","Australia","RURAL",100.0
2001,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2001,"EG_ACS_ELEC","Australia","URBAN",100.0
2002,"EG_ACS_ELEC","Australia","RURAL",100.0
2002,"EG_ACS_ELEC","Australia","URBAN",100.0
2002,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2003,"EG_ACS_ELEC","Australia","RURAL",100.0
2003,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2003,"EG_ACS_ELEC","Australia","URBAN",100.0
2006,"EG_ACS_ELEC","Japan","URBAN",100.0
2007,"EG_ACS_ELEC","Japan","URBAN",100.0
2007,"EG_ACS_ELEC","Japan","RURAL",100.0
2007,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2008,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2008,"EG_ACS_ELEC","Japan","RURAL",100.0
2008,"EG_ACS_ELEC","Japan","URBAN",100.0
2009,"EG_ACS_ELEC","Japan","URBAN",100.0
2009,"EG_ACS_ELEC","Japan","RURAL",100.0
2009,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2010,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2010,"EG_ACS_ELEC","Japan","RURAL",100.0
2010,"EG_ACS_ELEC","Japan","URBAN",100.0
2000,"EG_ACS_ELEC","Albania","RURAL",100.0
2000,"EG_ACS_ELEC","Albania","ALLAREA",99.4
2000,"EG_ACS_ELEC","Albania","URBAN",96.1
2001,"EG_ACS_ELEC","Albania","URBAN",96.3
2001,"EG_ACS_ELEC","Albania","ALLAREA",99.4
2001,"EG_ACS_ELEC","Albania","RURAL",100.0
