Year,SeriesCode,GeoAreaName,Value
2003,"EG_FEC_RNEW","Costa Rica",33.3
2004,"EG_FEC_RNEW","Costa Rica",39.16
2005,"EG_FEC_RNEW","Costa Rica",41.73
2006,"EG_FEC_RNEW","Costa Rica",42.4
2007,"EG_FEC_RNEW","Costa Rica",41.18
2008,"EG_FEC_RNEW","Costa Rica",40.7
2009,"EG_FEC_RNEW","Costa Rica",40.72
2010,"EG_FEC_RNEW","Costa Rica",40.39
2011,"EG_FEC_RNEW","Costa Rica",38.02
2012,"EG_FEC_RNEW","Costa Rica",38.06
2013,"EG_FEC_RNEW","Costa Rica",37.8
2014,"EG_FEC_RNEW","Costa Rica",37.62
2015,"EG_FEC_RNEW","Costa Rica",38.33
2016,"EG_FEC_RNEW","Costa Rica",34.11
2017,"EG_FEC_RNEW","Costa Rica",33.33
2018,"EG_FEC_RNEW","Costa Rica",33.13
2019,"EG_FEC_RNEW","Costa Rica",33.42
2020,"EG_FEC_RNEW","Costa Rica",36.43
2000,"EG_FEC_RNEW","Croatia",26.76
2001,"EG_FEC_RNEW","Croatia",26.92
2002,"EG_FEC_RNEW","Croatia",24.61
2003,"EG_FEC_RNEW","Croatia",24.82
2004,"EG_FEC_RNEW","Croatia",26.56
2005,"EG_FEC_RNEW","Croatia",26.82
2006,"EG_FEC_RNEW","Croatia",25.51
2007,"EG_FEC_RNEW","Croatia",22.66
2000,"EG_FEC_RNEW","Türkiye",17.29
2001,"EG_FEC_RNEW","Türkiye",18.12
2002,"EG_FEC_RNEW","Türkiye",17.49
2003,"EG_FEC_RNEW","Türkiye",16.29
2004,"EG_FEC_RNEW","Türkiye",16.78
2005,"EG_FEC_RNEW","Türkiye",15.34
2006,"EG_FEC_RNEW","Türkiye",14.23
2007,"EG_FEC_RNEW","Türkiye",12.48
2008,"EG_FEC_RNEW","Türkiye",12.53
2009,"EG_FEC_RNEW","Türkiye",13.12
2010,"EG_FEC_RNEW","Türkiye",14.21
2011,"EG_FEC_RNEW","Türkiye",12.68
2012,"EG_FEC_RNEW","Türkiye",13.03
2013,"EG_FEC_RNEW","Türkiye",13.8
2008,"EG_FEC_RNEW","Croatia",24.14
2009,"EG_FEC_RNEW","Croatia",27.16
2010,"EG_FEC_RNEW","Croatia",29.75
2011,"EG_FEC_RNEW","Croatia",27.16
2012,"EG_FEC_RNEW","Croatia",29.4
2013,"EG_FEC_RNEW","Croatia",32.82
2014,"EG_FEC_RNEW","Croatia",33.6
2015,"EG_FEC_RNEW","Croatia",33.09
2016,"EG_FEC_RNEW","Croatia",31.83
2017,"EG_FEC_RNEW","Croatia",29.79
2018,"EG_FEC_RNEW","Croatia",32.83
2019,"EG_FEC_RNEW","Croatia",31.6
2020,"EG_FEC_RNEW","Croatia",32.37
2000,"EG_FEC_RNEW","Cyprus",3.08
2014,"EG_FEC_RNEW","Türkiye",11.51
2015,"EG_FEC_RNEW","Türkiye",13.34
2016,"EG_FEC_RNEW","Türkiye",13.23
2017,"EG_FEC_RNEW","Türkiye",11.4
2018,"EG_FEC_RNEW","Türkiye",11.83
2019,"EG_FEC_RNEW","Türkiye",14.12
2020,"EG_FEC_RNEW","Türkiye",13.72
2000,"EG_FEC_RNEW","Turkmenistan",0.1
2001,"EG_FEC_RNEW","Turkmenistan",0.1
2002,"EG_FEC_RNEW","Turkmenistan",0.09
2003,"EG_FEC_RNEW","Turkmenistan",0.08
2004,"EG_FEC_RNEW","Turkmenistan",0.08
2005,"EG_FEC_RNEW","Turkmenistan",0.08
2001,"EG_FEC_RNEW","Cyprus",3.03
2002,"EG_FEC_RNEW","Cyprus",3.16
2003,"EG_FEC_RNEW","Cyprus",3.24
2004,"EG_FEC_RNEW","Cyprus",3.29
2005,"EG_FEC_RNEW","Cyprus",3.34
2006,"EG_FEC_RNEW","Cyprus",3.5
2007,"EG_FEC_RNEW","Cyprus",4.32
2008,"EG_FEC_RNEW","Cyprus",5.45
2009,"EG_FEC_RNEW","Cyprus",6.29
2010,"EG_FEC_RNEW","Cyprus",6.5
2011,"EG_FEC_RNEW","Cyprus",7.6
2012,"EG_FEC_RNEW","Cyprus",8.6
2013,"EG_FEC_RNEW","Cyprus",9.73
2014,"EG_FEC_RNEW","Cyprus",9.49
2006,"EG_FEC_RNEW","Turkmenistan",0.09
