Year,SeriesCode,GeoAreaName,Age,Education level,Sex,Value
2011,"FB_BNK_ACCSS_OLF","Albania","15+","","BOTHSEX",14.87305
2014,"FB_BNK_ACCSS_OLF","Albania","15+","","BOTHSEX",28.65767
2017,"FB_BNK_ACCSS_OLF","Albania","15+","","BOTHSEX",26.87649
2021,"FB_BNK_ACCSS_OLF","Albania","15+","","BOTHSEX",25.78489
2011,"FB_BNK_ACCSS_OLF","Azerbaijan","15+","","BOTHSEX",12.31589
2014,"FB_BNK_ACCSS_OLF","Azerbaijan","15+","","BOTHSEX",16.91588
2017,"FB_BNK_ACCSS_OLF","Azerbaijan","15+","","BOTHSEX",21.65896
2011,"FB_BNK_ACCSS_OLF","Australia","15+","","BOTHSEX",97.83518
2014,"FB_BNK_ACCSS_OLF","Australia","15+","","BOTHSEX",99.45201
2017,"FB_BNK_ACCSS_OLF","Australia","15+","","BOTHSEX",98.56846
2021,"FB_BNK_ACCSS_OLF","Australia","15+","","BOTHSEX",97.88878
2011,"FB_BNK_ACCSS_OLF","Austria","15+","","BOTHSEX",96.04292
2014,"FB_BNK_ACCSS_OLF","Austria","15+","","BOTHSEX",94.14875
2017,"FB_BNK_ACCSS_OLF","Austria","15+","","BOTHSEX",96.38908
2021,"FB_BNK_ACCSS_OLF","Austria","15+","","BOTHSEX",100
2011,"FB_BNK_ACCSS_OLF","Armenia","15+","","BOTHSEX",11.0613
2014,"FB_BNK_ACCSS_OLF","Armenia","15+","","BOTHSEX",6.13309
2017,"FB_BNK_ACCSS_OLF","Armenia","15+","","BOTHSEX",33.23476
2021,"FB_BNK_ACCSS_OLF","Armenia","15+","","BOTHSEX",35.33479
2011,"FB_BNK_ACCSS_OLF","Belgium","15+","","BOTHSEX",95.44456
2014,"FB_BNK_ACCSS_OLF","Belgium","15+","","BOTHSEX",97.51569
2017,"FB_BNK_ACCSS_OLF","Belgium","15+","","BOTHSEX",96.96308
2021,"FB_BNK_ACCSS_OLF","Belgium","15+","","BOTHSEX",98.40418
2011,"FB_BNK_ACCSS_OLF","Bosnia and Herzegovina","15+","","BOTHSEX",41.60968
2014,"FB_BNK_ACCSS_OLF","Bosnia and Herzegovina","15+","","BOTHSEX",40.43257
2017,"FB_BNK_ACCSS_OLF","Bosnia and Herzegovina","15+","","BOTHSEX",42.97832
2021,"FB_BNK_ACCSS_OLF","Bosnia and Herzegovina","15+","","BOTHSEX",62.39568
2011,"FB_BNK_ACCSS_OLF","Bulgaria","15+","","BOTHSEX",34.68408
2014,"FB_BNK_ACCSS_OLF","Bulgaria","15+","","BOTHSEX",43.97726
2017,"FB_BNK_ACCSS_OLF","Bulgaria","15+","","BOTHSEX",51.19794
2021,"FB_BNK_ACCSS_OLF","Bulgaria","15+","","BOTHSEX",82.61126
2011,"FB_BNK_ACCSS_OLF","Belarus","15+","","BOTHSEX",29.14892
2014,"FB_BNK_ACCSS_OLF","Belarus","15+","","BOTHSEX",43.02156
2017,"FB_BNK_ACCSS_OLF","Belarus","15+","","BOTHSEX",56.66228
2011,"FB_BNK_ACCSS_OLF","Canada","15+","","BOTHSEX",94.47788
2014,"FB_BNK_ACCSS_OLF","Canada","15+","","BOTHSEX",99.80947
2017,"FB_BNK_ACCSS_OLF","Canada","15+","","BOTHSEX",99.53611
2021,"FB_BNK_ACCSS_OLF","Canada","15+","","BOTHSEX",99.25033
2011,"FB_BNK_ACCSS_OLF","Chile","15+","","BOTHSEX",28.29782
2014,"FB_BNK_ACCSS_OLF","Chile","15+","","BOTHSEX",46.55213
2017,"FB_BNK_ACCSS_OLF","Chile","15+","","BOTHSEX",58.53179
2021,"FB_BNK_ACCSS_OLF","Chile","15+","","BOTHSEX",75.6259
2011,"FB_BNK_ACCSS_OLF","China","15+","","BOTHSEX",53.64934
2014,"FB_BNK_ACCSS_OLF","China","15+","","BOTHSEX",67.49494
2017,"FB_BNK_ACCSS_OLF","China","15+","","BOTHSEX",69.10007
2021,"FB_BNK_ACCSS_OLF","China","15+","","BOTHSEX",88.70902
2011,"FB_BNK_ACCSS_OLF","Colombia","15+","","BOTHSEX",14.58647
2014,"FB_BNK_ACCSS_OLF","Colombia","15+","","BOTHSEX",24.31697
2017,"FB_BNK_ACCSS_OLF","Colombia","15+","","BOTHSEX",30.77897
2021,"FB_BNK_ACCSS_OLF","Colombia","15+","","BOTHSEX",47.08891
2011,"FB_BNK_ACCSS_OLF","Costa Rica","15+","","BOTHSEX",37.67427
2014,"FB_BNK_ACCSS_OLF","Costa Rica","15+","","BOTHSEX",51.55031
2017,"FB_BNK_ACCSS_OLF","Costa Rica","15+","","BOTHSEX",61.15957
2021,"FB_BNK_ACCSS_OLF","Costa Rica","15+","","BOTHSEX",59.50886
2011,"FB_BNK_ACCSS_OLF","Croatia","15+","","BOTHSEX",79.21049
2014,"FB_BNK_ACCSS_OLF","Croatia","15+","","BOTHSEX",77.03522
2017,"FB_BNK_ACCSS_OLF","Croatia","15+","","BOTHSEX",76.80055
2021,"FB_BNK_ACCSS_OLF","Croatia","15+","","BOTHSEX",85.3306
2011,"FB_BNK_ACCSS_OLF","Cyprus","15+","","BOTHSEX",73.90291
2014,"FB_BNK_ACCSS_OLF","Cyprus","15+","","BOTHSEX",83.87788
2017,"FB_BNK_ACCSS_OLF","Cyprus","15+","","BOTHSEX",84.96158
2021,"FB_BNK_ACCSS_OLF","Cyprus","15+","","BOTHSEX",84.66401
2011,"FB_BNK_ACCSS_OLF","Czechia","15+","","BOTHSEX",59.75077
2014,"FB_BNK_ACCSS_OLF","Czechia","15+","","BOTHSEX",65.63184
2017,"FB_BNK_ACCSS_OLF","Czechia","15+","","BOTHSEX",58.65121
2021,"FB_BNK_ACCSS_OLF","Czechia","15+","","BOTHSEX",91.2128
2011,"FB_BNK_ACCSS_OLF","Denmark","15+","","BOTHSEX",99.22107
2014,"FB_BNK_ACCSS_OLF","Denmark","15+","","BOTHSEX",100
2017,"FB_BNK_ACCSS_OLF","Denmark","15+","","BOTHSEX",99.78359
2021,"FB_BNK_ACCSS_OLF","Denmark","15+","","BOTHSEX",100
2011,"FB_BNK_ACCSS_OLF","Estonia","15+","","BOTHSEX",95.61916
2014,"FB_BNK_ACCSS_OLF","Estonia","15+","","BOTHSEX",94.58742
2017,"FB_BNK_ACCSS_OLF","Estonia","15+","","BOTHSEX",97.37621
2021,"FB_BNK_ACCSS_OLF","Estonia","15+","","BOTHSEX",98.18845
2011,"FB_BNK_ACCSS_OLF","Finland","15+","","BOTHSEX",99.15555
2014,"FB_BNK_ACCSS_OLF","Finland","15+","","BOTHSEX",100
2017,"FB_BNK_ACCSS_OLF","Finland","15+","","BOTHSEX",99.44878
2021,"FB_BNK_ACCSS_OLF","Finland","15+","","BOTHSEX",100
2011,"FB_BNK_ACCSS_OLF","France","15+","","BOTHSEX",95.40152
2014,"FB_BNK_ACCSS_OLF","France","15+","","BOTHSEX",92.29758
2017,"FB_BNK_ACCSS_OLF","France","15+","","BOTHSEX",89.1848
2021,"FB_BNK_ACCSS_OLF","France","15+","","BOTHSEX",98.83714
2011,"FB_BNK_ACCSS_OLF","Georgia","15+","","BOTHSEX",29.50124
2014,"FB_BNK_ACCSS_OLF","Georgia","15+","","BOTHSEX",30.66123
2017,"FB_BNK_ACCSS_OLF","Georgia","15+","","BOTHSEX",54.87866
2021,"FB_BNK_ACCSS_OLF","Georgia","15+","","BOTHSEX",61.66771
2011,"FB_BNK_ACCSS_OLF","Germany","15+","","BOTHSEX",98.13362
2014,"FB_BNK_ACCSS_OLF","Germany","15+","","BOTHSEX",97.60786
2017,"FB_BNK_ACCSS_OLF","Germany","15+","","BOTHSEX",99.06528
2021,"FB_BNK_ACCSS_OLF","Germany","15+","","BOTHSEX",99.94439
2011,"FB_BNK_ACCSS_OLF","Greece","15+","","BOTHSEX",71.51651
2014,"FB_BNK_ACCSS_OLF","Greece","15+","","BOTHSEX",83.16479
