Year,SeriesCode,GeoAreaName,Age,Sex,Value
2002,"SL_TLF_NEET","Albania","15-24","FEMALE",39.12
2002,"SL_TLF_NEET","Albania","15-24","BOTHSEX",41.8
2002,"SL_TLF_NEET","Albania","15-24","MALE",44.49
2005,"SL_TLF_NEET","Albania","15-24","BOTHSEX",35.19
2005,"SL_TLF_NEET","Albania","15-24","FEMALE",36.24
2005,"SL_TLF_NEET","Albania","15-24","MALE",34.14
2007,"SL_TLF_NEET","Albania","15-24","BOTHSEX",33.77
2007,"SL_TLF_NEET","Albania","15-24","FEMALE",36.74
2007,"SL_TLF_NEET","Albania","15-24","MALE",30.84
2008,"SL_TLF_NEET","Albania","15-24","FEMALE",30.84
2008,"SL_TLF_NEET","Albania","15-24","BOTHSEX",28.17
2008,"SL_TLF_NEET","Albania","15-24","MALE",25.39
2009,"SL_TLF_NEET","Albania","15-24","MALE",25.13
2009,"SL_TLF_NEET","Albania","15-24","BOTHSEX",30.73
2009,"SL_TLF_NEET","Albania","15-24","FEMALE",35.76
2010,"SL_TLF_NEET","Albania","15-24","FEMALE",33.71
2010,"SL_TLF_NEET","Albania","15-24","BOTHSEX",29.72
2010,"SL_TLF_NEET","Albania","15-24","MALE",25.84
2011,"SL_TLF_NEET","Albania","15-24","BOTHSEX",30.01
2011,"SL_TLF_NEET","Albania","15-24","FEMALE",32.52
2011,"SL_TLF_NEET","Albania","15-24","MALE",27.65
2012,"SL_TLF_NEET","Albania","15-24","FEMALE",29.69
2012,"SL_TLF_NEET","Albania","15-24","BOTHSEX",27.65
2012,"SL_TLF_NEET","Albania","15-24","MALE",25.96
2013,"SL_TLF_NEET","Albania","15-24","BOTHSEX",30.98
2013,"SL_TLF_NEET","Albania","15-24","FEMALE",32.04
2013,"SL_TLF_NEET","Albania","15-24","MALE",29.82
2014,"SL_TLF_NEET","Albania","15-24","FEMALE",32.65
2014,"SL_TLF_NEET","Albania","15-24","MALE",30.17
2014,"SL_TLF_NEET","Albania","15-24","BOTHSEX",31.39
2015,"SL_TLF_NEET","Albania","15-24","BOTHSEX",29.82
2015,"SL_TLF_NEET","Albania","15-24","FEMALE",31.28
2015,"SL_TLF_NEET","Albania","15-24","MALE",28.48
2016,"SL_TLF_NEET","Albania","15-24","MALE",27.19
2016,"SL_TLF_NEET","Albania","15-24","FEMALE",27.62
2016,"SL_TLF_NEET","Albania","15-24","BOTHSEX",27.39
2017,"SL_TLF_NEET","Albania","15-24","MALE",25.08
2017,"SL_TLF_NEET","Albania","15-24","BOTHSEX",26.23
2017,"SL_TLF_NEET","Albania","15-24","FEMALE",27.61
2000,"SL_TLF_NEET","Chile","15-24","FEMALE",30.62
2000,"SL_TLF_NEET","Chile","15-24","BOTHSEX",24.03
2000,"SL_TLF_NEET","Chile","15-24","MALE",17.55
2003,"SL_TLF_NEET","Chile","15-24","BOTHSEX",20.54
2003,"SL_TLF_NEET","Chile","15-24","MALE",14.02
2003,"SL_TLF_NEET","Chile","15-24","FEMALE",27.31
2006,"SL_TLF_NEET","Chile","15-24","BOTHSEX",19.89
2006,"SL_TLF_NEET","Chile","15-24","FEMALE",25.43
2006,"SL_TLF_NEET","Chile","15-24","MALE",14.43
