Year,SeriesCode,GeoAreaName,Age,Sex,Value
2010,"SL_TLF_CHLDEA","Albania","5-17","MALE",3.4
2010,"SL_TLF_CHLDEA","Albania","5-17","FEMALE",2.1
2010,"SL_TLF_CHLDEA","Albania","5-17","BOTHSEX",2.8
2015,"SL_TLF_CHLDEA","Armenia","5-17","BOTHSEX",3.9
2015,"SL_TLF_CHLDEA","Armenia","5-17","FEMALE",2.7
2015,"SL_TLF_CHLDEA","Armenia","5-17","MALE",4.9
2019,"SL_TLF_CHLDEA","Belarus","5-17","MALE",4.6
2019,"SL_TLF_CHLDEA","Belarus","5-17","FEMALE",3.4
2019,"SL_TLF_CHLDEA","Belarus","5-17","BOTHSEX",4
2012,"SL_TLF_CHLDEA","Chile","5-17","MALE",3.3
2012,"SL_TLF_CHLDEA","Chile","5-17","FEMALE",1.4
2012,"SL_TLF_CHLDEA","Chile","5-17","BOTHSEX",2.3
2020,"SL_TLF_CHLDEA","Colombia","5-17","BOTHSEX",4.696
2020,"SL_TLF_CHLDEA","Colombia","5-17","MALE",5.524
2020,"SL_TLF_CHLDEA","Colombia","5-17","FEMALE",3.79
2018,"SL_TLF_CHLDEA","Costa Rica","5-17","BOTHSEX",3.4
2018,"SL_TLF_CHLDEA","Costa Rica","5-17","FEMALE",2.7
2018,"SL_TLF_CHLDEA","Costa Rica","5-17","MALE",4
2015,"SL_TLF_CHLDEA","Georgia","5-17","BOTHSEX",1.5
2015,"SL_TLF_CHLDEA","Georgia","5-17","MALE",2.1
2015,"SL_TLF_CHLDEA","Georgia","5-17","FEMALE",0.9
2012,"SL_TLF_CHLDEA","India","5-17","FEMALE",3.1
2012,"SL_TLF_CHLDEA","India","5-17","BOTHSEX",4.3
2012,"SL_TLF_CHLDEA","India","5-17","MALE",5.3
2018,"SL_TLF_CHLDEA","Kyrgyzstan","5-17","FEMALE",15.6
2018,"SL_TLF_CHLDEA","Kyrgyzstan","5-17","MALE",24.2
2018,"SL_TLF_CHLDEA","Kyrgyzstan","5-17","BOTHSEX",20.1
2019,"SL_TLF_CHLDEA","Mexico","5-17","BOTHSEX",5.001
2019,"SL_TLF_CHLDEA","Mexico","5-17","MALE",1.872
2019,"SL_TLF_CHLDEA","Mexico","5-17","FEMALE",3.479
2018,"SL_TLF_CHLDEA","Montenegro","5-17","MALE",8.4
2018,"SL_TLF_CHLDEA","Montenegro","5-17","BOTHSEX",7.7
2018,"SL_TLF_CHLDEA","Montenegro","5-17","FEMALE",6.9
2019,"SL_TLF_CHLDEA","Serbia","5-17","FEMALE",6.8
2019,"SL_TLF_CHLDEA","Serbia","5-17","MALE",11.1
2019,"SL_TLF_CHLDEA","Serbia","5-17","BOTHSEX",9.1
2021,"SL_TLF_CHLDEA","Viet Nam","5-17","FEMALE",6.247
2021,"SL_TLF_CHLDEA","Viet Nam","5-17","MALE",5.171
2021,"SL_TLF_CHLDEA","Viet Nam","5-17","BOTHSEX",5.693
2019,"SL_TLF_CHLDEA","Türkiye","5-17","BOTHSEX",1.864
2019,"SL_TLF_CHLDEA","Türkiye","5-17","FEMALE",0.822
2019,"SL_TLF_CHLDEA","Türkiye","5-17","MALE",2.852
2016,"SL_TLF_CHLDEA","Turkmenistan","5-17","BOTHSEX",0.261
2016,"SL_TLF_CHLDEA","Turkmenistan","5-17","FEMALE",0.119
2016,"SL_TLF_CHLDEA","Turkmenistan","5-17","MALE",0.393
2012,"SL_TLF_CHLDEA","Ukraine","5-14","FEMALE",2.108
2012,"SL_TLF_CHLDEA","Ukraine","5-14","MALE",2.224
2012,"SL_TLF_CHLDEA","Ukraine","5-14","BOTHSEX",2.167
2019,"SL_TLF_CHLDEA","North Macedonia","5-17","FEMALE",1.6
2019,"SL_TLF_CHLDEA","North Macedonia","5-17","MALE",3.4
2019,"SL_TLF_CHLDEA","North Macedonia","5-17","BOTHSEX",2.4
2022,"SL_TLF_CHLDEA","Uzbekistan","5-17","FEMALE",14.537
2022,"SL_TLF_CHLDEA","Uzbekistan","5-17","MALE",21.084
2022,"SL_TLF_CHLDEA","Uzbekistan","5-17","BOTHSEX",17.84
2022,"SL_TLF_CHLDEA","Uzbekistan","5-17","BOTHSEX",17.84
