Year,SeriesCode,GeoAreaName,Value
2020,"DC_TOF_TRDCMDL","Spain",97.34263
2021,"DC_TOF_TRDCMDL","Spain",112.29669
2005,"DC_TOF_TRDCMDL","Sweden",131.05889
2006,"DC_TOF_TRDCMDL","Sweden",375.70067
2007,"DC_TOF_TRDCMDL","Sweden",375.90299
2008,"DC_TOF_TRDCMDL","Sweden",320.67196
2009,"DC_TOF_TRDCMDL","Sweden",379.1472
2010,"DC_TOF_TRDCMDL","Sweden",387.12922
2011,"DC_TOF_TRDCMDL","Sweden",319.15124
2012,"DC_TOF_TRDCMDL","Sweden",355.15212
2013,"DC_TOF_TRDCMDL","Sweden",458.44049
2014,"DC_TOF_TRDCMDL","Sweden",417.2773
2015,"DC_TOF_TRDCMDL","Sweden",320.49041
2016,"DC_TOF_TRDCMDL","Sweden",379.65648
2017,"DC_TOF_TRDCMDL","Sweden",420.45513
2018,"DC_TOF_TRDCMDL","Sweden",598.94335
2019,"DC_TOF_TRDCMDL","Sweden",533.91474
2020,"DC_TOF_TRDCMDL","Sweden",307.0247
2021,"DC_TOF_TRDCMDL","Sweden",403.98503
2005,"DC_TOF_TRDCMDL","Switzerland",133.29232
2006,"DC_TOF_TRDCMDL","Switzerland",264.00323
2007,"DC_TOF_TRDCMDL","Switzerland",267.42102
2008,"DC_TOF_TRDCMDL","Switzerland",327.48424
2009,"DC_TOF_TRDCMDL","Switzerland",219.09221
2010,"DC_TOF_TRDCMDL","Switzerland",323.5719
2011,"DC_TOF_TRDCMDL","Switzerland",374.00544
2012,"DC_TOF_TRDCMDL","Switzerland",287.17109
2013,"DC_TOF_TRDCMDL","Switzerland",503.21756
2014,"DC_TOF_TRDCMDL","Switzerland",424.24213
2015,"DC_TOF_TRDCMDL","Switzerland",332.0645
2016,"DC_TOF_TRDCMDL","Switzerland",385.08394
2017,"DC_TOF_TRDCMDL","Switzerland",755.97478
2018,"DC_TOF_TRDCMDL","Switzerland",313.48271
2019,"DC_TOF_TRDCMDL","Switzerland",372.66525
2020,"DC_TOF_TRDCMDL","Switzerland",436.26127
2021,"DC_TOF_TRDCMDL","Switzerland",484.48178
2005,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",371.42046
2006,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",637.64629
2007,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",482.48822
2008,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",1741.00296
2009,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",2045.7749
2010,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",1045.32232
2011,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",818.66803
2012,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",970.2517
2013,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",994.81522
2014,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",1038.83777
2015,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",1778.75174
2016,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",955.35933
2017,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",1339.87891
2018,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",742.0139
2019,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",1588.32391
2020,"DC_TOF_TRDCMDL","United Kingdom of Great Britain and Northern Ireland",1839.22942
2005,"DC_TOF_TRDCMDL","Australia",124.47685
2006,"DC_TOF_TRDCMDL","Australia",300.07768
2007,"DC_TOF_TRDCMDL","Australia",176.87569
2008,"DC_TOF_TRDCMDL","Australia",549.78079
2009,"DC_TOF_TRDCMDL","Australia",497.13149
2010,"DC_TOF_TRDCMDL","Australia",632.54875
2011,"DC_TOF_TRDCMDL","Australia",501.40819
2012,"DC_TOF_TRDCMDL","Australia",488.03403
2013,"DC_TOF_TRDCMDL","Australia",411.78658
2014,"DC_TOF_TRDCMDL","Australia",373.39009
2015,"DC_TOF_TRDCMDL","Australia",453.18118
2016,"DC_TOF_TRDCMDL","Australia",434.41355
2017,"DC_TOF_TRDCMDL","Australia",470.812
2018,"DC_TOF_TRDCMDL","Australia",472.95298
2019,"DC_TOF_TRDCMDL","Australia",451.13712
2020,"DC_TOF_TRDCMDL","Australia",553.4602
2021,"DC_TOF_TRDCMDL","Australia",443.4758
2005,"DC_TOF_TRDCMDL","Austria",17.33904
2006,"DC_TOF_TRDCMDL","Austria",40.35444
2007,"DC_TOF_TRDCMDL","Austria",66.82964
2008,"DC_TOF_TRDCMDL","Austria",75.38245
2009,"DC_TOF_TRDCMDL","Austria",85.2428
2010,"DC_TOF_TRDCMDL","Austria",103.83798
2011,"DC_TOF_TRDCMDL","Austria",69.98601
2012,"DC_TOF_TRDCMDL","Austria",78.24397
2013,"DC_TOF_TRDCMDL","Austria",147.4525
2014,"DC_TOF_TRDCMDL","Austria",69.50143
2015,"DC_TOF_TRDCMDL","Austria",80.79517
2016,"DC_TOF_TRDCMDL","Austria",89.23218
2017,"DC_TOF_TRDCMDL","Austria",88.51203
2018,"DC_TOF_TRDCMDL","Austria",85.09773
2019,"DC_TOF_TRDCMDL","Austria",52.91165
2020,"DC_TOF_TRDCMDL","Austria",245.08122
2021,"DC_TOF_TRDCMDL","Austria",89.49292
2005,"DC_TOF_TRDCMDL","Belgium",130.44296
2006,"DC_TOF_TRDCMDL","Belgium",236.77193
2007,"DC_TOF_TRDCMDL","Belgium",311.23792
2008,"DC_TOF_TRDCMDL","Belgium",322.55247
2009,"DC_TOF_TRDCMDL","Belgium",565.05996
2010,"DC_TOF_TRDCMDL","Belgium",435.3004
2011,"DC_TOF_TRDCMDL","Belgium",481.24201
2012,"DC_TOF_TRDCMDL","Belgium",147.68244
2013,"DC_TOF_TRDCMDL","Belgium",205.06312
2014,"DC_TOF_TRDCMDL","Belgium",280.61158
2015,"DC_TOF_TRDCMDL","Belgium",244.92176
2016,"DC_TOF_TRDCMDL","Belgium",187.00211
2017,"DC_TOF_TRDCMDL","Belgium",245.84641
2018,"DC_TOF_TRDCMDL","Belgium",171.35534
2019,"DC_TOF_TRDCMDL","Belgium",367.7396
2020,"DC_TOF_TRDCMDL","Belgium",191.27702
2021,"DC_TOF_TRDCMDL","Belgium",152.95172
2005,"DC_TOF_TRDCMDL","Canada",206.67687
2006,"DC_TOF_TRDCMDL","Canada",302.29966
2007,"DC_TOF_TRDCMDL","Canada",390.31313
2008,"DC_TOF_TRDCMDL","Canada",567.49214
2009,"DC_TOF_TRDCMDL","Canada",538.74658
2010,"DC_TOF_TRDCMDL","Canada",713.90319
2011,"DC_TOF_TRDCMDL","Canada",683.23745
2012,"DC_TOF_TRDCMDL","Canada",563.04253
2013,"DC_TOF_TRDCMDL","Canada",731.9068
2014,"DC_TOF_TRDCMDL","Canada",469.57317
2015,"DC_TOF_TRDCMDL","Canada",843.88267
2016,"DC_TOF_TRDCMDL","Canada",647.84397
2017,"DC_TOF_TRDCMDL","Canada",216.73392
2018,"DC_TOF_TRDCMDL","Canada",660.41428
2019,"DC_TOF_TRDCMDL","Canada",531.12757
2020,"DC_TOF_TRDCMDL","Canada",487.56089
2021,"DC_TOF_TRDCMDL","Canada",603.95705
2009,"DC_TOF_TRDCMDL","Czechia",0.12056
2010,"DC_TOF_TRDCMDL","Czechia",0.16917
2011,"DC_TOF_TRDCMDL","Czechia",12.74788
2012,"DC_TOF_TRDCMDL","Czechia",10.76395
2013,"DC_TOF_TRDCMDL","Czechia",9.80644
2014,"DC_TOF_TRDCMDL","Czechia",8.37582
2015,"DC_TOF_TRDCMDL","Czechia",13.85664
2016,"DC_TOF_TRDCMDL","Czechia",8.51888
2017,"DC_TOF_TRDCMDL","Czechia",11.13215
2018,"DC_TOF_TRDCMDL","Czechia",10.23905
2019,"DC_TOF_TRDCMDL","Czechia",9.9746
2020,"DC_TOF_TRDCMDL","Czechia",6.04216
2021,"DC_TOF_TRDCMDL","Czechia",9.13608
2005,"DC_TOF_TRDCMDL","Denmark",302.69425
2006,"DC_TOF_TRDCMDL","Denmark",284.9701
2007,"DC_TOF_TRDCMDL","Denmark",375.07431
2008,"DC_TOF_TRDCMDL","Denmark",245.05644
2009,"DC_TOF_TRDCMDL","Denmark",352.65654
2010,"DC_TOF_TRDCMDL","Denmark",370.60401
2011,"DC_TOF_TRDCMDL","Denmark",294.36801
2012,"DC_TOF_TRDCMDL","Denmark",394.42383
2013,"DC_TOF_TRDCMDL","Denmark",417.41718
2014,"DC_TOF_TRDCMDL","Denmark",434.39559
2015,"DC_TOF_TRDCMDL","Denmark",139.49643
2016,"DC_TOF_TRDCMDL","Denmark",287.22798
2017,"DC_TOF_TRDCMDL","Denmark",229.38189
2018,"DC_TOF_TRDCMDL","Denmark",221.02032
2019,"DC_TOF_TRDCMDL","Denmark",391.08448
2020,"DC_TOF_TRDCMDL","Denmark",193.10515
2021,"DC_TOF_TRDCMDL","Denmark",244.50098
2005,"DC_TOF_TRDCMDL","Finland",56.50659
2006,"DC_TOF_TRDCMDL","Finland",99.86052
2007,"DC_TOF_TRDCMDL","Finland",127.8229
2008,"DC_TOF_TRDCMDL","Finland",198.86591
2009,"DC_TOF_TRDCMDL","Finland",369.61263
2010,"DC_TOF_TRDCMDL","Finland",280.45026
2011,"DC_TOF_TRDCMDL","Finland",332.31355
2012,"DC_TOF_TRDCMDL","Finland",134.44904
2013,"DC_TOF_TRDCMDL","Finland",144.51734
2014,"DC_TOF_TRDCMDL","Finland",164.4099
2015,"DC_TOF_TRDCMDL","Finland",103.37561
2016,"DC_TOF_TRDCMDL","Finland",79.406
2017,"DC_TOF_TRDCMDL","Finland",252.35404
2018,"DC_TOF_TRDCMDL","Finland",123.07636
2019,"DC_TOF_TRDCMDL","Finland",53.36638
2020,"DC_TOF_TRDCMDL","Finland",244.71603
2021,"DC_TOF_TRDCMDL","Finland",167.39549
2005,"DC_TOF_TRDCMDL","France",454.99258
2006,"DC_TOF_TRDCMDL","France",1053.3597
2007,"DC_TOF_TRDCMDL","France",1402.84572
2008,"DC_TOF_TRDCMDL","France",2342.80489
2009,"DC_TOF_TRDCMDL","France",1478.2147
2010,"DC_TOF_TRDCMDL","France",1731.36511
2011,"DC_TOF_TRDCMDL","France",1388.02466
2012,"DC_TOF_TRDCMDL","France",3636.74017
2013,"DC_TOF_TRDCMDL","France",2241.44076
2014,"DC_TOF_TRDCMDL","France",2524.03299
2015,"DC_TOF_TRDCMDL","France",3262.66284
2016,"DC_TOF_TRDCMDL","France",2801.68704
2017,"DC_TOF_TRDCMDL","France",3604.22161
2018,"DC_TOF_TRDCMDL","France",2208.6441
2019,"DC_TOF_TRDCMDL","France",4700.61833
2020,"DC_TOF_TRDCMDL","France",5812.00085
2021,"DC_TOF_TRDCMDL","France",4608.21158
2005,"DC_TOF_TRDCMDL","Germany",774.60954
2006,"DC_TOF_TRDCMDL","Germany",2271.04896
2007,"DC_TOF_TRDCMDL","Germany",1810.79609
2008,"DC_TOF_TRDCMDL","Germany",3012.42827
2009,"DC_TOF_TRDCMDL","Germany",2743.13998
2010,"DC_TOF_TRDCMDL","Germany",4826.64233
2011,"DC_TOF_TRDCMDL","Germany",3828.27401
2012,"DC_TOF_TRDCMDL","Germany",3645.4492
2013,"DC_TOF_TRDCMDL","Germany",5212.59736
2014,"DC_TOF_TRDCMDL","Germany",7858.1431
2015,"DC_TOF_TRDCMDL","Germany",6746.26562
2016,"DC_TOF_TRDCMDL","Germany",6984.54719
2017,"DC_TOF_TRDCMDL","Germany",6531.57436
2018,"DC_TOF_TRDCMDL","Germany",6522.55458
2019,"DC_TOF_TRDCMDL","Germany",7523.36814
2020,"DC_TOF_TRDCMDL","Germany",8423.75996
2021,"DC_TOF_TRDCMDL","Germany",7320.96508
2005,"DC_TOF_TRDCMDL","Greece",8.41962
2006,"DC_TOF_TRDCMDL","Greece",27.62454
2007,"DC_TOF_TRDCMDL","Greece",13.37318
2008,"DC_TOF_TRDCMDL","Greece",11.66448
2009,"DC_TOF_TRDCMDL","Greece",14.98232
2010,"DC_TOF_TRDCMDL","Greece",16.84039
2011,"DC_TOF_TRDCMDL","Greece",17.38184
2012,"DC_TOF_TRDCMDL","Greece",0.09697
2013,"DC_TOF_TRDCMDL","Greece",0.06354
2014,"DC_TOF_TRDCMDL","Greece",0.01492
2015,"DC_TOF_TRDCMDL","Greece",0.00528
2016,"DC_TOF_TRDCMDL","Greece",0.00102
2017,"DC_TOF_TRDCMDL","Greece",0.00058
2018,"DC_TOF_TRDCMDL","Greece",0.0007
2019,"DC_TOF_TRDCMDL","Greece",0.00085
2015,"DC_TOF_TRDCMDL","Hungary",0.47667
2016,"DC_TOF_TRDCMDL","Hungary",4.44701
2017,"DC_TOF_TRDCMDL","Hungary",2.72
2018,"DC_TOF_TRDCMDL","Hungary",13.12843
2019,"DC_TOF_TRDCMDL","Hungary",14.08242
2020,"DC_TOF_TRDCMDL","Hungary",43.41003
2021,"DC_TOF_TRDCMDL","Hungary",34.9958
2011,"DC_TOF_TRDCMDL","Iceland",10.07621
2012,"DC_TOF_TRDCMDL","Iceland",11.27791
2013,"DC_TOF_TRDCMDL","Iceland",13.5389
2014,"DC_TOF_TRDCMDL","Iceland",11.2565
2015,"DC_TOF_TRDCMDL","Iceland",8.39211
2016,"DC_TOF_TRDCMDL","Iceland",8.69067
2017,"DC_TOF_TRDCMDL","Iceland",8.35936
2018,"DC_TOF_TRDCMDL","Iceland",9.84367
2019,"DC_TOF_TRDCMDL","Iceland",10.71425
2020,"DC_TOF_TRDCMDL","Iceland",6.6588
2021,"DC_TOF_TRDCMDL","Iceland",7.71379
2005,"DC_TOF_TRDCMDL","Ireland",16.14434
2006,"DC_TOF_TRDCMDL","Ireland",39.43606
2007,"DC_TOF_TRDCMDL","Ireland",40.05517
2008,"DC_TOF_TRDCMDL","Ireland",70.0598
2009,"DC_TOF_TRDCMDL","Ireland",61.9945
2010,"DC_TOF_TRDCMDL","Ireland",70.1238
2011,"DC_TOF_TRDCMDL","Ireland",71.16247
2012,"DC_TOF_TRDCMDL","Ireland",55.87286
2013,"DC_TOF_TRDCMDL","Ireland",55.91277
2014,"DC_TOF_TRDCMDL","Ireland",50.95642
2015,"DC_TOF_TRDCMDL","Ireland",36.44609
2016,"DC_TOF_TRDCMDL","Ireland",43.99936
2017,"DC_TOF_TRDCMDL","Ireland",46.48282
2018,"DC_TOF_TRDCMDL","Ireland",36.52797
2019,"DC_TOF_TRDCMDL","Ireland",43.76305
2020,"DC_TOF_TRDCMDL","Ireland",34.64564
2021,"DC_TOF_TRDCMDL","Ireland",32.37689
2005,"DC_TOF_TRDCMDL","Italy",140.88914
2006,"DC_TOF_TRDCMDL","Italy",342.36926
2007,"DC_TOF_TRDCMDL","Italy",156.58968
2008,"DC_TOF_TRDCMDL","Italy",254.9473
2009,"DC_TOF_TRDCMDL","Italy",264.48015
2010,"DC_TOF_TRDCMDL","Italy",174.57793
2011,"DC_TOF_TRDCMDL","Italy",105.5372
2012,"DC_TOF_TRDCMDL","Italy",190.73957
2013,"DC_TOF_TRDCMDL","Italy",90.54628
2014,"DC_TOF_TRDCMDL","Italy",104.83835
2015,"DC_TOF_TRDCMDL","Italy",208.47438
2016,"DC_TOF_TRDCMDL","Italy",85.13888
2017,"DC_TOF_TRDCMDL","Italy",385.4851
2018,"DC_TOF_TRDCMDL","Italy",173.00657
2019,"DC_TOF_TRDCMDL","Italy",310.07156
2020,"DC_TOF_TRDCMDL","Italy",307.39646
2021,"DC_TOF_TRDCMDL","Italy",186.90797
2005,"DC_TOF_TRDCMDL","Japan",2486.75915
2006,"DC_TOF_TRDCMDL","Japan",4746.54752
2007,"DC_TOF_TRDCMDL","Japan",4594.20253
2008,"DC_TOF_TRDCMDL","Japan",8203.30587
2009,"DC_TOF_TRDCMDL","Japan",5173.60395
2010,"DC_TOF_TRDCMDL","Japan",7671.10209
2011,"DC_TOF_TRDCMDL","Japan",5951.18285
2012,"DC_TOF_TRDCMDL","Japan",6613.79785
2013,"DC_TOF_TRDCMDL","Japan",9643.02516
2014,"DC_TOF_TRDCMDL","Japan",9500.22032
2015,"DC_TOF_TRDCMDL","Japan",13090.28241
2016,"DC_TOF_TRDCMDL","Japan",11612.55937
2017,"DC_TOF_TRDCMDL","Japan",12949.7435
2018,"DC_TOF_TRDCMDL","Japan",12673.86191
2019,"DC_TOF_TRDCMDL","Japan",9622.16905
2020,"DC_TOF_TRDCMDL","Japan",10007.95979
2021,"DC_TOF_TRDCMDL","Japan",6807.66009
2006,"DC_TOF_TRDCMDL","Republic of Korea",216.52816
2007,"DC_TOF_TRDCMDL","Republic of Korea",552.16344
2008,"DC_TOF_TRDCMDL","Republic of Korea",750.4684
2009,"DC_TOF_TRDCMDL","Republic of Korea",1247.16273
2010,"DC_TOF_TRDCMDL","Republic of Korea",834.72324
2011,"DC_TOF_TRDCMDL","Republic of Korea",840.94023
2012,"DC_TOF_TRDCMDL","Republic of Korea",870.49495
2013,"DC_TOF_TRDCMDL","Republic of Korea",758.13474
2014,"DC_TOF_TRDCMDL","Republic of Korea",1095.5567
2015,"DC_TOF_TRDCMDL","Republic of Korea",953.51169
2016,"DC_TOF_TRDCMDL","Republic of Korea",1086.78937
2017,"DC_TOF_TRDCMDL","Republic of Korea",1212.93789
2018,"DC_TOF_TRDCMDL","Republic of Korea",1540.56965
2019,"DC_TOF_TRDCMDL","Republic of Korea",1487.05399
2020,"DC_TOF_TRDCMDL","Republic of Korea",530.68543
2021,"DC_TOF_TRDCMDL","Republic of Korea",1696.8953
2014,"DC_TOF_TRDCMDL","Lithuania",0.17936
2015,"DC_TOF_TRDCMDL","Lithuania",0.86884
2016,"DC_TOF_TRDCMDL","Lithuania",0.60667
2017,"DC_TOF_TRDCMDL","Lithuania",0.6234
2018,"DC_TOF_TRDCMDL","Lithuania",0.62488
2019,"DC_TOF_TRDCMDL","Lithuania",0.94232
2020,"DC_TOF_TRDCMDL","Lithuania",1.1806
2021,"DC_TOF_TRDCMDL","Lithuania",1.28677
2005,"DC_TOF_TRDCMDL","Luxembourg",12.46302
2006,"DC_TOF_TRDCMDL","Luxembourg",21.80198
2007,"DC_TOF_TRDCMDL","Luxembourg",48.24564
2008,"DC_TOF_TRDCMDL","Luxembourg",46.67682
2009,"DC_TOF_TRDCMDL","Luxembourg",35.96768
2010,"DC_TOF_TRDCMDL","Luxembourg",42.90321
2011,"DC_TOF_TRDCMDL","Luxembourg",45.78827
2012,"DC_TOF_TRDCMDL","Luxembourg",47.21388
2013,"DC_TOF_TRDCMDL","Luxembourg",47.39354
2014,"DC_TOF_TRDCMDL","Luxembourg",47.16623
2015,"DC_TOF_TRDCMDL","Luxembourg",40.02336
2016,"DC_TOF_TRDCMDL","Luxembourg",46.61403
2017,"DC_TOF_TRDCMDL","Luxembourg",66.54274
2018,"DC_TOF_TRDCMDL","Luxembourg",66.52585
2019,"DC_TOF_TRDCMDL","Luxembourg",72.41119
2020,"DC_TOF_TRDCMDL","Luxembourg",64.51618
2021,"DC_TOF_TRDCMDL","Luxembourg",68.48762
2005,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",319.16227
2006,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",999.68589
2007,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",736.32402
2008,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",649.94195
2009,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",671.45853
2010,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",585.70674
2011,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",1170.43514
2012,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",1166.85918
2013,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",771.39838
2014,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",1066.41408
2015,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",703.41774
2016,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",592.3308
2017,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",757.52096
2018,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",764.08927
2019,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",1050.0262
2020,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",1155.83789
2021,"DC_TOF_TRDCMDL","Netherlands (Kingdom of the)",471.068
2005,"DC_TOF_TRDCMDL","New Zealand",14.49329
2006,"DC_TOF_TRDCMDL","New Zealand",69.91835
2007,"DC_TOF_TRDCMDL","New Zealand",25.06983
2008,"DC_TOF_TRDCMDL","New Zealand",54.01643
2009,"DC_TOF_TRDCMDL","New Zealand",39.61565
2010,"DC_TOF_TRDCMDL","New Zealand",76.41799
