Year,SeriesCode,GeoAreaName,Value
2006,"DC_TOF_TRDDBML","Mexico",23.93236
2007,"DC_TOF_TRDDBML","Mexico",26.74138
2008,"DC_TOF_TRDDBML","Mexico",34.50863
2009,"DC_TOF_TRDDBML","Mexico",54.85675
2010,"DC_TOF_TRDDBML","Mexico",46.11485
2011,"DC_TOF_TRDDBML","Mexico",187.27152
2012,"DC_TOF_TRDDBML","Mexico",177.08722
2013,"DC_TOF_TRDDBML","Mexico",318.86081
2006,"DC_TOF_TRDDBML","Albania",109.27235
2007,"DC_TOF_TRDDBML","Albania",84.70518
2008,"DC_TOF_TRDDBML","Albania",98.08517
2009,"DC_TOF_TRDDBML","Albania",134.28529
2010,"DC_TOF_TRDDBML","Albania",174.11097
2011,"DC_TOF_TRDDBML","Albania",174.61605
2012,"DC_TOF_TRDDBML","Albania",154.94862
2013,"DC_TOF_TRDDBML","Albania",125.76764
2014,"DC_TOF_TRDDBML","Mexico",272.1044
2015,"DC_TOF_TRDDBML","Mexico",120.13731
2016,"DC_TOF_TRDDBML","Mexico",569.79204
2017,"DC_TOF_TRDDBML","Mexico",423.86432
2018,"DC_TOF_TRDDBML","Mexico",281.07081
2019,"DC_TOF_TRDDBML","Mexico",446.5964
2020,"DC_TOF_TRDDBML","Mexico",318.79172
2021,"DC_TOF_TRDDBML","Mexico",172.20141
2014,"DC_TOF_TRDDBML","Albania",102.57013
2015,"DC_TOF_TRDDBML","Albania",126.3401
2016,"DC_TOF_TRDDBML","Albania",65.16212
2017,"DC_TOF_TRDDBML","Albania",50.77756
2018,"DC_TOF_TRDDBML","Albania",265.25568
2019,"DC_TOF_TRDDBML","Albania",74.90421
2020,"DC_TOF_TRDDBML","Albania",106.63742
2021,"DC_TOF_TRDDBML","Albania",231.9229
2006,"DC_TOF_TRDDBML","Republic of Moldova",34.30023
2007,"DC_TOF_TRDDBML","Republic of Moldova",46.95187
2008,"DC_TOF_TRDDBML","Republic of Moldova",51.83347
2009,"DC_TOF_TRDDBML","Republic of Moldova",56.1567
2010,"DC_TOF_TRDDBML","Republic of Moldova",77.52678
2011,"DC_TOF_TRDDBML","Republic of Moldova",132.39106
2012,"DC_TOF_TRDDBML","Republic of Moldova",198.69398
2013,"DC_TOF_TRDDBML","Republic of Moldova",172.33155
2014,"DC_TOF_TRDDBML","Republic of Moldova",246.17941
2015,"DC_TOF_TRDDBML","Republic of Moldova",184.36734
2016,"DC_TOF_TRDDBML","Republic of Moldova",137.55709
2017,"DC_TOF_TRDDBML","Republic of Moldova",94.35955
2018,"DC_TOF_TRDDBML","Republic of Moldova",142.04985
2019,"DC_TOF_TRDDBML","Republic of Moldova",146.57522
2020,"DC_TOF_TRDDBML","Republic of Moldova",174.72953
2021,"DC_TOF_TRDDBML","Republic of Moldova",153.76093
2006,"DC_TOF_TRDDBML","Montenegro",22.95917
2007,"DC_TOF_TRDDBML","Montenegro",23.56928
2008,"DC_TOF_TRDDBML","Montenegro",29.02052
2009,"DC_TOF_TRDDBML","Montenegro",30.40229
2010,"DC_TOF_TRDDBML","Montenegro",24.7919
2011,"DC_TOF_TRDDBML","Montenegro",64.39831
2012,"DC_TOF_TRDDBML","Montenegro",32.96953
2013,"DC_TOF_TRDDBML","Montenegro",71.56884
2006,"DC_TOF_TRDDBML","Azerbaijan",77.80933
2007,"DC_TOF_TRDDBML","Azerbaijan",90.04047
2008,"DC_TOF_TRDDBML","Azerbaijan",100.90058
2009,"DC_TOF_TRDDBML","Azerbaijan",123.3614
2010,"DC_TOF_TRDDBML","Azerbaijan",62.53112
2011,"DC_TOF_TRDDBML","Azerbaijan",129.27171
2012,"DC_TOF_TRDDBML","Azerbaijan",165.57644
2013,"DC_TOF_TRDDBML","Azerbaijan",115.77427
2014,"DC_TOF_TRDDBML","Azerbaijan",147.57163
2015,"DC_TOF_TRDDBML","Azerbaijan",26.65188
2016,"DC_TOF_TRDDBML","Azerbaijan",27.64004
2017,"DC_TOF_TRDDBML","Azerbaijan",79.19204
2018,"DC_TOF_TRDDBML","Azerbaijan",47.5945
2019,"DC_TOF_TRDDBML","Azerbaijan",80.38972
2020,"DC_TOF_TRDDBML","Azerbaijan",135.25307
2021,"DC_TOF_TRDDBML","Azerbaijan",50.53152
2006,"DC_TOF_TRDDBML","Armenia",64.97378
2007,"DC_TOF_TRDDBML","Armenia",98.69493
2008,"DC_TOF_TRDDBML","Armenia",172.71965
2009,"DC_TOF_TRDDBML","Armenia",225.46982
2010,"DC_TOF_TRDDBML","Armenia",171.63388
2011,"DC_TOF_TRDDBML","Armenia",138.94932
2012,"DC_TOF_TRDDBML","Armenia",121.90542
2013,"DC_TOF_TRDDBML","Armenia",103.11437
2014,"DC_TOF_TRDDBML","Montenegro",51.85084
2015,"DC_TOF_TRDDBML","Montenegro",103.24309
2016,"DC_TOF_TRDDBML","Montenegro",76.66818
2017,"DC_TOF_TRDDBML","Montenegro",130.7967
2018,"DC_TOF_TRDDBML","Montenegro",133.1841
2019,"DC_TOF_TRDDBML","Montenegro",102.0828
2020,"DC_TOF_TRDDBML","Montenegro",155.44824
2021,"DC_TOF_TRDDBML","Montenegro",83.83561
2014,"DC_TOF_TRDDBML","Armenia",127.37242
2015,"DC_TOF_TRDDBML","Armenia",229.33117
2016,"DC_TOF_TRDDBML","Armenia",189.38286
2017,"DC_TOF_TRDDBML","Armenia",227.14689
2018,"DC_TOF_TRDDBML","Armenia",110.0817
2019,"DC_TOF_TRDDBML","Armenia",79.72845
2020,"DC_TOF_TRDDBML","Armenia",100.59298
2021,"DC_TOF_TRDDBML","Armenia",186.74452
2006,"DC_TOF_TRDDBML","Bosnia and Herzegovina",79.82813
2007,"DC_TOF_TRDDBML","Bosnia and Herzegovina",95.08099
2008,"DC_TOF_TRDDBML","Bosnia and Herzegovina",122.11556
2009,"DC_TOF_TRDDBML","Bosnia and Herzegovina",106.57694
2010,"DC_TOF_TRDDBML","Bosnia and Herzegovina",129.82839
2011,"DC_TOF_TRDDBML","Bosnia and Herzegovina",310.28666
2012,"DC_TOF_TRDDBML","Bosnia and Herzegovina",331.83293
2013,"DC_TOF_TRDDBML","Bosnia and Herzegovina",262.73908
2014,"DC_TOF_TRDDBML","Bosnia and Herzegovina",263.81794
2015,"DC_TOF_TRDDBML","Bosnia and Herzegovina",165.69995
2016,"DC_TOF_TRDDBML","Bosnia and Herzegovina",243.00903
