Year,SeriesCode,GeoAreaName,Activity,Value
2000,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",18.5
2001,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",17.12
2002,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",16.44
2003,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",16.62
2004,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",16.18
2005,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",15.21
2006,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",15.06
2007,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",14.35
2008,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",14.82
2009,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.2
2010,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.18
2011,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.28
2012,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.99
2013,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",14.06
2014,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.43
2015,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",12.98
2016,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.83
2017,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.17
2018,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",12.37
2019,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.15
2020,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",11.57
2021,"SL_TLF_MANF_19ICLS","Latvia","ISIC4_C",13.39
2000,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",18.21
2001,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",18.08
2002,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",17.82
2003,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",18
2004,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",17.87
2005,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",17.99
2006,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",17.67
2007,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",17.46
2008,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",17.07
2009,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.84
2010,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.37
2011,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.55
2012,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.7
2013,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.43
2014,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.06
2015,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.19
2016,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.44
2017,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.41
2018,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.98
2019,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.88
2020,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",15.81
2021,"SL_TLF_MANF_19ICLS","Lithuania","ISIC4_C",16.55
2000,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",11.53
2001,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",11.18
2002,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",10.29
2003,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",9.86
2004,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",9.51
2005,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",8.73
2006,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",8.14
2007,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",7.85
2008,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",6.32
2009,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",6.37
2010,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",5.61
2011,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",5.91
2012,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",5.22
2013,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",4.83
2014,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",5.43
2015,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",4.34
2000,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",12.09
2001,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",11.58
2002,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",11.52
2003,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",11.02
2004,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",10.92
2005,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",10.37
2006,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",10.01
2007,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",9.87
2008,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",10.51
2009,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",9.26
2010,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",9.22
2016,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",4.12
2017,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",3.42
2018,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",4.45
2019,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",3.46
2020,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",3.29
2021,"SL_TLF_MANF_19ICLS","Luxembourg","ISIC4_C",3.21
2009,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",14.76
2010,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",15.13
2011,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",15.21
2012,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",13.39
2013,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",12.85
2014,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",12.78
2015,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",12.38
2016,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",11.96
2017,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",11.82
2018,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",11.33
2019,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",11.06
2020,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",11.07
2021,"SL_TLF_MANF_19ICLS","Malta","ISIC4_C",10.48
2006,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",12.19
2007,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.69
2008,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",12.06
2009,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.91
2010,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.63
2011,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",12.02
2012,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.75
2013,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",10.93
2014,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",10.95
2015,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.17
2016,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.33
2017,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",10.74
2018,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.22
2019,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",12.1
2020,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.77
2021,"SL_TLF_MANF_19ICLS","Republic of Moldova","ISIC4_C",11.91
2000,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",13.93
2001,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",13.61
2002,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",12.61
2003,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",12.99
2004,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",12.92
2005,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",13.23
2006,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",12.79
2007,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",12.22
2008,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",10.75
2009,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.99
2010,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.52
2011,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.1
2012,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.36
2013,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.45
2014,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.18
2015,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.51
2016,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.29
2017,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.48
2018,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",9.32
2019,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",8.99
2020,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",8.98
2021,"SL_TLF_MANF_19ICLS","Netherlands (Kingdom of the)","ISIC4_C",8.43
2000,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",15.83
2001,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",15.93
2002,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",15.58
2003,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",14.57
2004,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",14.58
2005,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",13.77
2006,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",13.16
2007,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",12.83
2008,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",12.71
2009,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",11.75
2010,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",11.57
2011,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",11.48
2012,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",11.39
2013,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",11.25
2014,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",10.9
2015,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",11.19
2016,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",9.91
2017,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",9.91
2018,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",9.58
2019,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",9.13
2020,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",9.23
2021,"SL_TLF_MANF_19ICLS","New Zealand","ISIC4_C",8.74
2000,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",13.01
2001,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",12.64
2002,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",12.68
2003,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",12.47
2004,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",11.55
2005,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",11.6
2006,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",11.7
2007,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",11.52
2008,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",10.34
2009,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",10.09
2010,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",9.66
2011,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",9.37
2012,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",9.37
2013,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",8.51
2014,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",9.12
2015,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",8.52
2016,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",7.98
2017,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",8.26
2018,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",7.61
2019,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",7.67
2020,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",7.63
2021,"SL_TLF_MANF_19ICLS","Norway","ISIC4_C",7.11
2000,"SL_TLF_MANF_19ICLS","Poland","ISIC4_C",19.77
2001,"SL_TLF_MANF_19ICLS","Poland","ISIC4_C",20.16
2002,"SL_TLF_MANF_19ICLS","Poland","ISIC4_C",18.85
2003,"SL_TLF_MANF_19ICLS","Poland","ISIC4_C",19.22
2004,"SL_TLF_MANF_19ICLS","Poland","ISIC4_C",20.34
2005,"SL_TLF_MANF_19ICLS","Poland","ISIC4_C",20.06
2006,"SL_TLF_MANF_19ICLS","Poland","ISIC4_C",20.48
2011,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",9.01
2012,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",8.85
2013,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",8.42
2014,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",8.41
2015,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",7.85
2016,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",7.86
2017,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",8.05
2018,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",7.88
2019,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",7.43
2020,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",7.31
2021,"SL_TLF_MANF_19ICLS","Australia","ISIC4_C",6.9
2000,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",20.57
2001,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",19.93
2002,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",19.51
2003,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",19.41
2004,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",18.58
2005,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",18.33
2006,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",18.89
2007,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",18.18
2008,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",17.01
2009,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",16.14
2010,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",16.4
2011,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.83
2012,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.78
2013,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.65
2014,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.63
2015,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.97
2016,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.94
2017,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.62
2018,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",16.17
2019,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.91
2020,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",15.6
2021,"SL_TLF_MANF_19ICLS","Austria","ISIC4_C",16.63
2018,"SL_TLF_MANF_19ICLS","Armenia","ISIC4_C",9.94
2019,"SL_TLF_MANF_19ICLS","Armenia","ISIC4_C",10.56
2020,"SL_TLF_MANF_19ICLS","Armenia","ISIC4_C",10.05
2000,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",18.75
2001,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",18.32
2002,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",18.3
2003,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",17.76
2004,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",17.45
2005,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",17.17
2006,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",16.77
2007,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",16.54
2008,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",15.98
2009,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",14.84
2010,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",14.55
2011,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",14.22
2012,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",13.15
2013,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",13
2014,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",12.8
2015,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",12.95
2016,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",12.44
2017,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",12.65
2018,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",12.35
2019,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",12.06
2020,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",12.47
2021,"SL_TLF_MANF_19ICLS","Belgium","ISIC4_C",11.31
2021,"SL_TLF_MANF_19ICLS","Bosnia and Herzegovina","ISIC4_C",18.99
2000,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",23.42
2001,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",24.06
2002,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",23.81
2003,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",23.34
2004,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",23.87
2005,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",24.45
2006,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",23.96
2007,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",23.56
2008,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",23.16
2009,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",22.19
