Year,SeriesCode,GeoAreaName,Value
2000,"EN_ATM_CO2GDP","China",0.711
2001,"EN_ATM_CO2GDP","China",0.689
2002,"EN_ATM_CO2GDP","China",0.681
2003,"EN_ATM_CO2GDP","China",0.717
2004,"EN_ATM_CO2GDP","China",0.759
2005,"EN_ATM_CO2GDP","China",0.778
2006,"EN_ATM_CO2GDP","China",0.76
2007,"EN_ATM_CO2GDP","China",0.723
2008,"EN_ATM_CO2GDP","China",0.679
2009,"EN_ATM_CO2GDP","China",0.664
2000,"EN_ATM_CO2GDP","Albania",0.17
2001,"EN_ATM_CO2GDP","Albania",0.164
2002,"EN_ATM_CO2GDP","Albania",0.183
2003,"EN_ATM_CO2GDP","Albania",0.176
2004,"EN_ATM_CO2GDP","Albania",0.175
2005,"EN_ATM_CO2GDP","Albania",0.159
2006,"EN_ATM_CO2GDP","Albania",0.148
2007,"EN_ATM_CO2GDP","Albania",0.139
2008,"EN_ATM_CO2GDP","Albania",0.128
2009,"EN_ATM_CO2GDP","Albania",0.125
2010,"EN_ATM_CO2GDP","China",0.659
2011,"EN_ATM_CO2GDP","China",0.658
2012,"EN_ATM_CO2GDP","China",0.628
2013,"EN_ATM_CO2GDP","China",0.61
2014,"EN_ATM_CO2GDP","China",0.568
2015,"EN_ATM_CO2GDP","China",0.525
2016,"EN_ATM_CO2GDP","China",0.49
2017,"EN_ATM_CO2GDP","China",0.469
2018,"EN_ATM_CO2GDP","China",0.461
2019,"EN_ATM_CO2GDP","China",0.442
2010,"EN_ATM_CO2GDP","Albania",0.126
2011,"EN_ATM_CO2GDP","Albania",0.13
2012,"EN_ATM_CO2GDP","Albania",0.108
2013,"EN_ATM_CO2GDP","Albania",0.111
2014,"EN_ATM_CO2GDP","Albania",0.124
2015,"EN_ATM_CO2GDP","Albania",0.112
2016,"EN_ATM_CO2GDP","Albania",0.104
2017,"EN_ATM_CO2GDP","Albania",0.12
2018,"EN_ATM_CO2GDP","Albania",0.115
2019,"EN_ATM_CO2GDP","Albania",0.104
2020,"EN_ATM_CO2GDP","China",0.438
2000,"EN_ATM_CO2GDP","Colombia",0.152
2001,"EN_ATM_CO2GDP","Colombia",0.151
2002,"EN_ATM_CO2GDP","Colombia",0.142
2003,"EN_ATM_CO2GDP","Colombia",0.135
2004,"EN_ATM_CO2GDP","Colombia",0.128
2005,"EN_ATM_CO2GDP","Colombia",0.124
2006,"EN_ATM_CO2GDP","Colombia",0.117
2007,"EN_ATM_CO2GDP","Colombia",0.111
2008,"EN_ATM_CO2GDP","Colombia",0.109
2009,"EN_ATM_CO2GDP","Colombia",0.114
2010,"EN_ATM_CO2GDP","Colombia",0.111
2011,"EN_ATM_CO2GDP","Colombia",0.112
2012,"EN_ATM_CO2GDP","Colombia",0.107
2013,"EN_ATM_CO2GDP","Colombia",0.115
2014,"EN_ATM_CO2GDP","Colombia",0.113
2015,"EN_ATM_CO2GDP","Colombia",0.111
2016,"EN_ATM_CO2GDP","Colombia",0.113
2017,"EN_ATM_CO2GDP","Colombia",0.1
2018,"EN_ATM_CO2GDP","Colombia",0.103
2000,"EN_ATM_CO2GDP","United Arab Emirates",0.249
2001,"EN_ATM_CO2GDP","United Arab Emirates",0.285
2002,"EN_ATM_CO2GDP","United Arab Emirates",0.284
2003,"EN_ATM_CO2GDP","United Arab Emirates",0.272
2004,"EN_ATM_CO2GDP","United Arab Emirates",0.264
2005,"EN_ATM_CO2GDP","United Arab Emirates",0.267
2006,"EN_ATM_CO2GDP","United Arab Emirates",0.251
2007,"EN_ATM_CO2GDP","United Arab Emirates",0.263
2008,"EN_ATM_CO2GDP","United Arab Emirates",0.301
2009,"EN_ATM_CO2GDP","United Arab Emirates",0.321
2020,"EN_ATM_CO2GDP","Albania",0.09
2000,"EN_ATM_CO2GDP","Azerbaijan",0.848
2001,"EN_ATM_CO2GDP","Azerbaijan",0.73
2002,"EN_ATM_CO2GDP","Azerbaijan",0.659
2003,"EN_ATM_CO2GDP","Azerbaijan",0.652
2004,"EN_ATM_CO2GDP","Azerbaijan",0.588
2005,"EN_ATM_CO2GDP","Azerbaijan",0.487
2006,"EN_ATM_CO2GDP","Azerbaijan",0.366
2007,"EN_ATM_CO2GDP","Azerbaijan",0.266
2008,"EN_ATM_CO2GDP","Azerbaijan",0.259
2009,"EN_ATM_CO2GDP","Azerbaijan",0.201
2010,"EN_ATM_CO2GDP","Azerbaijan",0.184
2011,"EN_ATM_CO2GDP","Azerbaijan",0.207
2012,"EN_ATM_CO2GDP","Azerbaijan",0.221
2013,"EN_ATM_CO2GDP","Azerbaijan",0.213
2014,"EN_ATM_CO2GDP","Azerbaijan",0.217
2015,"EN_ATM_CO2GDP","Azerbaijan",0.213
2016,"EN_ATM_CO2GDP","Azerbaijan",0.224
2017,"EN_ATM_CO2GDP","Azerbaijan",0.221
2018,"EN_ATM_CO2GDP","Azerbaijan",0.221
2019,"EN_ATM_CO2GDP","Azerbaijan",0.235
2020,"EN_ATM_CO2GDP","Azerbaijan",0.238
2000,"EN_ATM_CO2GDP","Australia",0.457
2001,"EN_ATM_CO2GDP","Australia",0.457
2002,"EN_ATM_CO2GDP","Australia",0.449
2003,"EN_ATM_CO2GDP","Australia",0.435
2004,"EN_ATM_CO2GDP","Australia",0.433
2005,"EN_ATM_CO2GDP","Australia",0.423
2006,"EN_ATM_CO2GDP","Australia",0.418
2007,"EN_ATM_CO2GDP","Australia",0.414
2008,"EN_ATM_CO2GDP","Australia",0.403
2009,"EN_ATM_CO2GDP","Australia",0.402
2010,"EN_ATM_CO2GDP","Australia",0.396
2011,"EN_ATM_CO2GDP","Australia",0.384
2012,"EN_ATM_CO2GDP","Australia",0.371
2013,"EN_ATM_CO2GDP","Australia",0.355
2014,"EN_ATM_CO2GDP","Australia",0.337
2015,"EN_ATM_CO2GDP","Australia",0.336
2016,"EN_ATM_CO2GDP","Australia",0.335
2017,"EN_ATM_CO2GDP","Australia",0.33
2019,"EN_ATM_CO2GDP","Colombia",0.099
2020,"EN_ATM_CO2GDP","Colombia",0.107
2000,"EN_ATM_CO2GDP","Costa Rica",0.09
2001,"EN_ATM_CO2GDP","Costa Rica",0.095
2002,"EN_ATM_CO2GDP","Costa Rica",0.094
2003,"EN_ATM_CO2GDP","Costa Rica",0.095
2004,"EN_ATM_CO2GDP","Costa Rica",0.091
2005,"EN_ATM_CO2GDP","Costa Rica",0.09
2006,"EN_ATM_CO2GDP","Costa Rica",0.092
2007,"EN_ATM_CO2GDP","Costa Rica",0.095
2010,"EN_ATM_CO2GDP","United Arab Emirates",0.329
2011,"EN_ATM_CO2GDP","United Arab Emirates",0.317
2012,"EN_ATM_CO2GDP","United Arab Emirates",0.321
2013,"EN_ATM_CO2GDP","United Arab Emirates",0.321
2014,"EN_ATM_CO2GDP","United Arab Emirates",0.309
2015,"EN_ATM_CO2GDP","United Arab Emirates",0.308
2016,"EN_ATM_CO2GDP","United Arab Emirates",0.31
2017,"EN_ATM_CO2GDP","United Arab Emirates",0.289
2018,"EN_ATM_CO2GDP","United Arab Emirates",0.257
2019,"EN_ATM_CO2GDP","United Arab Emirates",0.267
2018,"EN_ATM_CO2GDP","Australia",0.32
2019,"EN_ATM_CO2GDP","Australia",0.311
2020,"EN_ATM_CO2GDP","Australia",0.299
2000,"EN_ATM_CO2GDP","Austria",0.166
2001,"EN_ATM_CO2GDP","Austria",0.176
2002,"EN_ATM_CO2GDP","Austria",0.176
2003,"EN_ATM_CO2GDP","Austria",0.188
2004,"EN_ATM_CO2GDP","Austria",0.186
2005,"EN_ATM_CO2GDP","Austria",0.183
2006,"EN_ATM_CO2GDP","Austria",0.172
2020,"EN_ATM_CO2GDP","United Arab Emirates",0.289
2000,"EN_ATM_CO2GDP","Türkiye",0.206
2001,"EN_ATM_CO2GDP","Türkiye",0.199
2002,"EN_ATM_CO2GDP","Türkiye",0.197
2003,"EN_ATM_CO2GDP","Türkiye",0.196
2004,"EN_ATM_CO2GDP","Türkiye",0.182
2005,"EN_ATM_CO2GDP","Türkiye",0.174
2006,"EN_ATM_CO2GDP","Türkiye",0.181
2007,"EN_ATM_CO2GDP","Türkiye",0.191
2008,"EN_ATM_CO2GDP","Türkiye",0.187
2009,"EN_ATM_CO2GDP","Türkiye",0.196
2010,"EN_ATM_CO2GDP","Türkiye",0.185
2011,"EN_ATM_CO2GDP","Türkiye",0.178
2012,"EN_ATM_CO2GDP","Türkiye",0.177
2013,"EN_ATM_CO2GDP","Türkiye",0.156
2014,"EN_ATM_CO2GDP","Türkiye",0.16
2015,"EN_ATM_CO2GDP","Türkiye",0.156
2016,"EN_ATM_CO2GDP","Türkiye",0.161
2017,"EN_ATM_CO2GDP","Türkiye",0.167
2018,"EN_ATM_CO2GDP","Türkiye",0.161
2007,"EN_ATM_CO2GDP","Austria",0.159
2008,"EN_ATM_CO2GDP","Austria",0.155
2009,"EN_ATM_CO2GDP","Austria",0.147
2010,"EN_ATM_CO2GDP","Austria",0.158
2011,"EN_ATM_CO2GDP","Austria",0.149
2012,"EN_ATM_CO2GDP","Austria",0.141
2013,"EN_ATM_CO2GDP","Austria",0.143
2014,"EN_ATM_CO2GDP","Austria",0.134
2015,"EN_ATM_CO2GDP","Austria",0.135
2016,"EN_ATM_CO2GDP","Austria",0.133
2017,"EN_ATM_CO2GDP","Austria",0.135
2018,"EN_ATM_CO2GDP","Austria",0.125
2019,"EN_ATM_CO2GDP","Austria",0.127
2020,"EN_ATM_CO2GDP","Austria",0.124
2000,"EN_ATM_CO2GDP","Armenia",0.275
2001,"EN_ATM_CO2GDP","Armenia",0.254
2002,"EN_ATM_CO2GDP","Armenia",0.189
2003,"EN_ATM_CO2GDP","Armenia",0.186
2004,"EN_ATM_CO2GDP","Armenia",0.178
2005,"EN_ATM_CO2GDP","Armenia",0.187
2006,"EN_ATM_CO2GDP","Armenia",0.166
2007,"EN_ATM_CO2GDP","Armenia",0.169
2008,"EN_ATM_CO2GDP","Armenia",0.173
2009,"EN_ATM_CO2GDP","Armenia",0.163
2010,"EN_ATM_CO2GDP","Armenia",0.152
2011,"EN_ATM_CO2GDP","Armenia",0.167
2012,"EN_ATM_CO2GDP","Armenia",0.181
2013,"EN_ATM_CO2GDP","Armenia",0.169
2014,"EN_ATM_CO2GDP","Armenia",0.163
2015,"EN_ATM_CO2GDP","Armenia",0.154
2019,"EN_ATM_CO2GDP","Türkiye",0.156
2020,"EN_ATM_CO2GDP","Türkiye",0.153
2000,"EN_ATM_CO2GDP","Turkmenistan",1.757
2001,"EN_ATM_CO2GDP","Turkmenistan",1.713
2002,"EN_ATM_CO2GDP","Turkmenistan",1.796
2003,"EN_ATM_CO2GDP","Turkmenistan",1.931
2004,"EN_ATM_CO2GDP","Turkmenistan",1.968
2005,"EN_ATM_CO2GDP","Turkmenistan",1.799
2006,"EN_ATM_CO2GDP","Turkmenistan",1.658
