Year,SeriesCode,GeoAreaName,Value
2000,"IT_MOB_2GNTWK","Azerbaijan",93.5
2001,"IT_MOB_2GNTWK","Azerbaijan",94
2002,"IT_MOB_2GNTWK","Azerbaijan",95
2003,"IT_MOB_2GNTWK","Azerbaijan",95
2004,"IT_MOB_2GNTWK","Azerbaijan",97
2005,"IT_MOB_2GNTWK","Azerbaijan",99
2006,"IT_MOB_2GNTWK","Azerbaijan",95
2007,"IT_MOB_2GNTWK","Azerbaijan",99
2008,"IT_MOB_2GNTWK","Azerbaijan",99
2009,"IT_MOB_2GNTWK","Azerbaijan",99.6
2010,"IT_MOB_2GNTWK","Azerbaijan",100
2011,"IT_MOB_2GNTWK","Azerbaijan",100
2012,"IT_MOB_2GNTWK","Azerbaijan",100
2013,"IT_MOB_2GNTWK","Azerbaijan",100
2014,"IT_MOB_2GNTWK","Azerbaijan",100
2015,"IT_MOB_2GNTWK","Azerbaijan",100
2016,"IT_MOB_2GNTWK","Azerbaijan",100
2017,"IT_MOB_2GNTWK","Azerbaijan",100
2018,"IT_MOB_2GNTWK","Azerbaijan",100
2019,"IT_MOB_2GNTWK","Azerbaijan",100
2020,"IT_MOB_2GNTWK","Azerbaijan",100
2021,"IT_MOB_2GNTWK","Azerbaijan",100
2000,"IT_MOB_2GNTWK","Australia",95.6
2001,"IT_MOB_2GNTWK","Australia",96
2002,"IT_MOB_2GNTWK","Australia",96
2003,"IT_MOB_2GNTWK","Australia",96
2004,"IT_MOB_2GNTWK","Australia",96
2005,"IT_MOB_2GNTWK","Australia",98
2006,"IT_MOB_2GNTWK","Australia",98.1
2007,"IT_MOB_2GNTWK","Australia",98.8
2008,"IT_MOB_2GNTWK","Australia",98.8
2009,"IT_MOB_2GNTWK","Australia",99
2010,"IT_MOB_2GNTWK","Australia",99
2011,"IT_MOB_2GNTWK","Australia",99
2012,"IT_MOB_2GNTWK","Australia",99
2013,"IT_MOB_2GNTWK","Australia",99
2014,"IT_MOB_2GNTWK","Australia",99
2015,"IT_MOB_2GNTWK","Australia",99
2016,"IT_MOB_2GNTWK","Australia",99.3
2017,"IT_MOB_2GNTWK","Australia",99.4
2018,"IT_MOB_2GNTWK","Australia",99.4
2019,"IT_MOB_2GNTWK","Australia",99.5
2020,"IT_MOB_2GNTWK","Australia",99.5
2021,"IT_MOB_2GNTWK","Australia",99.5
2000,"IT_MOB_2GNTWK","Austria",98
2001,"IT_MOB_2GNTWK","Austria",98
2002,"IT_MOB_2GNTWK","Austria",98
2003,"IT_MOB_2GNTWK","Austria",98
2004,"IT_MOB_2GNTWK","Austria",98.5
2005,"IT_MOB_2GNTWK","Austria",98.5
2006,"IT_MOB_2GNTWK","Austria",98.5
2007,"IT_MOB_2GNTWK","Austria",98.5
2008,"IT_MOB_2GNTWK","Austria",99
2009,"IT_MOB_2GNTWK","Austria",99
2000,"IT_MOB_2GNTWK","Slovakia",98
2001,"IT_MOB_2GNTWK","Slovakia",98
2002,"IT_MOB_2GNTWK","Slovakia",98
2003,"IT_MOB_2GNTWK","Slovakia",99
2004,"IT_MOB_2GNTWK","Slovakia",99
2005,"IT_MOB_2GNTWK","Slovakia",99.5
2006,"IT_MOB_2GNTWK","Slovakia",99.7
2007,"IT_MOB_2GNTWK","Slovakia",99.8
2008,"IT_MOB_2GNTWK","Slovakia",99.82
2009,"IT_MOB_2GNTWK","Slovakia",99.84
2010,"IT_MOB_2GNTWK","Slovakia",99.85
2010,"IT_MOB_2GNTWK","Austria",99
2011,"IT_MOB_2GNTWK","Austria",99
2012,"IT_MOB_2GNTWK","Austria",99
2013,"IT_MOB_2GNTWK","Austria",99
2014,"IT_MOB_2GNTWK","Austria",99
2015,"IT_MOB_2GNTWK","Austria",99
2016,"IT_MOB_2GNTWK","Austria",99
2017,"IT_MOB_2GNTWK","Austria",99
2018,"IT_MOB_2GNTWK","Austria",99
2019,"IT_MOB_2GNTWK","Austria",99
2020,"IT_MOB_2GNTWK","Austria",99
2021,"IT_MOB_2GNTWK","Austria",99
2001,"IT_MOB_2GNTWK","Armenia",38
2014,"IT_MOB_4GNTWK","Albania",0.00
2015,"IT_MOB_4GNTWK","Albania",35.00
2016,"IT_MOB_4GNTWK","Albania",80.20
2017,"IT_MOB_4GNTWK","Albania",85.30
2018,"IT_MOB_4GNTWK","Albania",85.50
2019,"IT_MOB_4GNTWK","Albania",95.00
2020,"IT_MOB_4GNTWK","Albania",98.38
2021,"IT_MOB_4GNTWK","Albania",98.90
2012,"IT_MOB_4GNTWK","Azerbaijan",6.68
2013,"IT_MOB_4GNTWK","Azerbaijan",14.31
2014,"IT_MOB_4GNTWK","Azerbaijan",49.00
2015,"IT_MOB_4GNTWK","Azerbaijan",39.00
2016,"IT_MOB_4GNTWK","Azerbaijan",41.00
