Indicator,Disaggregations,Number of disaggregations
#1-1-1,"GeoAreaName, Age, Sex, Location",4
#1-1-1-a,"GeoAreaName, Poverty Line",2
#1-1-1-b,"GeoAreaName, Age, Sex",3
#1-3-1,"GeoAreaName, Sex, SeriesDescription, Quantile",4
#16-10-1-a,"GeoAreaName, Metric",2
#16-10-2-a,"GeoAreaName, Metric",2
#16-3-2-a,"GeoAreaName, Metric",2
#16-5-2-a,"GeoAreaName, Metric",2
#16-6-2-a,"GeoAreaName, Metric",2
#16-6-2-b,"GeoAreaName, Metric",2
#7-1-1,"GeoAreaName, Location",2
#7-1-2,"GeoAreaName, Location",2
#7-2-1,GeoAreaName,1
#7-3-1,GeoAreaName,1
