Indicator,Disaggregation combinations using this value
#1-1-1,216
#1-1-1-a,253
#1-2-2-SD_MDP_ANDI,9
#1-2-2-SD_MDP_MUHC,181
#16-2-2-VC_HTF_DETV,181
#16-2-2-VC_HTF_DETVFL,56
#16-2-2-VC_HTF_DETVFLR,56
#16-2-2-VC_HTF_DETVOG,11
#16-2-2-VC_HTF_DETVOGR,11
#16-2-2-VC_HTF_DETVOP,50
#16-2-2-VC_HTF_DETVOPR,50
#16-2-2-VC_HTF_DETVR,178
#16-2-2-VC_HTF_DETVSX,57
#16-2-2-VC_HTF_DETVSXR,57
#16-6-2-SP_PSR_OSATIS_GOV,20
#16-6-2-SP_PSR_OSATIS_HLTH,9
#16-6-2-SP_PSR_OSATIS_PRM,13
#16-6-2-SP_PSR_OSATIS_SEC,9
#16-6-2-SP_PSR_SATIS_GOV,101
#16-6-2-SP_PSR_SATIS_HLTH,57
#16-6-2-SP_PSR_SATIS_PRM,58
#16-6-2-SP_PSR_SATIS_SEC,42
#16-7-1-SG_DMK_JDC,64
#16-7-1-SG_DMK_JDC_CNS,30
#16-7-1-SG_DMK_JDC_HGR,35
#16-7-1-SG_DMK_JDC_LWR,40
#16-7-1-SG_DMK_PSRVC,131
#16-7-2-IU_DMK_ICRS,6
#16-7-2-IU_DMK_INCL,20
#16-7-2-IU_DMK_RESP,11
#2-1-2,54
#3-3-1,121
#4-4-1,2837
