Indicator,Disaggregation combinations using this value
#1-1-1,267
#1-1-1-a,310
#1-2-1,54
#1-2-2-SD_MDP_ANDI,3
#1-2-2-SD_MDP_CSMP,1
#1-2-2-SD_MDP_MUHC,180
#1-2-2-SD_MDP_MUHHC,4
#1-4-1-SP_ACS_BSRVH2O,63
#1-4-1-SP_ACS_BSRVSAN,63
#10-3-1,771
#11-6-2,63
#16-6-2-SP_PSR_OSATIS_GOV,21
#16-6-2-SP_PSR_OSATIS_HLTH,12
#16-6-2-SP_PSR_OSATIS_PRM,16
#16-6-2-SP_PSR_OSATIS_SEC,7
#16-6-2-SP_PSR_SATIS_GOV,104
#16-6-2-SP_PSR_SATIS_HLTH,72
#16-6-2-SP_PSR_SATIS_PRM,66
#16-6-2-SP_PSR_SATIS_SEC,30
#16-7-2-IU_DMK_ICRS,12
#16-7-2-IU_DMK_INCL,28
#16-7-2-IU_DMK_RESP,15
#16-b-1,771
#2-1-2,162
#4-1-2,1830
#4-4-1,4445
#4-5-1-SE_AGP_CPRA,510
#4-5-1-SE_AWP_CPRA,217
#5-4-1-SL_DOM_TSPD,477
#5-4-1-SL_DOM_TSPDCW,466
#5-4-1-SL_DOM_TSPDDC,474
#6-1-1,58
#6-2-1-SH_SAN_DEFECT,63
#6-2-1-SH_SAN_HNDWSH,19
#6-2-1-SH_SAN_SAFE,58
#6-3-1,273
#7-1-1,63
#7-1-2,61
#8-10-2-FB_BNK_ACCSS,558
