Indicator,Disaggregation combinations using this value
#1-1-1,44
#1-1-1-a,50
#1-1-1-b,78
#1-2-2-SD_MDP_MUHC,38
#1-3-1-SI_COV_BENFTS,8
#1-3-1-SI_COV_CHLD,24
#1-3-1-SI_COV_DISAB,47
#1-3-1-SI_COV_MATNL,58
#1-3-1-SI_COV_PENSN,56
#1-3-1-SI_COV_UEMP,44
#1-3-1-SI_COV_VULN,10
#1-3-1-SI_COV_WKINJRY,6
#1-4-2-SP_LGL_LNDDOC,5
#1-4-2-SP_LGL_LNDSTR,2
#10-3-1,472
#11-7-2,5
#16-1-1-VC_IHR_PSRC,60
#16-1-1-VC_IHR_PSRCN,60
#16-1-3-VC_VOV_PHYL,13
#16-1-3-VC_VOV_ROBB,18
#16-1-3-VC_VOV_SEXL,9
#16-1-4,22
#16-2-2-VC_HTF_DETV,151
#16-2-2-VC_HTF_DETVFL,59
#16-2-2-VC_HTF_DETVFLR,59
#16-2-2-VC_HTF_DETVOP,47
#16-2-2-VC_HTF_DETVOPR,47
#16-2-2-VC_HTF_DETVR,151
#16-2-2-VC_HTF_DETVSX,35
#16-2-2-VC_HTF_DETVSXR,35
#16-2-3,10
#16-3-1-VC_PRR_PHYV,12
#16-3-1-VC_PRR_ROBB,9
#16-3-1-VC_PRR_SEXV,6
#16-3-2,47
#16-3-3,1
#16-5-1,11
#16-6-2-SP_PSR_OSATIS_GOV,4
#16-6-2-SP_PSR_OSATIS_HLTH,2
#16-6-2-SP_PSR_OSATIS_PRM,3
#16-6-2-SP_PSR_OSATIS_SEC,2
#16-6-2-SP_PSR_SATIS_GOV,20
#16-6-2-SP_PSR_SATIS_HLTH,13
#16-6-2-SP_PSR_SATIS_PRM,13
#16-6-2-SP_PSR_SATIS_SEC,9
#16-7-1-SG_DMK_JDC,46
#16-7-1-SG_DMK_JDC_CNS,28
#16-7-1-SG_DMK_JDC_HGR,31
#16-7-1-SG_DMK_JDC_LWR,34
#16-7-1-SG_DMK_PARLCC_JC,5
#16-7-1-SG_DMK_PARLCC_LC,127
#16-7-1-SG_DMK_PARLCC_UC,31
#16-7-1-SG_DMK_PARLSP_LC,25
#16-7-1-SG_DMK_PARLSP_UC,13
#16-7-1-SG_DMK_PSRVC,117
#16-7-2-IU_DMK_ICRS,1
#16-7-2-IU_DMK_INCL,3
#16-7-2-IU_DMK_RESP,2
#16-b-1,472
#17-8-1,58
#2-1-2,54
#2-2-3,180
#2-3-1,59
#2-3-2,20
#3-1-1-SH_STA_MORT,62
#3-2-1-a,62
#3-2-1-b,62
#3-3-1,157
#3-4-1,62
#3-4-2,62
#3-5-1-SH_SUD_ALCOL,62
#3-5-2,62
#3-6-1,62
#3-7-1,28
#3-7-2,125
#3-9-3,62
#3-a-1,59
#3-c-1-SH_MED_HWRKDIS,85
#4-1-1,210
#4-1-2,1677
#4-2-1,16
#4-2-2,59
#4-3-1,200
#4-4-1,1939
#4-5-1-SE_ALP_CPLR,396
#4-5-1-SE_AWP_CPRA,195
#4-6-1,64
#4-c-1,107
#5-2-1,116
#5-3-1,54
#5-4-1-SL_DOM_TSPD,526
#5-4-1-SL_DOM_TSPDCW,514
#5-4-1-SL_DOM_TSPDDC,525
#5-5-1-SG_GEN_LOCGELS,56
#5-5-1-SG_GEN_PARL,63
#5-5-2-IC_GEN_MGTL,60
#5-5-2-IC_GEN_MGTL_19ICLS,46
#5-5-2-IC_GEN_MGTN,50
#5-5-2-IC_GEN_MGTN_19ICLS,40
#5-6-1-SH_FPL_INFM,12
#5-6-1-SH_FPL_INFMCU,12
#5-6-1-SH_FPL_INFMRH,12
#5-6-1-SH_FPL_INFMSR,12
#5-a-1-SP_LGL_LNDAGSEC,4
#5-b-1,34
#8-10-2-FB_BNK_ACCSS,62
#8-3-1-SL_ISV_IFEM,140
#8-3-1-SL_ISV_IFEM_19ICLS,119
#8-5-1-SL_EMP_EARN,857
#8-5-2-SL_TLF_UEM,182
#8-5-2-SL_TLF_UEMDIS,128
#8-5-2-SL_TLF_UEMDIS_19ICLS,109
#8-5-2-SL_TLF_UEM_19ICLS,139
#8-6-1-SL_TLF_NEET,57
#8-6-1-SL_TLF_NEET_19ICLS,46
#8-7-1-SL_TLF_CHLDEA,18
#8-7-1-SL_TLF_CHLDEC,17
#8-8-1-SL_EMP_FTLINJUR,87
#8-8-1-SL_EMP_INJUR,87
