Indicator,Disaggregation combinations using this value
#1-3-1-SI_COV_CHLD,3
#1-3-1-SI_COV_DISAB,3
#1-3-1-SI_COV_MATNL,1
#1-3-1-SI_COV_PENSN,3
#1-3-1-SI_COV_UEMP,3
#1-4-1-SP_ACS_BSRVH2O,1
#1-4-1-SP_ACS_BSRVSAN,1
#10-6-1-SG_INT_MBRDEV,3
#10-6-1-SG_INT_VRTDEV,3
#10-7-4,1
#10-a-1,5
#10-b-1-DC_TRF_TOTDL,1
#11-6-1,1
#11-6-2,3
#11-a-1,1
#12-2-2-EN_MAT_DOMCMPC,18
#12-2-2-EN_MAT_DOMCMPG,18
#12-2-2-EN_MAT_DOMCMPT,18
#12-3-1-AG_FOOD_WST,4
#12-3-1-AG_FOOD_WST_PC,4
#12-4-1-SG_HAZ_CMRBASEL,1
#12-4-1-SG_HAZ_CMRMNMT,1
#12-4-1-SG_HAZ_CMRMNTRL,1
#12-4-1-SG_HAZ_CMRROTDAM,1
#12-4-1-SG_HAZ_CMRSTHOLM,1
#12-4-2-EN_EWT_COLLPCAP,1
#12-4-2-EN_EWT_COLLV,1
#12-4-2-EN_HAZ_EXP,1
#12-4-2-EN_HAZ_GENGDP,1
#12-4-2-EN_HAZ_GENV,1
#12-4-2-EN_HAZ_IMP,1
#12-4-2-EN_HAZ_PCAP,1
#12-4-2-EN_HAZ_TREATV,2
#12-4-2-EN_MWT_COLLV,1
#12-4-2-EN_MWT_EXP,1
#12-4-2-EN_MWT_GENV,1
#12-4-2-EN_MWT_IMP,1
#12-4-2-EN_MWT_TREATR,6
#12-4-2-EN_MWT_TREATV,6
#12-4-2-EN_TWT_GENV,7
#12-5-1-EN_EWT_RCYPCAP,1
#12-5-1-EN_EWT_RCYR,1
#12-5-1-EN_EWT_RCYV,1
#12-5-1-EN_MWT_RCYR,1
#12-5-1-EN_MWT_RCYV,1
#12-6-1-EN_SCP_FRMN,3
#12-b-1-ST_EEV_ACCSEEA,1
#12-b-1-ST_EEV_ACCTSA,1
#12-b-1-ST_EEV_STDACCT,1
#13-2-2-EN_ATM_GHGT_AIP,1
#14-c-1,2
#15-1-1,1
#15-1-2-ER_PTD_TERR,1
#15-2-1-AG_LND_FRSTBIOPHA,1
#15-2-1-AG_LND_FRSTCERT,1
#15-2-1-AG_LND_FRSTCHG,1
#15-2-1-AG_LND_FRSTPRCT,1
#15-4-1,1
#15-4-2-ER_MTN_DGRDA,3
#15-4-2-ER_MTN_DGRDP,3
#15-4-2-ER_MTN_GRNCOV,24
#15-4-2-ER_MTN_GRNCVI,33
#15-4-2-ER_MTN_TOTL,3
#15-5-1,1
#15-6-1-ER_CBD_ABSCLRHS,1
#15-6-1-ER_CBD_NAGOYA,1
#15-6-1-ER_CBD_ORSPGRFA,1
#15-6-1-ER_CBD_PTYPGRFA,1
#15-6-1-ER_CBD_SMTA,1
#15-8-1-ER_IAS_GLOFUN,1
#15-8-1-ER_IAS_LEGIS,1
#15-8-1-ER_IAS_NATBUD,1
#15-8-1-ER_IAS_NBSAP,1
#15-9-1-ER_BDY_ABT2NP,2
#16-1-1-VC_IHR_PSRC,3
#16-1-1-VC_IHR_PSRCN,3
#16-10-2,1
#16-3-2,3
#16-7-1-SG_DMK_JDC,1
#16-7-1-SG_DMK_JDC_CNS,1
#16-7-1-SG_DMK_JDC_HGR,1
#16-7-1-SG_DMK_PARLCC_LC,6
#16-7-1-SG_DMK_PARLMP_LC,1
#16-7-1-SG_DMK_PARLSP_LC,1
#16-7-1-SG_DMK_PARLYN_LC,1
#16-7-1-SG_DMK_PARLYP_LC,1
#16-7-1-SG_DMK_PARLYR_LC,1
#16-8-1-SG_INT_MBRDEV,3
#16-8-1-SG_INT_VRTDEV,3
#16-9-1,1
#16-a-1-SG_NHR_NOAPPLN,1
#17-12-1-TM_TAX_DMFN,6
#17-12-1-TM_TAX_DPRF,6
#17-13-1-BX_KLT_DINV_WD_GD_ZS,1
#17-13-1-NY_GDP_MKTP_KD_ZG,1
#17-13-1-PA_NUS_ATLS,1
#17-18-1-SG_STT_ODIN,1
#17-18-2,1
#17-18-3-SG_STT_NSDSFDGVT,1
#17-18-3-SG_STT_NSDSFND,1
#17-18-3-SG_STT_NSDSIMPL,1
#17-19-2-SG_REG_BRTH90N,1
#17-19-2-SG_REG_CENSUSN,1
#17-19-2-SG_REG_DETH75N,1
#17-6-1-IT_NET_BBND,4
#17-6-1-IT_NET_BBNDN,4
#17-8-1,1
#2-4-1-a-AG_LND_AGRWAG,1
#2-4-1-a-AG_LND_FIES,1
#2-4-1-a-AG_LND_LNDSTR,1
#2-4-1-a-AG_LND_NFI,1
#2-4-1-a-AG_LND_RMM,1
#3-4-1-a,3
#3-7-2,2
#3-d-1,41
#4-1-1,2
#4-2-2,3
#4-5-1-SE_GPI_PTNPRE,1
#5-5-1-SG_GEN_LOCGELS,1
#5-5-1-SG_GEN_PARL,1
#6-1-1,1
#6-2-1-SH_SAN_DEFECT,1
#6-2-1-SH_SAN_SAFE,1
#6-3-1,2
#6-3-2,3
#6-4-1,1
#6-5-1-ER_H2O_IWRMD,1
#6-5-1-ER_H2O_IWRMD_EE,1
#6-5-1-ER_H2O_IWRMD_FI,1
#6-5-1-ER_H2O_IWRMD_IP,1
#6-5-1-ER_H2O_IWRMD_MI,1
#6-5-2-EG_TBA_H2CO,1
#6-5-2-EG_TBA_H2COAQ,1
#6-5-2-EG_TBA_H2CORL,1
#6-6-1-EN_LKRV_PWAC,1
#6-6-1-EN_LKRV_PWAN,1
#6-6-1-EN_LKRV_PWAP,1
#6-6-1-EN_LKRV_SWAC,1
#6-6-1-EN_LKRV_SWAN,1
#6-6-1-EN_LKRV_SWAP,1
#6-6-1-EN_RSRV_MNWAN,1
#6-6-1-EN_RSRV_MNWAP,1
#6-6-1-EN_RSRV_MXWAN,1
#6-6-1-EN_RSRV_MXWAP,1
