Indicator,Disaggregation combinations using this value
#1-1-1,40
#1-1-1-a,46
#1-2-2-SD_MDP_ANDI,3
#1-2-2-SD_MDP_CSMP,1
#1-2-2-SD_MDP_MUHC,33
#1-2-2-SD_MDP_MUHHC,2
#1-4-1-SP_ACS_BSRVH2O,58
#1-4-1-SP_ACS_BSRVSAN,58
#10-3-1,203
#11-6-2,62
#16-6-2-SP_PSR_OSATIS_GOV,2
#16-6-2-SP_PSR_OSATIS_HLTH,1
#16-6-2-SP_PSR_OSATIS_PRM,1
#16-6-2-SP_PSR_OSATIS_SEC,1
#16-6-2-SP_PSR_SATIS_GOV,11
#16-6-2-SP_PSR_SATIS_HLTH,5
#16-6-2-SP_PSR_SATIS_PRM,6
#16-6-2-SP_PSR_SATIS_SEC,6
#16-7-2-IU_DMK_INCL,2
#16-7-2-IU_DMK_RESP,1
#16-b-1,203
#4-1-2,1585
#4-4-1,746
#4-5-1-SE_AGP_CPRA,396
#4-5-1-SE_AWP_CPRA,192
#5-4-1-SL_DOM_TSPD,284
#5-4-1-SL_DOM_TSPDCW,277
#5-4-1-SL_DOM_TSPDDC,288
#6-1-1,22
#6-2-1-SH_SAN_DEFECT,58
#6-2-1-SH_SAN_HNDWSH,19
#6-2-1-SH_SAN_SAFE,30
#6-b-1-ER_H2O_PRDU,33
#6-b-1-ER_H2O_RURP,33
#7-1-1,63
#7-1-2,61
#8-10-2-FB_BNK_ACCSS,11
#9-1-1,2
