Year,SeriesCode,Country,Sex,Value
2008,SI_COV_WKINJRY,Albania,Both sexes,34.0
2021,SI_COV_WKINJRY,Albania,Both sexes,40.7
2020,SI_COV_WKINJRY,Azerbaijan,Both sexes,32.1
2019,SI_COV_WKINJRY,Australia,Both sexes,72.0
2019,SI_COV_WKINJRY,Austria,Both sexes,77.4
2020,SI_COV_WKINJRY,Armenia,Both sexes,53.2
2019,SI_COV_WKINJRY,Belgium,Both sexes,63.1
2019,SI_COV_WKINJRY,Bulgaria,Both sexes,86.8
2020,SI_COV_WKINJRY,Belarus,Both sexes,70.9
2019,SI_COV_WKINJRY,Canada,Both sexes,69.1
2020,SI_COV_WKINJRY,Chile,Both sexes,68.7
2020,SI_COV_WKINJRY,Chile,Female,65.9
2020,SI_COV_WKINJRY,Chile,Male,70.8
2021,SI_COV_WKINJRY,Chile,Female,78.6
2021,SI_COV_WKINJRY,Chile,Male,81.3
2021,SI_COV_WKINJRY,Chile,Both sexes,80.2
2017,SI_COV_WKINJRY,China,Both sexes,28.2
2020,SI_COV_WKINJRY,China,Both sexes,31.8
2015,SI_COV_WKINJRY,Colombia,Both sexes,39.6
2020,SI_COV_WKINJRY,Colombia,Both sexes,37.7
2021,SI_COV_WKINJRY,Colombia,Both sexes,43.5
2020,SI_COV_WKINJRY,Costa Rica,Both sexes,58.1
2020,SI_COV_WKINJRY,Costa Rica,Male,61.0
2020,SI_COV_WKINJRY,Costa Rica,Female,53.6
2021,SI_COV_WKINJRY,Costa Rica,Male,53.3
2021,SI_COV_WKINJRY,Costa Rica,Female,48.1
2021,SI_COV_WKINJRY,Costa Rica,Both sexes,51.2
2011,SI_COV_WKINJRY,Croatia,Both sexes,68.0
2007,SI_COV_WKINJRY,Cyprus,Both sexes,68.2
2019,SI_COV_WKINJRY,Czechia,Both sexes,66.2
2019,SI_COV_WKINJRY,Denmark,Both sexes,88.0
2019,SI_COV_WKINJRY,Estonia,Both sexes,76.8
2019,SI_COV_WKINJRY,Finland,Both sexes,66.5
2019,SI_COV_WKINJRY,France,Both sexes,74.1
2020,SI_COV_WKINJRY,Georgia,Both sexes,48.9
2019,SI_COV_WKINJRY,Germany,Both sexes,100.0
2020,SI_COV_WKINJRY,Germany,Male,100.0
2020,SI_COV_WKINJRY,Germany,Female,100.0
2019,SI_COV_WKINJRY,Greece,Both sexes,46.9
2019,SI_COV_WKINJRY,Hungary,Both sexes,78.3
2019,SI_COV_WKINJRY,Iceland,Both sexes,95.1
2016,SI_COV_WKINJRY,India,Both sexes,3.7
2020,SI_COV_WKINJRY,India,Both sexes,3.7
2019,SI_COV_WKINJRY,Ireland,Both sexes,71.8
2019,SI_COV_WKINJRY,Israel,Both sexes,74.1
2019,SI_COV_WKINJRY,Italy,Both sexes,72.2
2007,SI_COV_WKINJRY,Japan,Both sexes,83.6
2020,SI_COV_WKINJRY,Japan,Both sexes,84.0
2015,SI_COV_WKINJRY,Kazakhstan,Both sexes,43.1
2020,SI_COV_WKINJRY,Kazakhstan,Both sexes,75.4
2019,SI_COV_WKINJRY,Republic of Korea,Both sexes,85.2
2020,SI_COV_WKINJRY,Republic of Korea,Both sexes,85.2
2019,SI_COV_WKINJRY,Kyrgyzstan,Both sexes,44.0
2020,SI_COV_WKINJRY,Kyrgyzstan,Both sexes,64.6
2019,SI_COV_WKINJRY,Latvia,Both sexes,69.2
2019,SI_COV_WKINJRY,Lithuania,Both sexes,64.7
2019,SI_COV_WKINJRY,Luxembourg,Both sexes,77.1
2019,SI_COV_WKINJRY,Malta,Both sexes,73.5
2020,SI_COV_WKINJRY,Mexico,Female,35.6
2020,SI_COV_WKINJRY,Mexico,Both sexes,35.4
2020,SI_COV_WKINJRY,Mexico,Male,35.3
2021,SI_COV_WKINJRY,Mexico,Female,36.8
2021,SI_COV_WKINJRY,Mexico,Male,36.8
2021,SI_COV_WKINJRY,Mexico,Both sexes,36.8
2011,SI_COV_WKINJRY,Moldova,Both sexes,71.6
2020,SI_COV_WKINJRY,Moldova,Both sexes,71.6
2019,SI_COV_WKINJRY,Netherlands (Kingdom of the),Both sexes,97.6
2019,SI_COV_WKINJRY,New Zealand,Both sexes,100.0
2020,SI_COV_WKINJRY,New Zealand,Female,100.0
2020,SI_COV_WKINJRY,New Zealand,Male,100.0
2019,SI_COV_WKINJRY,Norway,Both sexes,89.6
2008,SI_COV_WKINJRY,Poland,Both sexes,95.2
2019,SI_COV_WKINJRY,Poland,Both sexes,100.0
2020,SI_COV_WKINJRY,Poland,Both sexes,100.0
2020,SI_COV_WKINJRY,Poland,Male,100.0
2020,SI_COV_WKINJRY,Poland,Female,100.0
2019,SI_COV_WKINJRY,Portugal,Both sexes,77.3
2019,SI_COV_WKINJRY,Romania,Both sexes,63.1
2019,SI_COV_WKINJRY,Serbia,Both sexes,66.2
2021,SI_COV_WKINJRY,Serbia,Both sexes,63.9
2019,SI_COV_WKINJRY,Slovakia,Both sexes,66.4
2020,SI_COV_WKINJRY,Slovakia,Both sexes,66.4
2015,SI_COV_WKINJRY,Viet Nam,Both sexes,21.1
2020,SI_COV_WKINJRY,Viet Nam,Both sexes,26.2
2015,SI_COV_WKINJRY,Slovenia,Both sexes,80.5
2020,SI_COV_WKINJRY,Slovenia,Both sexes,80.5
2016,SI_COV_WKINJRY,Spain,Both sexes,76.2
2020,SI_COV_WKINJRY,Spain,Both sexes,76.2
2019,SI_COV_WKINJRY,Sweden,Both sexes,84.8
2019,SI_COV_WKINJRY,Switzerland,Both sexes,66.7
2010,SI_COV_WKINJRY,Türkiye,Both sexes,38.6
2019,SI_COV_WKINJRY,Türkiye,Both sexes,60.3
2019,SI_COV_WKINJRY,Turkmenistan,Both sexes,52.6
2019,SI_COV_WKINJRY,United Kingdom of Great Britain and Northern Ireland,Both sexes,68.0
2019,SI_COV_WKINJRY,Uzbekistan,Both sexes,44.1
2019,SI_COV_WKINJRY,Uzbekistan,Both sexes,44.1
