Year,SeriesCode,Country,Value
2005,VC_DSR_CILN,Costa Rica,332342135.01
2006,VC_DSR_CILN,Costa Rica,21418285.34
2007,VC_DSR_CILN,Costa Rica,239119878.17
2008,VC_DSR_CILN,Costa Rica,89326266.29
2009,VC_DSR_CILN,Costa Rica,488642247.01
2010,VC_DSR_CILN,Costa Rica,282710947.9
2011,VC_DSR_CILN,Costa Rica,0.0
2012,VC_DSR_CILN,Costa Rica,100621759.17
2013,VC_DSR_CILN,Costa Rica,0.0
2014,VC_DSR_CILN,Costa Rica,48201817.16
2015,VC_DSR_CILN,Costa Rica,168508711.71
2016,VC_DSR_CILN,Costa Rica,583543.47
2017,VC_DSR_CILN,Costa Rica,524684683.2
2018,VC_DSR_CILN,Costa Rica,15609228.95
2019,VC_DSR_CILN,Costa Rica,59413897.85
2020,VC_DSR_CILN,Costa Rica,199426944.68
2021,VC_DSR_CILN,Costa Rica,33504470940.7
2017,VC_DSR_CILN,Croatia,0.0
2006,VC_DSR_CILN,Cyprus,4236059.47
2010,VC_DSR_CILN,Cyprus,331433.12
2011,VC_DSR_CILN,Cyprus,144605079.34
2012,VC_DSR_CILN,Cyprus,385912.89
2013,VC_DSR_CILN,Cyprus,896601.54
2014,VC_DSR_CILN,Cyprus,6642.75
2015,VC_DSR_CILN,Cyprus,442139.13
2005,VC_DSR_CILN,Estonia,0.0
2007,VC_DSR_CILN,Estonia,0.0
2008,VC_DSR_CILN,Estonia,0.0
2009,VC_DSR_CILN,Estonia,0.0
2010,VC_DSR_CILN,Estonia,111251.65
2011,VC_DSR_CILN,Estonia,0.0
2012,VC_DSR_CILN,Estonia,0.0
2013,VC_DSR_CILN,Estonia,0.0
2014,VC_DSR_CILN,Estonia,0.0
2015,VC_DSR_CILN,Estonia,0.0
2016,VC_DSR_CILN,Estonia,0.0
2005,VC_DSR_CILN,Albania,1221416.1
2006,VC_DSR_CILN,Albania,105408.89
2007,VC_DSR_CILN,Albania,65105.22
2008,VC_DSR_CILN,Albania,0.0
2009,VC_DSR_CILN,Albania,469920.0
2010,VC_DSR_CILN,Albania,3280619.06
2017,VC_DSR_CILN,Estonia,0.0
2018,VC_DSR_CILN,Estonia,0.0
2015,VC_DSR_CILN,Finland,0.0
2016,VC_DSR_CILN,Finland,0.0
2017,VC_DSR_CILN,Finland,0.0
2018,VC_DSR_CILN,Finland,0.0
2011,VC_DSR_CILN,Albania,197937.96
2012,VC_DSR_CILN,Albania,236455.56
2013,VC_DSR_CILN,Albania,77283.36
2014,VC_DSR_CILN,Albania,0.0
2015,VC_DSR_CILN,Albania,311652.0
2016,VC_DSR_CILN,Albania,65340.0
2019,VC_DSR_CILN,Finland,0.0
2015,VC_DSR_CILN,Georgia,0.0
2016,VC_DSR_CILN,Georgia,0.0
2017,VC_DSR_CILN,Georgia,39936185.77
2018,VC_DSR_CILN,Georgia,0.0
2019,VC_DSR_CILN,Georgia,0.0
2018,VC_DSR_CILN,Albania,169620.0
2019,VC_DSR_CILN,Albania,176748.0
2020,VC_DSR_CILN,Albania,0.0
2015,VC_DSR_CILN,Australia,0.0
2016,VC_DSR_CILN,Australia,0.0
2017,VC_DSR_CILN,Australia,0.0
2018,VC_DSR_CILN,Australia,0.0
2019,VC_DSR_CILN,Australia,147597940.21
2020,VC_DSR_CILN,Australia,343035.0
2021,VC_DSR_CILN,Australia,290268.0
2016,VC_DSR_CILN,Armenia,2289.34
2017,VC_DSR_CILN,Armenia,0.0
2018,VC_DSR_CILN,Armenia,556792.5
2019,VC_DSR_CILN,Armenia,124884.2
2020,VC_DSR_CILN,Armenia,8220.1
2021,VC_DSR_CILN,Armenia,5955.1
2005,VC_DSR_CILN,Bulgaria,2270503.78
2006,VC_DSR_CILN,Bulgaria,250055.15
2007,VC_DSR_CILN,Bulgaria,697690.69
2008,VC_DSR_CILN,Bulgaria,714511.26
2009,VC_DSR_CILN,Bulgaria,0.0
2010,VC_DSR_CILN,Bulgaria,1591747.66
2011,VC_DSR_CILN,Bulgaria,413793.1
2012,VC_DSR_CILN,Bulgaria,3770039.42
2013,VC_DSR_CILN,Bulgaria,426530.94
2014,VC_DSR_CILN,Bulgaria,6195228.6
2015,VC_DSR_CILN,Bulgaria,69954092.04
2016,VC_DSR_CILN,Bulgaria,9799208.14
2017,VC_DSR_CILN,Bulgaria,110565831.17
2018,VC_DSR_CILN,Bulgaria,3169583.58
2019,VC_DSR_CILN,Bulgaria,1519116.6
2020,VC_DSR_CILN,Bulgaria,2304700.81
2021,VC_DSR_CILN,Bulgaria,72564.59
2016,VC_DSR_CILN,Belarus,0.0
2017,VC_DSR_CILN,Belarus,0.0
2018,VC_DSR_CILN,Belarus,0.0
2019,VC_DSR_CILN,Belarus,0.0
2005,VC_DSR_CILN,Chile,0.0
2006,VC_DSR_CILN,Chile,377162.79
2007,VC_DSR_CILN,Chile,7720911.73
2008,VC_DSR_CILN,Chile,9883500.0
2009,VC_DSR_CILN,Chile,0.0
2013,VC_DSR_CILN,Chile,0.0
2016,VC_DSR_CILN,Chile,53955.0
2017,VC_DSR_CILN,Chile,1513484.66
2018,VC_DSR_CILN,Chile,0.0
2019,VC_DSR_CILN,Chile,0.0
2021,VC_DSR_CILN,Chile,0.0
2005,VC_DSR_CILN,Colombia,994968866.27
2006,VC_DSR_CILN,Colombia,4241572.5
2007,VC_DSR_CILN,Colombia,8743048916.25
2008,VC_DSR_CILN,Colombia,9339440838.75
2009,VC_DSR_CILN,Colombia,0.0
2010,VC_DSR_CILN,Colombia,10393103985.0
2021,VC_DSR_CILN,Hungary,0.0
2015,VC_DSR_CILN,Ireland,0.0
2016,VC_DSR_CILN,Ireland,121759342.41
2017,VC_DSR_CILN,Ireland,28242029.41
2015,VC_DSR_CILN,Japan,351903373.66
2016,VC_DSR_CILN,Japan,2422887080.74
2017,VC_DSR_CILN,Japan,794180553.43
2018,VC_DSR_CILN,Japan,1835298831.36
2019,VC_DSR_CILN,Japan,1506042355.45
2020,VC_DSR_CILN,Japan,1384346394.69
2021,VC_DSR_CILN,Japan,717330591.14
2005,VC_DSR_CILN,Kazakhstan,0.0
2006,VC_DSR_CILN,Kazakhstan,0.0
2007,VC_DSR_CILN,Kazakhstan,0.0
2008,VC_DSR_CILN,Kazakhstan,0.0
2009,VC_DSR_CILN,Kazakhstan,0.0
2010,VC_DSR_CILN,Kazakhstan,0.0
2011,VC_DSR_CILN,Kazakhstan,0.0
2012,VC_DSR_CILN,Kazakhstan,0.0
2013,VC_DSR_CILN,Kazakhstan,0.0
2014,VC_DSR_CILN,Kazakhstan,67386.0
2015,VC_DSR_CILN,Kazakhstan,0.0
2016,VC_DSR_CILN,Kazakhstan,0.0
2017,VC_DSR_CILN,Kazakhstan,1336038.85
2018,VC_DSR_CILN,Kazakhstan,308988.13
2019,VC_DSR_CILN,Kazakhstan,403198.95
2020,VC_DSR_CILN,Kazakhstan,2019663.28
2015,VC_DSR_CILN,Republic of Korea,0.0
2016,VC_DSR_CILN,Republic of Korea,298002.45
2017,VC_DSR_CILN,Republic of Korea,11575198.38
2018,VC_DSR_CILN,Republic of Korea,149954.57
2019,VC_DSR_CILN,Republic of Korea,564.99
2020,VC_DSR_CILN,Republic of Korea,684727.97
2015,VC_DSR_CILN,Kyrgyzstan,8839302.47
2016,VC_DSR_CILN,Kyrgyzstan,585377.53
2017,VC_DSR_CILN,Kyrgyzstan,5647395.62
2018,VC_DSR_CILN,Kyrgyzstan,3568825.37
2019,VC_DSR_CILN,Kyrgyzstan,4309717.61
2020,VC_DSR_CILN,Lithuania,0.0
2015,VC_DSR_CILN,Mexico,761851.77
2016,VC_DSR_CILN,Mexico,242371.08
2017,VC_DSR_CILN,Mexico,9819091.54
2018,VC_DSR_CILN,Mexico,129584.93
2019,VC_DSR_CILN,Mexico,616.88
2020,VC_DSR_CILN,Mexico,553.08
2021,VC_DSR_CILN,Mexico,42029357.63
2020,VC_DSR_CILN,Montenegro,103665.23
2021,VC_DSR_CILN,Montenegro,190421.19
2017,VC_DSR_CILN,Netherlands (Kingdom of the),0.0
2019,VC_DSR_CILN,Netherlands (Kingdom of the),0.0
2015,VC_DSR_CILN,New Zealand,0.0
2016,VC_DSR_CILN,New Zealand,0.0
2017,VC_DSR_CILN,New Zealand,0.0
2020,VC_DSR_CILN,New Zealand,22113303.54
2017,VC_DSR_CILN,Norway,10638726.58
