Year,SeriesCode,Country,Value
2005,VC_DSR_DDPA,Albania,0.0
2006,VC_DSR_DDPA,Albania,0.0
2007,VC_DSR_DDPA,Albania,0.0
2008,VC_DSR_DDPA,Albania,0.0
2009,VC_DSR_DDPA,Albania,0.0
2010,VC_DSR_DDPA,Albania,0.0
2011,VC_DSR_DDPA,Albania,0.0
2012,VC_DSR_DDPA,Albania,0.0
2013,VC_DSR_DDPA,Albania,0.0
2014,VC_DSR_DDPA,Albania,0.0
2015,VC_DSR_DDPA,Albania,0.0
2016,VC_DSR_DDPA,Albania,0.0
2019,VC_DSR_DDPA,Albania,0.0
2020,VC_DSR_DDPA,Albania,0.0
2019,VC_DSR_DDPA,Australia,0.0
2018,VC_DSR_DDPA,Austria,590477254.9
2017,VC_DSR_DDPA,Armenia,31220.61
2019,VC_DSR_DDPA,Armenia,0.0
2005,VC_DSR_DDPA,Bulgaria,1122546.22
2006,VC_DSR_DDPA,Bulgaria,0.0
2008,VC_DSR_DDPA,Bulgaria,6.73
2009,VC_DSR_DDPA,Bulgaria,0.0
2010,VC_DSR_DDPA,Bulgaria,12535.34
2011,VC_DSR_DDPA,Bulgaria,0.0
2012,VC_DSR_DDPA,Bulgaria,180683.31
2013,VC_DSR_DDPA,Bulgaria,0.0
2014,VC_DSR_DDPA,Bulgaria,0.0
2015,VC_DSR_DDPA,Bulgaria,236340.97
2016,VC_DSR_DDPA,Bulgaria,0.0
2017,VC_DSR_DDPA,Bulgaria,9042927.69
2018,VC_DSR_DDPA,Bulgaria,302875.68
2019,VC_DSR_DDPA,Bulgaria,2289.64
2020,VC_DSR_DDPA,Bulgaria,0.0
2015,VC_DSR_DDPA,Belarus,0.0
2016,VC_DSR_DDPA,Belarus,0.0
2017,VC_DSR_DDPA,Belarus,0.0
2018,VC_DSR_DDPA,Belarus,0.0
2019,VC_DSR_DDPA,Belarus,0.0
2021,VC_DSR_DDPA,Belarus,0.0
2009,VC_DSR_DDPA,Chile,0.0
2013,VC_DSR_DDPA,Chile,0.0
2016,VC_DSR_DDPA,Chile,0.0
2018,VC_DSR_DDPA,Chile,0.0
2019,VC_DSR_DDPA,Chile,0.0
2005,VC_DSR_DDPA,Colombia,0.0
2016,VC_DSR_DDPA,Colombia,0.0
2005,VC_DSR_DDPA,Costa Rica,0.0
2006,VC_DSR_DDPA,Costa Rica,0.0
2007,VC_DSR_DDPA,Costa Rica,0.0
2008,VC_DSR_DDPA,Costa Rica,0.0
2009,VC_DSR_DDPA,Costa Rica,0.0
2010,VC_DSR_DDPA,Costa Rica,0.0
2011,VC_DSR_DDPA,Costa Rica,0.0
2012,VC_DSR_DDPA,Costa Rica,0.0
2013,VC_DSR_DDPA,Costa Rica,0.0
2014,VC_DSR_DDPA,Costa Rica,0.0
2015,VC_DSR_DDPA,Costa Rica,0.0
2016,VC_DSR_DDPA,Costa Rica,0.0
2017,VC_DSR_DDPA,Costa Rica,0.0
2018,VC_DSR_DDPA,Costa Rica,0.0
2019,VC_DSR_DDPA,Costa Rica,0.0
2020,VC_DSR_DDPA,Costa Rica,0.0
2021,VC_DSR_DDPA,Costa Rica,0.0
2017,VC_DSR_DDPA,Czechia,36190.45
2005,VC_DSR_DDPA,Estonia,59694067.9
2006,VC_DSR_DDPA,Estonia,0.0
