Year,SeriesCode,Country,Policy Domains,Value
2021,SG_CPA_MIGRS,Bulgaria,DOMAIN3,3
2021,SG_CPA_MIGRS,Bulgaria,DOMAIN2,4
2021,SG_CPA_MIGRS,Bulgaria,DOMAIN1,1
2021,SG_CPA_MIGRS,Bulgaria,ALLDOMAINS,2
2021,SG_CPA_MIGRS,Bulgaria,DOMAIN5,1
2021,SG_CPA_MIGRS,Bulgaria,DOMAIN6,4
2021,SG_CPA_MIGRS,Bulgaria,DOMAIN4,1
2019,SG_CPA_MIGRS,Belarus,DOMAIN4,4
2019,SG_CPA_MIGRS,Belarus,DOMAIN2,2
2019,SG_CPA_MIGRS,Belarus,DOMAIN1,2
2019,SG_CPA_MIGRS,Belarus,ALLDOMAINS,2
2019,SG_CPA_MIGRS,Belarus,DOMAIN6,4
2019,SG_CPA_MIGRS,Albania,DOMAIN2,4
2019,SG_CPA_MIGRS,Albania,DOMAIN1,2
2019,SG_CPA_MIGRS,Albania,ALLDOMAINS,3
2019,SG_CPA_MIGRS,Albania,DOMAIN4,3
2019,SG_CPA_MIGRS,Albania,DOMAIN3,4
2019,SG_CPA_MIGRS,Albania,DOMAIN6,2
2019,SG_CPA_MIGRS,Albania,DOMAIN5,3
2021,SG_CPA_MIGRS,Albania,DOMAIN5,4
2021,SG_CPA_MIGRS,Albania,DOMAIN4,4
2021,SG_CPA_MIGRS,Albania,DOMAIN3,4
2021,SG_CPA_MIGRS,Albania,DOMAIN6,4
2021,SG_CPA_MIGRS,Albania,DOMAIN2,4
2021,SG_CPA_MIGRS,Albania,DOMAIN1,2
2021,SG_CPA_MIGRS,Albania,ALLDOMAINS,3
2019,SG_CPA_MIGRS,Azerbaijan,DOMAIN2,4
2019,SG_CPA_MIGRS,Azerbaijan,DOMAIN1,3
2019,SG_CPA_MIGRS,Azerbaijan,DOMAIN4,3
2019,SG_CPA_MIGRS,Azerbaijan,ALLDOMAINS,3
2019,SG_CPA_MIGRS,Azerbaijan,DOMAIN3,4
2019,SG_CPA_MIGRS,Azerbaijan,DOMAIN6,4
2019,SG_CPA_MIGRS,Azerbaijan,DOMAIN5,3
2021,SG_CPA_MIGRS,Azerbaijan,DOMAIN6,4
2021,SG_CPA_MIGRS,Azerbaijan,DOMAIN5,3
2021,SG_CPA_MIGRS,Azerbaijan,DOMAIN4,3
2021,SG_CPA_MIGRS,Azerbaijan,ALLDOMAINS,3
2021,SG_CPA_MIGRS,Azerbaijan,DOMAIN3,4
2019,SG_CPA_MIGRS,Belarus,DOMAIN5,3
2019,SG_CPA_MIGRS,Belarus,DOMAIN3,2
2021,SG_CPA_MIGRS,Belarus,DOMAIN4,3
2021,SG_CPA_MIGRS,Belarus,DOMAIN3,4
2021,SG_CPA_MIGRS,Belarus,DOMAIN2,2
2021,SG_CPA_MIGRS,Belarus,DOMAIN5,3
2019,SG_CPA_MIGRS,Serbia,DOMAIN6,4
2019,SG_CPA_MIGRS,Serbia,DOMAIN1,2
2019,SG_CPA_MIGRS,Serbia,DOMAIN2,4
2019,SG_CPA_MIGRS,Serbia,DOMAIN4,1
2019,SG_CPA_MIGRS,Serbia,DOMAIN5,4
2019,SG_CPA_MIGRS,Serbia,DOMAIN3,4
2019,SG_CPA_MIGRS,Serbia,ALLDOMAINS,3
2021,SG_CPA_MIGRS,Serbia,DOMAIN5,3
2021,SG_CPA_MIGRS,Serbia,DOMAIN4,3
2021,SG_CPA_MIGRS,Serbia,DOMAIN3,4
2021,SG_CPA_MIGRS,Serbia,ALLDOMAINS,3
2021,SG_CPA_MIGRS,Serbia,DOMAIN2,4
2021,SG_CPA_MIGRS,Serbia,DOMAIN1,3
2021,SG_CPA_MIGRS,Serbia,DOMAIN6,3
2021,SG_CPA_MIGRS,Belarus,DOMAIN1,2
2021,SG_CPA_MIGRS,Belarus,ALLDOMAINS,3
2021,SG_CPA_MIGRS,Belarus,DOMAIN6,4
2019,SG_CPA_MIGRS,Canada,ALLDOMAINS,3
