Year,SeriesCode,Country,Value
2018,SG_DSR_SILS,Albania,1.63934
2018,SG_DSR_SILS,Australia,23.46369
2019,SG_DSR_SILS,Australia,12.94416
2020,SG_DSR_SILS,Australia,22.22222
2021,SG_DSR_SILS,Australia,91.21622
2018,SG_DSR_SILS,Austria,40.55344
2017,SG_DSR_SILS,Armenia,16.01513
2018,SG_DSR_SILS,Armenia,43.4263
2019,SG_DSR_SILS,Armenia,47.80877
2020,SG_DSR_SILS,Armenia,49.20319
2021,SG_DSR_SILS,Armenia,30.76923
2017,SG_DSR_SILS,Bosnia and Herzegovina,0.0
2018,SG_DSR_SILS,Bosnia and Herzegovina,0.0
2015,SG_DSR_SILS,Bulgaria,0.0
2016,SG_DSR_SILS,Bulgaria,0.0
2017,SG_DSR_SILS,Bulgaria,0.0
2020,SG_DSR_SILS,Bulgaria,3.38346
2021,SG_DSR_SILS,Bulgaria,11.2782
2015,SG_DSR_SILS,Belarus,0.0
2016,SG_DSR_SILS,Belarus,0.0
2017,SG_DSR_SILS,Belarus,0.0
2018,SG_DSR_SILS,Belarus,0.0
2019,SG_DSR_SILS,Belarus,5.46875
2020,SG_DSR_SILS,Belarus,5.46875
2021,SG_DSR_SILS,Belarus,5.46875
2005,SG_DSR_SILS,Chile,1.15942
2006,SG_DSR_SILS,Chile,1.15942
2007,SG_DSR_SILS,Chile,1.15942
2008,SG_DSR_SILS,Chile,1.15942
2009,SG_DSR_SILS,Chile,1.15942
2010,SG_DSR_SILS,Chile,1.44928
2011,SG_DSR_SILS,Chile,1.44928
2012,SG_DSR_SILS,Chile,4.05797
2013,SG_DSR_SILS,Chile,5.7971
2014,SG_DSR_SILS,Chile,11.01449
2015,SG_DSR_SILS,Chile,20.28986
2016,SG_DSR_SILS,Chile,22.02899
2017,SG_DSR_SILS,Chile,29.85507
2018,SG_DSR_SILS,Chile,53.33333
2019,SG_DSR_SILS,Chile,62.31884
2021,SG_DSR_SILS,Chile,78.55073
2005,SG_DSR_SILS,Colombia,0.0
2006,SG_DSR_SILS,Colombia,0.0
2007,SG_DSR_SILS,Colombia,0.0
2008,SG_DSR_SILS,Colombia,3.53902
2009,SG_DSR_SILS,Colombia,9.89111
2010,SG_DSR_SILS,Colombia,23.68421
2011,SG_DSR_SILS,Colombia,35.66243
2012,SG_DSR_SILS,Colombia,46.64247
2013,SG_DSR_SILS,Colombia,57.07804
2014,SG_DSR_SILS,Colombia,66.06171
2015,SG_DSR_SILS,Colombia,73.77496
2016,SG_DSR_SILS,Colombia,78.67514
2017,SG_DSR_SILS,Colombia,80.30853
2018,SG_DSR_SILS,Colombia,81.94192
2019,SG_DSR_SILS,Colombia,64.79129
