Year,SeriesCode,Country,Value
2015,SG_HAZ_CMRMNTRL,Albania,100
2020,SG_HAZ_CMRMNTRL,Albania,100
2015,SG_HAZ_CMRMNTRL,Azerbaijan,100
2020,SG_HAZ_CMRMNTRL,Azerbaijan,100
2015,SG_HAZ_CMRMNTRL,Australia,100
2020,SG_HAZ_CMRMNTRL,Australia,100
2015,SG_HAZ_CMRMNTRL,Austria,100
2020,SG_HAZ_CMRMNTRL,Austria,100
2015,SG_HAZ_CMRMNTRL,Armenia,100
2020,SG_HAZ_CMRMNTRL,Armenia,100
2015,SG_HAZ_CMRMNTRL,Belgium,100
2020,SG_HAZ_CMRMNTRL,Belgium,100
2015,SG_HAZ_CMRMNTRL,Bosnia and Herzegovina,100
2020,SG_HAZ_CMRMNTRL,Bosnia and Herzegovina,100
2015,SG_HAZ_CMRMNTRL,Bulgaria,100
2020,SG_HAZ_CMRMNTRL,Bulgaria,100
2015,SG_HAZ_CMRMNTRL,Belarus,100
2020,SG_HAZ_CMRMNTRL,Belarus,100
2015,SG_HAZ_CMRMNTRL,Canada,100
2020,SG_HAZ_CMRMNTRL,Canada,100
2015,SG_HAZ_CMRMNTRL,Chile,100
2020,SG_HAZ_CMRMNTRL,Chile,100
2015,SG_HAZ_CMRMNTRL,China,100
2020,SG_HAZ_CMRMNTRL,China,100
2015,SG_HAZ_CMRMNTRL,Colombia,100
2020,SG_HAZ_CMRMNTRL,Colombia,100
2015,SG_HAZ_CMRMNTRL,Costa Rica,100
2020,SG_HAZ_CMRMNTRL,Costa Rica,100
2015,SG_HAZ_CMRMNTRL,Croatia,100
2020,SG_HAZ_CMRMNTRL,Croatia,100
2015,SG_HAZ_CMRMNTRL,Cyprus,100
2020,SG_HAZ_CMRMNTRL,Cyprus,100
2015,SG_HAZ_CMRMNTRL,Czechia,100
2020,SG_HAZ_CMRMNTRL,Czechia,100
2015,SG_HAZ_CMRMNTRL,Denmark,100
2020,SG_HAZ_CMRMNTRL,Denmark,100
2015,SG_HAZ_CMRMNTRL,Estonia,100
2020,SG_HAZ_CMRMNTRL,Estonia,100
2015,SG_HAZ_CMRMNTRL,Finland,100
2020,SG_HAZ_CMRMNTRL,Finland,100
2015,SG_HAZ_CMRMNTRL,France,100
2020,SG_HAZ_CMRMNTRL,France,100
2015,SG_HAZ_CMRMNTRL,Georgia,100
2020,SG_HAZ_CMRMNTRL,Georgia,100
2015,SG_HAZ_CMRMNTRL,Germany,100
2020,SG_HAZ_CMRMNTRL,Germany,100
2015,SG_HAZ_CMRMNTRL,Greece,100
2020,SG_HAZ_CMRMNTRL,Greece,100
2015,SG_HAZ_CMRMNTRL,Hungary,100
2020,SG_HAZ_CMRMNTRL,Hungary,100
2015,SG_HAZ_CMRMNTRL,Iceland,100
2020,SG_HAZ_CMRMNTRL,Iceland,100
2015,SG_HAZ_CMRMNTRL,India,100
2020,SG_HAZ_CMRMNTRL,India,100
2015,SG_HAZ_CMRMNTRL,Ireland,100
2020,SG_HAZ_CMRMNTRL,Ireland,100
2015,SG_HAZ_CMRMNTRL,Israel,100
2020,SG_HAZ_CMRMNTRL,Israel,100
2015,SG_HAZ_CMRMNTRL,Italy,100
2020,SG_HAZ_CMRMNTRL,Italy,100
