Year,SeriesCode,Country,Value
2014,EN_EWT_GENV,Austria,76.7
2015,EN_EWT_GENV,Austria,78.9
2016,EN_EWT_GENV,Austria,83.1
2017,EN_EWT_GENV,Austria,113.5
2018,EN_EWT_GENV,Austria,114.9
2013,EN_EWT_GENV,Czechia,10.53
2014,EN_EWT_GENV,Czechia,10.308
2015,EN_EWT_GENV,Czechia,10.48
2016,EN_EWT_GENV,Czechia,11.442
2017,EN_EWT_GENV,Czechia,10.115
2018,EN_EWT_GENV,Czechia,13.102
2011,EN_EWT_GENV,Denmark,52.0
2012,EN_EWT_GENV,Denmark,44.0
2013,EN_EWT_GENV,Denmark,54.0
2014,EN_EWT_GENV,Denmark,29.0
2015,EN_EWT_GENV,Denmark,32.0
2016,EN_EWT_GENV,Denmark,58.0
2017,EN_EWT_GENV,Denmark,40.0
2018,EN_EWT_GENV,Denmark,69.0
2004,EN_EWT_GENV,Estonia,0.41
2005,EN_EWT_GENV,Estonia,0.51
2006,EN_EWT_GENV,Estonia,1.94
2007,EN_EWT_GENV,Estonia,2.88
2008,EN_EWT_GENV,Estonia,3.33
2009,EN_EWT_GENV,Estonia,2.97
2010,EN_EWT_GENV,Estonia,2.59
2011,EN_EWT_GENV,Estonia,4.01
2012,EN_EWT_GENV,Estonia,2.98
2013,EN_EWT_GENV,Estonia,2.61
2014,EN_EWT_GENV,Estonia,3.52
2015,EN_EWT_GENV,Estonia,4.4
2016,EN_EWT_GENV,Estonia,5.48
2017,EN_EWT_GENV,Estonia,6.26
2018,EN_EWT_GENV,Estonia,7.05
2006,EN_EWT_GENV,Finland,40.11
2007,EN_EWT_GENV,Finland,47.69
2008,EN_EWT_GENV,Finland,54.48
2009,EN_EWT_GENV,Finland,46.15
2010,EN_EWT_GENV,Finland,49.75
2011,EN_EWT_GENV,Finland,51.72
2012,EN_EWT_GENV,Finland,65.76
2013,EN_EWT_GENV,Finland,39.22
2014,EN_EWT_GENV,Finland,59.37
2015,EN_EWT_GENV,Finland,63.603
2016,EN_EWT_GENV,Finland,56.96
2017,EN_EWT_GENV,Finland,54.05
2018,EN_EWT_GENV,Finland,57.48
2005,EN_EWT_GENV,France,92.0
2006,EN_EWT_GENV,France,139.0
2007,EN_EWT_GENV,France,186.0
2008,EN_EWT_GENV,France,251.0
2009,EN_EWT_GENV,France,316.0
2010,EN_EWT_GENV,France,350.0
2011,EN_EWT_GENV,France,384.0
2012,EN_EWT_GENV,France,388.0
2013,EN_EWT_GENV,France,391.0
2014,EN_EWT_GENV,France,417.0
2015,EN_EWT_GENV,France,443.0
2016,EN_EWT_GENV,France,482.0
2017,EN_EWT_GENV,France,521.0
2018,EN_EWT_GENV,France,547.0
2021,EN_EWT_GENV,Georgia,29000.0
2006,EN_EWT_GENV,Germany,409.0
2007,EN_EWT_GENV,Germany,396.0
2008,EN_EWT_GENV,Germany,469.0
2009,EN_EWT_GENV,Germany,605.0
2010,EN_EWT_GENV,Germany,586.0
2011,EN_EWT_GENV,Germany,591.0
2012,EN_EWT_GENV,Germany,623.0
2013,EN_EWT_GENV,Germany,597.0
2014,EN_EWT_GENV,Germany,598.0
2015,EN_EWT_GENV,Germany,591.0
2016,EN_EWT_GENV,Germany,617.0
2017,EN_EWT_GENV,Germany,669.0
2018,EN_EWT_GENV,Germany,724.0
2005,EN_EWT_GENV,Hungary,2.0
2006,EN_EWT_GENV,Hungary,6.0
2007,EN_EWT_GENV,Hungary,9.0
2008,EN_EWT_GENV,Hungary,13.0
2009,EN_EWT_GENV,Hungary,18.0
2010,EN_EWT_GENV,Hungary,16.0
2011,EN_EWT_GENV,Hungary,12.0
2012,EN_EWT_GENV,Hungary,14.0
2013,EN_EWT_GENV,Hungary,17.0
2014,EN_EWT_GENV,Hungary,19.0
2015,EN_EWT_GENV,Hungary,20.0
2016,EN_EWT_GENV,Hungary,21.0
2017,EN_EWT_GENV,Hungary,24.0
