Year,SeriesCode,Country,Value
2005,EN_EWT_RCYPCAP,Austria,2.35
2006,EN_EWT_RCYPCAP,Austria,7.57
2007,EN_EWT_RCYPCAP,Austria,7.78
2008,EN_EWT_RCYPCAP,Austria,8.98
2009,EN_EWT_RCYPCAP,Austria,9.06
2010,EN_EWT_RCYPCAP,Austria,8.88
2011,EN_EWT_RCYPCAP,Austria,8.99
2012,EN_EWT_RCYPCAP,Austria,9.18
2013,EN_EWT_RCYPCAP,Austria,9.06
2014,EN_EWT_RCYPCAP,Austria,9.09
2015,EN_EWT_RCYPCAP,Austria,9.28
2016,EN_EWT_RCYPCAP,Austria,9.7
2017,EN_EWT_RCYPCAP,Austria,13.24
2018,EN_EWT_RCYPCAP,Austria,13.17
2005,EN_EWT_RCYPCAP,Belgium,6.51
2006,EN_EWT_RCYPCAP,Belgium,7.22
2007,EN_EWT_RCYPCAP,Belgium,7.7
2008,EN_EWT_RCYPCAP,Belgium,8.31
2009,EN_EWT_RCYPCAP,Belgium,9.21
2010,EN_EWT_RCYPCAP,Belgium,9.53
2011,EN_EWT_RCYPCAP,Belgium,9.98
2012,EN_EWT_RCYPCAP,Belgium,10.1
2013,EN_EWT_RCYPCAP,Belgium,10.46
2014,EN_EWT_RCYPCAP,Belgium,10.38
2015,EN_EWT_RCYPCAP,Belgium,9.96
2016,EN_EWT_RCYPCAP,Belgium,10.23
2017,EN_EWT_RCYPCAP,Belgium,10.29
2018,EN_EWT_RCYPCAP,Belgium,11.05
2007,EN_EWT_RCYPCAP,Bulgaria,2.79
2008,EN_EWT_RCYPCAP,Bulgaria,4.5
2009,EN_EWT_RCYPCAP,Bulgaria,4.34
2010,EN_EWT_RCYPCAP,Bulgaria,6.08
2011,EN_EWT_RCYPCAP,Bulgaria,5.3
2012,EN_EWT_RCYPCAP,Bulgaria,5.15
2013,EN_EWT_RCYPCAP,Bulgaria,4.55
2014,EN_EWT_RCYPCAP,Bulgaria,5.74
2015,EN_EWT_RCYPCAP,Bulgaria,8.12
2016,EN_EWT_RCYPCAP,Bulgaria,6.48
2017,EN_EWT_RCYPCAP,Bulgaria,7.44
2018,EN_EWT_RCYPCAP,Bulgaria,6.68
2010,EN_EWT_RCYPCAP,Croatia,3.99
2011,EN_EWT_RCYPCAP,Croatia,3.92
2012,EN_EWT_RCYPCAP,Croatia,3.86
2013,EN_EWT_RCYPCAP,Croatia,3.57
2014,EN_EWT_RCYPCAP,Croatia,3.64
2015,EN_EWT_RCYPCAP,Croatia,5.39
2016,EN_EWT_RCYPCAP,Croatia,9.44
