Year,SeriesCode,Country,Activity,Level of requirement,Value
2016,EN_SCP_FRMN,Hungary,TOTAL,TOTAL,4
2016,EN_SCP_FRMN,Hungary,ISIC4_C,TOTAL,2
2016,EN_SCP_FRMN,Hungary,ISIC4_G,TOTAL,4
2016,EN_SCP_FRMN,Hungary,ISIC4_J,TOTAL,1
2016,EN_SCP_FRMN,Hungary,ISIC4_K,TOTAL,1
2017,EN_SCP_FRMN,Hungary,ISIC4_C,TOTAL,2
2017,EN_SCP_FRMN,Hungary,ISIC4_K,TOTAL,1
2017,EN_SCP_FRMN,Hungary,TOTAL,TOTAL,4
2017,EN_SCP_FRMN,Hungary,ISIC4_G,TOTAL,4
2017,EN_SCP_FRMN,Hungary,ISIC4_J,TOTAL,1
2018,EN_SCP_FRMN,Hungary,ISIC4_K,TOTAL,1
2018,EN_SCP_FRMN,Hungary,ISIC4_J,TOTAL,1
2018,EN_SCP_FRMN,Hungary,ISIC4_C,TOTAL,2
2018,EN_SCP_FRMN,Hungary,ISIC4_G,TOTAL,4
2018,EN_SCP_FRMN,Hungary,TOTAL,TOTAL,4
2019,EN_SCP_FRMN,Hungary,ISIC4_G,TOTAL,4
2019,EN_SCP_FRMN,Hungary,TOTAL,TOTAL,4
2019,EN_SCP_FRMN,Hungary,ISIC4_K,TOTAL,1
2019,EN_SCP_FRMN,Hungary,ISIC4_J,TOTAL,1
2019,EN_SCP_FRMN,Hungary,ISIC4_C,TOTAL,2
2020,EN_SCP_FRMN,Hungary,ISIC4_J,TOTAL,1
2020,EN_SCP_FRMN,Hungary,ISIC4_K,TOTAL,1
2020,EN_SCP_FRMN,Hungary,ISIC4_C,TOTAL,2
2020,EN_SCP_FRMN,Hungary,ISIC4_G,TOTAL,4
2020,EN_SCP_FRMN,Hungary,TOTAL,TOTAL,4
2021,EN_SCP_FRMN,Hungary,ISIC4_C,TOTAL,2
2021,EN_SCP_FRMN,Hungary,ISIC4_G,TOTAL,6
2021,EN_SCP_FRMN,Hungary,ISIC4_F,TOTAL,2
2021,EN_SCP_FRMN,Hungary,ISIC4_J,TOTAL,1
2021,EN_SCP_FRMN,Hungary,TOTAL,TOTAL,6
2021,EN_SCP_FRMN,Hungary,ISIC4_K,TOTAL,1
2020,EN_SCP_FRMN,Iceland,ISIC4_A,TOTAL,1
2020,EN_SCP_FRMN,Iceland,ISIC4_K,TOTAL,1
2020,EN_SCP_FRMN,Iceland,ISIC4_G,TOTAL,7
2020,EN_SCP_FRMN,Iceland,ISIC4_M,TOTAL,1
2020,EN_SCP_FRMN,Iceland,ISIC4_C,TOTAL,1
2020,EN_SCP_FRMN,Iceland,TOTAL,TOTAL,7
2020,EN_SCP_FRMN,Iceland,ISIC4_H,TOTAL,1
2021,EN_SCP_FRMN,Iceland,ISIC4_A,TOTAL,1
2021,EN_SCP_FRMN,Iceland,ISIC4_M,TOTAL,1
2021,EN_SCP_FRMN,Iceland,ISIC4_G,TOTAL,8
2021,EN_SCP_FRMN,Iceland,TOTAL,TOTAL,8
2021,EN_SCP_FRMN,Iceland,ISIC4_H,TOTAL,1
2021,EN_SCP_FRMN,Iceland,ISIC4_C,TOTAL,1
2021,EN_SCP_FRMN,Iceland,ISIC4_K,TOTAL,2
2016,EN_SCP_FRMN,India,ISIC4_F,TOTAL,3
2016,EN_SCP_FRMN,India,TOTAL,TOTAL,80
2016,EN_SCP_FRMN,India,ISIC4_J,TOTAL,4
2016,EN_SCP_FRMN,India,ISIC4_B,TOTAL,2
2016,EN_SCP_FRMN,India,ISIC4_H,TOTAL,3
2016,EN_SCP_FRMN,India,ISIC4_C,TOTAL,38
2016,EN_SCP_FRMN,India,ISIC4_Q,TOTAL,1
2016,EN_SCP_FRMN,India,ISIC4_G,TOTAL,80
2016,EN_SCP_FRMN,India,ISIC4_K,TOTAL,17
2016,EN_SCP_FRMN,India,ISIC4_M,TOTAL,7
2017,EN_SCP_FRMN,India,ISIC4_J,TOTAL,4
2017,EN_SCP_FRMN,India,ISIC4_G,TOTAL,87
2017,EN_SCP_FRMN,India,ISIC4_F,TOTAL,4
2017,EN_SCP_FRMN,India,ISIC4_Q,TOTAL,1
