Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2000,ER_RSK_LST,Bulgaria,,,,,0.93639
2001,ER_RSK_LST,Bulgaria,,,,,0.93613
2002,ER_RSK_LST,Bulgaria,,,,,0.93586
2003,ER_RSK_LST,Bulgaria,,,,,0.9356
2004,ER_RSK_LST,Bulgaria,,,,,0.93558
2005,ER_RSK_LST,Bulgaria,,,,,0.93557
2006,ER_RSK_LST,Bulgaria,,,,,0.93556
2007,ER_RSK_LST,Bulgaria,,,,,0.93555
2008,ER_RSK_LST,Bulgaria,,,,,0.93555
2009,ER_RSK_LST,Bulgaria,,,,,0.93555
2010,ER_RSK_LST,Bulgaria,,,,,0.93555
2011,ER_RSK_LST,Bulgaria,,,,,0.93555
2012,ER_RSK_LST,Bulgaria,,,,,0.93555
2013,ER_RSK_LST,Bulgaria,,,,,0.93554
2014,ER_RSK_LST,Bulgaria,,,,,0.93554
2015,ER_RSK_LST,Bulgaria,,,,,0.93553
2016,ER_RSK_LST,Bulgaria,,,,,0.93553
2017,ER_RSK_LST,Bulgaria,,,,,0.93552
2018,ER_RSK_LST,Bulgaria,,,,,0.93552
2019,ER_RSK_LST,Bulgaria,,,,,0.93551
2020,ER_RSK_LST,Bulgaria,,,,,0.9355
2021,ER_RSK_LST,Bulgaria,,,,,0.9355
2022,ER_RSK_LST,Bulgaria,,,,,0.93549
2023,ER_RSK_LST,Bulgaria,,,,,0.93549
2000,ER_RSK_LST,Belarus,,,,,0.94676
2001,ER_RSK_LST,Belarus,,,,,0.94798
2002,ER_RSK_LST,Belarus,,,,,0.94918
2003,ER_RSK_LST,Belarus,,,,,0.95039
2004,ER_RSK_LST,Belarus,,,,,0.95159
2005,ER_RSK_LST,Belarus,,,,,0.95284
2006,ER_RSK_LST,Belarus,,,,,0.95408
2007,ER_RSK_LST,Belarus,,,,,0.95533
2008,ER_RSK_LST,Belarus,,,,,0.95658
2009,ER_RSK_LST,Belarus,,,,,0.95749
2010,ER_RSK_LST,Belarus,,,,,0.95831
2011,ER_RSK_LST,Belarus,,,,,0.95964
2012,ER_RSK_LST,Belarus,,,,,0.96096
2013,ER_RSK_LST,Belarus,,,,,0.96259
2014,ER_RSK_LST,Belarus,,,,,0.96371
2015,ER_RSK_LST,Belarus,,,,,0.96489
2016,ER_RSK_LST,Belarus,,,,,0.96656
2017,ER_RSK_LST,Belarus,,,,,0.96732
2018,ER_RSK_LST,Belarus,,,,,0.96917
2019,ER_RSK_LST,Belarus,,,,,0.96996
2020,ER_RSK_LST,Belarus,,,,,0.97103
2021,ER_RSK_LST,Belarus,,,,,0.97265
