Year,SeriesCode,Country,Value
2016,ER_CBD_PTYPGRFA,Japan,1
2017,ER_CBD_PTYPGRFA,Japan,1
2018,ER_CBD_PTYPGRFA,Japan,1
2019,ER_CBD_PTYPGRFA,Japan,1
2020,ER_CBD_PTYPGRFA,Japan,1
2021,ER_CBD_PTYPGRFA,Japan,1
2022,ER_CBD_PTYPGRFA,Japan,1
2012,ER_CBD_PTYPGRFA,Kazakhstan,0
2013,ER_CBD_PTYPGRFA,Kazakhstan,0
2014,ER_CBD_PTYPGRFA,Kazakhstan,0
2015,ER_CBD_PTYPGRFA,Kazakhstan,0
2016,ER_CBD_PTYPGRFA,Kazakhstan,0
2017,ER_CBD_PTYPGRFA,Kazakhstan,0
2018,ER_CBD_PTYPGRFA,Kazakhstan,0
2019,ER_CBD_PTYPGRFA,Kazakhstan,0
2020,ER_CBD_PTYPGRFA,Kazakhstan,0
2021,ER_CBD_PTYPGRFA,Kazakhstan,0
2022,ER_CBD_PTYPGRFA,Kazakhstan,0
2012,ER_CBD_PTYPGRFA,Republic of Korea,1
2013,ER_CBD_PTYPGRFA,Republic of Korea,1
2014,ER_CBD_PTYPGRFA,Republic of Korea,1
2015,ER_CBD_PTYPGRFA,Republic of Korea,1
2016,ER_CBD_PTYPGRFA,Republic of Korea,1
2017,ER_CBD_PTYPGRFA,Republic of Korea,1
2018,ER_CBD_PTYPGRFA,Republic of Korea,1
2019,ER_CBD_PTYPGRFA,Republic of Korea,1
2020,ER_CBD_PTYPGRFA,Republic of Korea,1
2021,ER_CBD_PTYPGRFA,Republic of Korea,1
2022,ER_CBD_PTYPGRFA,Republic of Korea,1
2012,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2013,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2014,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2015,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2016,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2017,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2018,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2019,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2020,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2021,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2022,ER_CBD_PTYPGRFA,Kyrgyzstan,1
2012,ER_CBD_PTYPGRFA,Latvia,1
2013,ER_CBD_PTYPGRFA,Latvia,1
2014,ER_CBD_PTYPGRFA,Latvia,1
2015,ER_CBD_PTYPGRFA,Latvia,1
2016,ER_CBD_PTYPGRFA,Latvia,1
2017,ER_CBD_PTYPGRFA,Latvia,1
2018,ER_CBD_PTYPGRFA,Latvia,1
2019,ER_CBD_PTYPGRFA,Latvia,1
2020,ER_CBD_PTYPGRFA,Latvia,1
2021,ER_CBD_PTYPGRFA,Latvia,1
2022,ER_CBD_PTYPGRFA,Latvia,1
2012,ER_CBD_PTYPGRFA,Liechtenstein,0
2013,ER_CBD_PTYPGRFA,Liechtenstein,0
2014,ER_CBD_PTYPGRFA,Liechtenstein,0
2015,ER_CBD_PTYPGRFA,Liechtenstein,0
2016,ER_CBD_PTYPGRFA,Liechtenstein,0
2017,ER_CBD_PTYPGRFA,Liechtenstein,0
2018,ER_CBD_PTYPGRFA,Liechtenstein,0
2019,ER_CBD_PTYPGRFA,Liechtenstein,0
2020,ER_CBD_PTYPGRFA,Liechtenstein,0
2021,ER_CBD_PTYPGRFA,Liechtenstein,0
2022,ER_CBD_PTYPGRFA,Liechtenstein,0
2012,ER_CBD_PTYPGRFA,Lithuania,1
2013,ER_CBD_PTYPGRFA,Lithuania,1
2014,ER_CBD_PTYPGRFA,Lithuania,1
2015,ER_CBD_PTYPGRFA,Lithuania,1
2012,ER_CBD_PTYPGRFA,Albania,1
2013,ER_CBD_PTYPGRFA,Albania,1
2014,ER_CBD_PTYPGRFA,Albania,1
2015,ER_CBD_PTYPGRFA,Albania,1
2016,ER_CBD_PTYPGRFA,Albania,1
2017,ER_CBD_PTYPGRFA,Albania,1
2018,ER_CBD_PTYPGRFA,Albania,1
2019,ER_CBD_PTYPGRFA,Albania,1
2020,ER_CBD_PTYPGRFA,Albania,1
2021,ER_CBD_PTYPGRFA,Albania,1
2022,ER_CBD_PTYPGRFA,Albania,1
2016,ER_CBD_PTYPGRFA,Lithuania,1
2017,ER_CBD_PTYPGRFA,Lithuania,1
2018,ER_CBD_PTYPGRFA,Lithuania,1
2019,ER_CBD_PTYPGRFA,Lithuania,1
2020,ER_CBD_PTYPGRFA,Lithuania,1
2021,ER_CBD_PTYPGRFA,Lithuania,1
2022,ER_CBD_PTYPGRFA,Lithuania,1
2012,ER_CBD_PTYPGRFA,Luxembourg,1
2013,ER_CBD_PTYPGRFA,Luxembourg,1
2014,ER_CBD_PTYPGRFA,Luxembourg,1
2015,ER_CBD_PTYPGRFA,Luxembourg,1
2012,ER_CBD_PTYPGRFA,Azerbaijan,0
2013,ER_CBD_PTYPGRFA,Azerbaijan,0
2014,ER_CBD_PTYPGRFA,Azerbaijan,0
2015,ER_CBD_PTYPGRFA,Azerbaijan,0
2016,ER_CBD_PTYPGRFA,Azerbaijan,0
2017,ER_CBD_PTYPGRFA,Azerbaijan,0
2018,ER_CBD_PTYPGRFA,Azerbaijan,0
2019,ER_CBD_PTYPGRFA,Azerbaijan,0
2020,ER_CBD_PTYPGRFA,Azerbaijan,0
2021,ER_CBD_PTYPGRFA,Azerbaijan,0
2022,ER_CBD_PTYPGRFA,Azerbaijan,0
2012,ER_CBD_PTYPGRFA,Australia,1
2013,ER_CBD_PTYPGRFA,Australia,1
2014,ER_CBD_PTYPGRFA,Australia,1
2015,ER_CBD_PTYPGRFA,Australia,1
2016,ER_CBD_PTYPGRFA,Australia,1
2017,ER_CBD_PTYPGRFA,Australia,1
2018,ER_CBD_PTYPGRFA,Australia,1
2019,ER_CBD_PTYPGRFA,Australia,1
2020,ER_CBD_PTYPGRFA,Australia,1
2021,ER_CBD_PTYPGRFA,Australia,1
2022,ER_CBD_PTYPGRFA,Australia,1
2016,ER_CBD_PTYPGRFA,Luxembourg,1
2017,ER_CBD_PTYPGRFA,Luxembourg,1
2018,ER_CBD_PTYPGRFA,Luxembourg,1
2019,ER_CBD_PTYPGRFA,Luxembourg,1
2020,ER_CBD_PTYPGRFA,Luxembourg,1
2021,ER_CBD_PTYPGRFA,Luxembourg,1
2022,ER_CBD_PTYPGRFA,Luxembourg,1
2012,ER_CBD_PTYPGRFA,Malta,0
2013,ER_CBD_PTYPGRFA,Malta,0
2014,ER_CBD_PTYPGRFA,Malta,0
2015,ER_CBD_PTYPGRFA,Malta,0
2012,ER_CBD_PTYPGRFA,Austria,1
2013,ER_CBD_PTYPGRFA,Austria,1
2014,ER_CBD_PTYPGRFA,Austria,1
2015,ER_CBD_PTYPGRFA,Austria,1
2016,ER_CBD_PTYPGRFA,Austria,1
2017,ER_CBD_PTYPGRFA,Austria,1
2018,ER_CBD_PTYPGRFA,Austria,1
2019,ER_CBD_PTYPGRFA,Austria,1
2020,ER_CBD_PTYPGRFA,Austria,1
2021,ER_CBD_PTYPGRFA,Austria,1
2022,ER_CBD_PTYPGRFA,Austria,1
2016,ER_CBD_PTYPGRFA,Malta,0
2017,ER_CBD_PTYPGRFA,Malta,1
2018,ER_CBD_PTYPGRFA,Malta,1
2019,ER_CBD_PTYPGRFA,Malta,1
2020,ER_CBD_PTYPGRFA,Malta,1
2021,ER_CBD_PTYPGRFA,Malta,1
2022,ER_CBD_PTYPGRFA,Malta,1
2012,ER_CBD_PTYPGRFA,Mexico,0
2013,ER_CBD_PTYPGRFA,Mexico,0
2014,ER_CBD_PTYPGRFA,Mexico,0
2015,ER_CBD_PTYPGRFA,Mexico,0
2012,ER_CBD_PTYPGRFA,Armenia,1
2013,ER_CBD_PTYPGRFA,Armenia,1
2014,ER_CBD_PTYPGRFA,Armenia,1
2015,ER_CBD_PTYPGRFA,Armenia,1
2016,ER_CBD_PTYPGRFA,Armenia,1
2017,ER_CBD_PTYPGRFA,Armenia,1
2018,ER_CBD_PTYPGRFA,Armenia,1
2019,ER_CBD_PTYPGRFA,Armenia,1
2020,ER_CBD_PTYPGRFA,Armenia,1
2021,ER_CBD_PTYPGRFA,Armenia,1
2022,ER_CBD_PTYPGRFA,Armenia,1
2012,ER_CBD_PTYPGRFA,Belgium,1
2013,ER_CBD_PTYPGRFA,Belgium,1
2014,ER_CBD_PTYPGRFA,Belgium,1
2015,ER_CBD_PTYPGRFA,Belgium,1
2016,ER_CBD_PTYPGRFA,Belgium,1
2017,ER_CBD_PTYPGRFA,Belgium,1
2018,ER_CBD_PTYPGRFA,Belgium,1
2019,ER_CBD_PTYPGRFA,Belgium,1
2020,ER_CBD_PTYPGRFA,Belgium,1
2021,ER_CBD_PTYPGRFA,Belgium,1
2022,ER_CBD_PTYPGRFA,Belgium,1
2016,ER_CBD_PTYPGRFA,Mexico,0
2017,ER_CBD_PTYPGRFA,Mexico,0
2018,ER_CBD_PTYPGRFA,Mexico,0
2019,ER_CBD_PTYPGRFA,Mexico,0
2020,ER_CBD_PTYPGRFA,Mexico,0
2021,ER_CBD_PTYPGRFA,Mexico,0
2022,ER_CBD_PTYPGRFA,Mexico,0
2012,ER_CBD_PTYPGRFA,Moldova,0
2013,ER_CBD_PTYPGRFA,Moldova,0
2014,ER_CBD_PTYPGRFA,Moldova,0
2015,ER_CBD_PTYPGRFA,Moldova,1
2016,ER_CBD_PTYPGRFA,Moldova,1
2017,ER_CBD_PTYPGRFA,Moldova,1
2018,ER_CBD_PTYPGRFA,Moldova,1
2019,ER_CBD_PTYPGRFA,Moldova,1
2020,ER_CBD_PTYPGRFA,Moldova,1
2021,ER_CBD_PTYPGRFA,Moldova,1
2022,ER_CBD_PTYPGRFA,Moldova,1
