Year,SeriesCode,Country,Value
2013,ER_CBD_SMTA,Luxembourg,11
2014,ER_CBD_SMTA,Luxembourg,16
2015,ER_CBD_SMTA,Luxembourg,16
2016,ER_CBD_SMTA,Luxembourg,17
2017,ER_CBD_SMTA,Luxembourg,17
2018,ER_CBD_SMTA,Luxembourg,17
2019,ER_CBD_SMTA,Luxembourg,18
2020,ER_CBD_SMTA,Luxembourg,20
2021,ER_CBD_SMTA,Luxembourg,20
2022,ER_CBD_SMTA,Luxembourg,22
2012,ER_CBD_SMTA,Malta,0
2013,ER_CBD_SMTA,Malta,0
2014,ER_CBD_SMTA,Malta,0
2015,ER_CBD_SMTA,Malta,0
2016,ER_CBD_SMTA,Malta,0
2017,ER_CBD_SMTA,Malta,0
2018,ER_CBD_SMTA,Malta,0
2019,ER_CBD_SMTA,Malta,0
2020,ER_CBD_SMTA,Malta,0
2021,ER_CBD_SMTA,Malta,0
2022,ER_CBD_SMTA,Malta,0
2012,ER_CBD_SMTA,Albania,0
2013,ER_CBD_SMTA,Albania,0
2014,ER_CBD_SMTA,Albania,0
2015,ER_CBD_SMTA,Albania,0
2016,ER_CBD_SMTA,Albania,1
2017,ER_CBD_SMTA,Albania,1
2018,ER_CBD_SMTA,Albania,1
2019,ER_CBD_SMTA,Albania,1
2020,ER_CBD_SMTA,Albania,1
2021,ER_CBD_SMTA,Albania,1
2012,ER_CBD_SMTA,Mexico,1218
2013,ER_CBD_SMTA,Mexico,1520
2014,ER_CBD_SMTA,Mexico,1864
2015,ER_CBD_SMTA,Mexico,2192
2016,ER_CBD_SMTA,Mexico,2594
2017,ER_CBD_SMTA,Mexico,2955
2018,ER_CBD_SMTA,Mexico,3337
2019,ER_CBD_SMTA,Mexico,3729
2020,ER_CBD_SMTA,Mexico,4000
2021,ER_CBD_SMTA,Mexico,4061
2022,ER_CBD_SMTA,Mexico,4065
2012,ER_CBD_SMTA,Moldova,22
2013,ER_CBD_SMTA,Moldova,24
2014,ER_CBD_SMTA,Moldova,25
2015,ER_CBD_SMTA,Moldova,26
2016,ER_CBD_SMTA,Moldova,27
2017,ER_CBD_SMTA,Moldova,29
2018,ER_CBD_SMTA,Moldova,29
2019,ER_CBD_SMTA,Moldova,30
2020,ER_CBD_SMTA,Moldova,30
2021,ER_CBD_SMTA,Moldova,34
2022,ER_CBD_SMTA,Moldova,34
2012,ER_CBD_SMTA,Montenegro,0
2013,ER_CBD_SMTA,Montenegro,0
2014,ER_CBD_SMTA,Montenegro,0
2015,ER_CBD_SMTA,Montenegro,0
2016,ER_CBD_SMTA,Montenegro,0
2017,ER_CBD_SMTA,Montenegro,0
2018,ER_CBD_SMTA,Montenegro,0
2019,ER_CBD_SMTA,Montenegro,0
2022,ER_CBD_SMTA,Albania,1
2012,ER_CBD_SMTA,Azerbaijan,217
2013,ER_CBD_SMTA,Azerbaijan,252
2014,ER_CBD_SMTA,Azerbaijan,293
2015,ER_CBD_SMTA,Azerbaijan,322
2016,ER_CBD_SMTA,Azerbaijan,343
2017,ER_CBD_SMTA,Azerbaijan,359
2018,ER_CBD_SMTA,Azerbaijan,364
2019,ER_CBD_SMTA,Azerbaijan,378
2020,ER_CBD_SMTA,Azerbaijan,384
2021,ER_CBD_SMTA,Azerbaijan,387
2022,ER_CBD_SMTA,Azerbaijan,387
2012,ER_CBD_SMTA,Australia,266
2013,ER_CBD_SMTA,Australia,305
2014,ER_CBD_SMTA,Australia,343
2015,ER_CBD_SMTA,Australia,416
2016,ER_CBD_SMTA,Australia,485
2017,ER_CBD_SMTA,Australia,559
2018,ER_CBD_SMTA,Australia,628
2019,ER_CBD_SMTA,Australia,667
2020,ER_CBD_SMTA,Montenegro,0
2021,ER_CBD_SMTA,Montenegro,0
2022,ER_CBD_SMTA,Montenegro,0
2012,ER_CBD_SMTA,Netherlands (Kingdom of the),702
2013,ER_CBD_SMTA,Netherlands (Kingdom of the),850
2014,ER_CBD_SMTA,Netherlands (Kingdom of the),1034
2015,ER_CBD_SMTA,Netherlands (Kingdom of the),1201
2016,ER_CBD_SMTA,Netherlands (Kingdom of the),1381
2017,ER_CBD_SMTA,Netherlands (Kingdom of the),1517
2018,ER_CBD_SMTA,Netherlands (Kingdom of the),1645
2020,ER_CBD_SMTA,Australia,688
2021,ER_CBD_SMTA,Australia,699
2022,ER_CBD_SMTA,Australia,745
2012,ER_CBD_SMTA,Austria,212
2013,ER_CBD_SMTA,Austria,266
2014,ER_CBD_SMTA,Austria,355
2015,ER_CBD_SMTA,Austria,441
2016,ER_CBD_SMTA,Austria,519
2017,ER_CBD_SMTA,Austria,554
2018,ER_CBD_SMTA,Austria,578
2019,ER_CBD_SMTA,Austria,609
2020,ER_CBD_SMTA,Austria,619
2021,ER_CBD_SMTA,Austria,628
2022,ER_CBD_SMTA,Austria,643
2012,ER_CBD_SMTA,Armenia,66
2013,ER_CBD_SMTA,Armenia,87
2014,ER_CBD_SMTA,Armenia,105
2015,ER_CBD_SMTA,Armenia,138
2016,ER_CBD_SMTA,Armenia,153
2017,ER_CBD_SMTA,Armenia,161
2019,ER_CBD_SMTA,Netherlands (Kingdom of the),1785
2020,ER_CBD_SMTA,Netherlands (Kingdom of the),1880
2021,ER_CBD_SMTA,Netherlands (Kingdom of the),1992
2022,ER_CBD_SMTA,Netherlands (Kingdom of the),2056
2012,ER_CBD_SMTA,New Zealand,30
2013,ER_CBD_SMTA,New Zealand,37
2014,ER_CBD_SMTA,New Zealand,49
2015,ER_CBD_SMTA,New Zealand,52
2016,ER_CBD_SMTA,New Zealand,58
2017,ER_CBD_SMTA,New Zealand,65
2018,ER_CBD_SMTA,Armenia,165
2019,ER_CBD_SMTA,Armenia,165
2020,ER_CBD_SMTA,Armenia,165
2021,ER_CBD_SMTA,Armenia,165
2022,ER_CBD_SMTA,Armenia,165
2012,ER_CBD_SMTA,Belgium,137
2013,ER_CBD_SMTA,Belgium,183
2014,ER_CBD_SMTA,Belgium,213
2015,ER_CBD_SMTA,Belgium,263
2016,ER_CBD_SMTA,Belgium,314
2018,ER_CBD_SMTA,New Zealand,72
2019,ER_CBD_SMTA,New Zealand,75
2020,ER_CBD_SMTA,New Zealand,76
2021,ER_CBD_SMTA,New Zealand,76
2022,ER_CBD_SMTA,New Zealand,76
2012,ER_CBD_SMTA,Norway,81
2013,ER_CBD_SMTA,Norway,110
2014,ER_CBD_SMTA,Norway,141
2015,ER_CBD_SMTA,Norway,159
2016,ER_CBD_SMTA,Norway,175
2017,ER_CBD_SMTA,Belgium,466
2018,ER_CBD_SMTA,Belgium,498
2019,ER_CBD_SMTA,Belgium,540
2020,ER_CBD_SMTA,Belgium,568
2021,ER_CBD_SMTA,Belgium,606
2022,ER_CBD_SMTA,Belgium,638
2012,ER_CBD_SMTA,Bosnia and Herzegovina,2
2013,ER_CBD_SMTA,Bosnia and Herzegovina,2
2014,ER_CBD_SMTA,Bosnia and Herzegovina,2
2015,ER_CBD_SMTA,Bosnia and Herzegovina,2
2017,ER_CBD_SMTA,Norway,192
2018,ER_CBD_SMTA,Norway,208
2019,ER_CBD_SMTA,Norway,223
2020,ER_CBD_SMTA,Norway,230
2021,ER_CBD_SMTA,Norway,235
2022,ER_CBD_SMTA,Norway,236
2012,ER_CBD_SMTA,Poland,98
