Year,SeriesCode,Country,Level/Status,Value
2022,ER_BDY_ABT2NP,Albania,ABT2NONTLT,1
2022,ER_BDY_ABT2NP,Albania,Total or no breakdown,0
2022,ER_BDY_ABT2NP,Azerbaijan,ABT2INSUFNT,1
2022,ER_BDY_ABT2NP,Azerbaijan,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Australia,Total or no breakdown,0
2022,ER_BDY_ABT2NP,Australia,ABT2NONTLT,1
2022,ER_BDY_ABT2NP,Austria,ABT2INSUFNT,1
2022,ER_BDY_ABT2NP,Austria,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Armenia,ABT2NOPROG,1
2022,ER_BDY_ABT2NP,Armenia,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Belgium,ABT2INSUFNT,1
2022,ER_BDY_ABT2NP,Belgium,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Bosnia and Herzegovina,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Bosnia and Herzegovina,ABT2ACHIEVE,1
2022,ER_BDY_ABT2NP,Bulgaria,ABT2NONTLT,1
2022,ER_BDY_ABT2NP,Bulgaria,Total or no breakdown,0
2022,ER_BDY_ABT2NP,Belarus,ABT2INSUFNT,1
2022,ER_BDY_ABT2NP,Belarus,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Canada,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Canada,ABT2ACHIEVE,1
2022,ER_BDY_ABT2NP,Chile,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Chile,ABT2NOPROG,1
2022,ER_BDY_ABT2NP,China,Total or no breakdown,1
2022,ER_BDY_ABT2NP,China,ABT2ACHIEVE,1
2022,ER_BDY_ABT2NP,Colombia,ABT2NONTLT,1
2022,ER_BDY_ABT2NP,Colombia,Total or no breakdown,0
2022,ER_BDY_ABT2NP,Costa Rica,ABT2INSUFNT,1
2022,ER_BDY_ABT2NP,Costa Rica,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Croatia,Total or no breakdown,1
2022,ER_BDY_ABT2NP,Croatia,ABT2ACHIEVE,1
2022,ER_BDY_ABT2NP,Cyprus,ABT2NONTLT,1
2022,ER_BDY_ABT2NP,Cyprus,Total or no breakdown,0
2022,ER_BDY_ABT2NP,Czechia,ABT2NONTLT,1
