Year,SeriesCode,Country,Value
2002,DC_ODA_BDVL,Albania,3.63004
2003,DC_ODA_BDVL,Albania,8.11861
2004,DC_ODA_BDVL,Albania,10.69504
2005,DC_ODA_BDVL,Albania,4.4457
2006,DC_ODA_BDVL,Albania,5.90695
2007,DC_ODA_BDVL,Albania,5.16913
2008,DC_ODA_BDVL,Albania,2.48245
2009,DC_ODA_BDVL,Albania,3.9409
2010,DC_ODA_BDVL,Albania,4.9853
2011,DC_ODA_BDVL,Albania,22.63266
2012,DC_ODA_BDVL,Albania,8.70969
2013,DC_ODA_BDVL,Albania,19.34348
2014,DC_ODA_BDVL,Albania,11.42348
2015,DC_ODA_BDVL,Albania,4.563
2016,DC_ODA_BDVL,Albania,46.01162
2017,DC_ODA_BDVL,Albania,18.31493
2002,DC_ODA_BDVL,Tajikistan,1.29206
2003,DC_ODA_BDVL,Tajikistan,0.01936
2004,DC_ODA_BDVL,Tajikistan,9.3052
2005,DC_ODA_BDVL,Tajikistan,0.01144
2006,DC_ODA_BDVL,Tajikistan,14.27527
2007,DC_ODA_BDVL,Tajikistan,0.36521
2008,DC_ODA_BDVL,Tajikistan,0.85296
2009,DC_ODA_BDVL,Tajikistan,2.03157
2010,DC_ODA_BDVL,Tajikistan,1.80786
2011,DC_ODA_BDVL,Tajikistan,2.18389
2012,DC_ODA_BDVL,Tajikistan,3.27968
2013,DC_ODA_BDVL,Tajikistan,4.50704
2014,DC_ODA_BDVL,Tajikistan,56.93257
2015,DC_ODA_BDVL,Tajikistan,0.5772
2016,DC_ODA_BDVL,Tajikistan,0.57313
2017,DC_ODA_BDVL,Tajikistan,6.51261
2002,DC_ODA_BDVL,Georgia,7.67037
2003,DC_ODA_BDVL,Georgia,1.95528
2004,DC_ODA_BDVL,Georgia,2.14117
2005,DC_ODA_BDVL,Georgia,0.85199
2006,DC_ODA_BDVL,Georgia,4.62293
2007,DC_ODA_BDVL,Georgia,1.11226
2008,DC_ODA_BDVL,Georgia,3.49961
2009,DC_ODA_BDVL,Georgia,1.10913
2010,DC_ODA_BDVL,Georgia,6.45041
2011,DC_ODA_BDVL,Georgia,19.38147
2012,DC_ODA_BDVL,Georgia,58.39274
2013,DC_ODA_BDVL,Georgia,11.03139
2014,DC_ODA_BDVL,Georgia,17.93509
2015,DC_ODA_BDVL,Georgia,89.75135
2016,DC_ODA_BDVL,Georgia,103.13278
2017,DC_ODA_BDVL,Georgia,1.54801
2018,DC_ODA_BDVL,Albania,8.96168
2019,DC_ODA_BDVL,Albania,53.1976
2020,DC_ODA_BDVL,Albania,34.55267
2021,DC_ODA_BDVL,Albania,21.15009
2002,DC_ODA_BDVL,Azerbaijan,3.40172
2003,DC_ODA_BDVL,Azerbaijan,52.50853
2004,DC_ODA_BDVL,Azerbaijan,0.01595
2005,DC_ODA_BDVL,Azerbaijan,0.16604
2018,DC_ODA_BDVL,Tajikistan,11.59719
2019,DC_ODA_BDVL,Tajikistan,75.75465
2020,DC_ODA_BDVL,Tajikistan,5.73807
2021,DC_ODA_BDVL,Tajikistan,1.01286
2002,DC_ODA_BDVL,Türkiye,0.87689
2003,DC_ODA_BDVL,Türkiye,4.38881
2004,DC_ODA_BDVL,Türkiye,1.2381
2005,DC_ODA_BDVL,Türkiye,0.30168
2002,DC_ODA_BDVL,Chile,8.78096
2003,DC_ODA_BDVL,Chile,4.20145
2004,DC_ODA_BDVL,Chile,0.53901
2005,DC_ODA_BDVL,Chile,1.37997
2006,DC_ODA_BDVL,Chile,0.82056
