Year,SeriesCode,Country,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,SP_PSR_SATIS_HLTH,Mexico,<25Y,Total or no breakdown,All areas,TOTAL,,AVERAGE,Both sexes,70
2022,SP_PSR_SATIS_HLTH,Mexico,<25Y,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Both sexes,87
2022,SP_PSR_SATIS_HLTH,Mexico,<25Y,Total or no breakdown,All areas,TOTAL,,QUALITY,Both sexes,77
2022,SP_PSR_SATIS_HLTH,Mexico,<25Y,Total or no breakdown,All areas,TOTAL,,AFFORD,Both sexes,59
2022,SP_PSR_SATIS_HLTH,Mexico,35-44,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Both sexes,82
2022,SP_PSR_SATIS_HLTH,Mexico,45-54,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Both sexes,84
2022,SP_PSR_SATIS_HLTH,Mexico,ALLAGE,Total or no breakdown,Urban,TOTAL,,AFFORD,Both sexes,58
2022,SP_PSR_SATIS_HLTH,Mexico,45-54,Total or no breakdown,All areas,TOTAL,,AVERAGE,Both sexes,73
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Male,94
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Male,90
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Male,92
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AVERAGE,Male,91
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Male,89
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Both sexes,94
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Both sexes,89
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,EQUALITY,Both sexes,94
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,,ATTITUDE,Both sexes,97
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,AVERAGE,Both sexes,90
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,QUALITY,Female,94
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,EQUALITY,Female,88
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Female,91
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,AVERAGE,Female,90
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ACCESS,Both sexes,89
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,ACCESS,Both sexes,88
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,,QUALITY,Both sexes,93
2022,SP_PSR_SATIS_HLTH,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,,ATTITUDE,Both sexes,91
