Year,SeriesCode,Country,Age,Sex,Value
2021,SG_DMK_PARLSP_LC,Albania,46+,Male,1
2022,SG_DMK_PARLSP_LC,Albania,46+,Female,1
2023,SG_DMK_PARLSP_LC,Albania,46+,Female,1
2021,SG_DMK_PARLSP_LC,Azerbaijan,46+,Female,1
2022,SG_DMK_PARLSP_LC,Azerbaijan,46+,Female,1
2023,SG_DMK_PARLSP_LC,Azerbaijan,46+,Female,1
2021,SG_DMK_PARLSP_LC,Australia,46+,Male,1
2022,SG_DMK_PARLSP_LC,Australia,46+,Male,1
2023,SG_DMK_PARLSP_LC,Australia,46+,Male,1
2021,SG_DMK_PARLSP_LC,Austria,46+,Male,1
2022,SG_DMK_PARLSP_LC,Austria,46+,Male,1
2023,SG_DMK_PARLSP_LC,Austria,46+,Male,1
2021,SG_DMK_PARLSP_LC,Armenia,<=45Y,Male,1
2022,SG_DMK_PARLSP_LC,Armenia,<=45Y,Male,1
2023,SG_DMK_PARLSP_LC,Armenia,<=45Y,Male,1
2021,SG_DMK_PARLSP_LC,Belgium,46+,Female,1
2022,SG_DMK_PARLSP_LC,Belgium,46+,Female,1
2023,SG_DMK_PARLSP_LC,Belgium,46+,Female,1
2021,SG_DMK_PARLSP_LC,Bosnia and Herzegovina,46+,Female,1
2021,SG_DMK_PARLSP_LC,Bosnia and Herzegovina,46+,Male,2
2022,SG_DMK_PARLSP_LC,Bosnia and Herzegovina,46+,Male,2
2022,SG_DMK_PARLSP_LC,Bosnia and Herzegovina,46+,Female,1
2023,SG_DMK_PARLSP_LC,Bosnia and Herzegovina,46+,Male,3
2021,SG_DMK_PARLSP_LC,Bulgaria,46+,Female,1
2022,SG_DMK_PARLSP_LC,Bulgaria,<=45Y,Male,1
2023,SG_DMK_PARLSP_LC,Bulgaria,46+,Male,1
2021,SG_DMK_PARLSP_LC,Belarus,46+,Male,1
2022,SG_DMK_PARLSP_LC,Belarus,46+,Male,1
2023,SG_DMK_PARLSP_LC,Belarus,46+,Male,1
2021,SG_DMK_PARLSP_LC,Canada,46+,Male,1
2022,SG_DMK_PARLSP_LC,Canada,46+,Male,1
2023,SG_DMK_PARLSP_LC,Canada,46+,Male,1
2021,SG_DMK_PARLSP_LC,Chile,<=45Y,Male,1
2022,SG_DMK_PARLSP_LC,Chile,<=45Y,Male,1
2023,SG_DMK_PARLSP_LC,Chile,<=45Y,Male,1
2021,SG_DMK_PARLSP_LC,China,46+,Male,1
2022,SG_DMK_PARLSP_LC,China,46+,Male,1
2023,SG_DMK_PARLSP_LC,China,46+,Male,1
2021,SG_DMK_PARLSP_LC,Colombia,46+,Male,1
2022,SG_DMK_PARLSP_LC,Colombia,<=45Y,Female,1
2023,SG_DMK_PARLSP_LC,Colombia,<=45Y,Male,1
2021,SG_DMK_PARLSP_LC,Costa Rica,46+,Male,1
2022,SG_DMK_PARLSP_LC,Costa Rica,46+,Female,1
2023,SG_DMK_PARLSP_LC,Costa Rica,46+,Male,1
2021,SG_DMK_PARLSP_LC,Croatia,46+,Male,1
