Year,SeriesCode,Country,Value
2005,SG_NHR_IMPLN,Albania,1
2010,SG_NHR_IMPLN,Albania,1
2015,SG_NHR_IMPLN,Albania,1
2016,SG_NHR_IMPLN,Albania,1
2017,SG_NHR_IMPLN,Albania,1
2018,SG_NHR_IMPLN,Albania,1
2019,SG_NHR_IMPLN,Albania,1
2020,SG_NHR_IMPLN,Albania,1
2021,SG_NHR_IMPLN,Albania,1
2010,SG_NHR_IMPLN,Azerbaijan,1
2015,SG_NHR_IMPLN,Azerbaijan,1
2016,SG_NHR_IMPLN,Azerbaijan,1
2017,SG_NHR_IMPLN,Azerbaijan,1
2000,SG_NHR_IMPLN,Australia,1
2005,SG_NHR_IMPLN,Australia,1
2010,SG_NHR_IMPLN,Australia,1
2015,SG_NHR_IMPLN,Australia,1
2016,SG_NHR_IMPLN,Australia,1
2017,SG_NHR_IMPLN,Australia,1
2018,SG_NHR_IMPLN,Australia,1
2019,SG_NHR_IMPLN,Australia,1
2020,SG_NHR_IMPLN,Australia,1
2021,SG_NHR_IMPLN,Australia,1
2010,SG_NHR_IMPLN,Armenia,1
2015,SG_NHR_IMPLN,Armenia,1
2016,SG_NHR_IMPLN,Armenia,1
2017,SG_NHR_IMPLN,Armenia,1
2018,SG_NHR_IMPLN,Armenia,1
2019,SG_NHR_IMPLN,Armenia,1
2020,SG_NHR_IMPLN,Armenia,1
2021,SG_NHR_IMPLN,Armenia,1
2005,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2010,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2015,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2016,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2017,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2018,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2019,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2020,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2021,SG_NHR_IMPLN,Bosnia and Herzegovina,1
2019,SG_NHR_IMPLN,Bulgaria,1
2020,SG_NHR_IMPLN,Bulgaria,1
2021,SG_NHR_IMPLN,Bulgaria,1
2000,SG_NHR_IMPLN,Canada,1
2005,SG_NHR_IMPLN,Canada,1
2010,SG_NHR_IMPLN,Canada,1
2015,SG_NHR_IMPLN,Canada,1
2016,SG_NHR_IMPLN,Canada,1
2017,SG_NHR_IMPLN,Canada,1
2018,SG_NHR_IMPLN,Canada,1
2019,SG_NHR_IMPLN,Canada,1
2020,SG_NHR_IMPLN,Canada,1
2021,SG_NHR_IMPLN,Canada,1
2015,SG_NHR_IMPLN,Chile,1
2016,SG_NHR_IMPLN,Chile,1
2017,SG_NHR_IMPLN,Chile,1
2018,SG_NHR_IMPLN,Chile,1
2019,SG_NHR_IMPLN,Chile,1
2020,SG_NHR_IMPLN,Chile,1
2021,SG_NHR_IMPLN,Chile,1
2005,SG_NHR_IMPLN,Colombia,1
2010,SG_NHR_IMPLN,Colombia,1
2015,SG_NHR_IMPLN,Colombia,1
2016,SG_NHR_IMPLN,Colombia,1
2017,SG_NHR_IMPLN,Colombia,1
2018,SG_NHR_IMPLN,Colombia,1
2019,SG_NHR_IMPLN,Colombia,1
2020,SG_NHR_IMPLN,Colombia,1
2021,SG_NHR_IMPLN,Colombia,1
2000,SG_NHR_IMPLN,Costa Rica,1
2005,SG_NHR_IMPLN,Costa Rica,1
2010,SG_NHR_IMPLN,Costa Rica,1
2015,SG_NHR_IMPLN,Costa Rica,1
2016,SG_NHR_IMPLN,Costa Rica,1
2017,SG_NHR_IMPLN,Costa Rica,1
2018,SG_NHR_IMPLN,Costa Rica,1
2019,SG_NHR_IMPLN,Costa Rica,1
2020,SG_NHR_IMPLN,Costa Rica,1
2021,SG_NHR_IMPLN,Costa Rica,1
2010,SG_NHR_IMPLN,Croatia,1
2015,SG_NHR_IMPLN,Croatia,1
2016,SG_NHR_IMPLN,Croatia,1
2017,SG_NHR_IMPLN,Croatia,1
2018,SG_NHR_IMPLN,Croatia,1
2019,SG_NHR_IMPLN,Croatia,1
2020,SG_NHR_IMPLN,Croatia,1
