Year,SeriesCode,Country,Value
2010,DC_ODA_SIDSG,Portugal,0.10569
2011,DC_ODA_SIDSG,Portugal,0.09853
2012,DC_ODA_SIDSG,Portugal,0.10873
2013,DC_ODA_SIDSG,Portugal,0.09637
2014,DC_ODA_SIDSG,Portugal,0.08144
2015,DC_ODA_SIDSG,Portugal,0.05471
2016,DC_ODA_SIDSG,Portugal,0.03958
2017,DC_ODA_SIDSG,Portugal,0.03171
2018,DC_ODA_SIDSG,Portugal,0.02996
2019,DC_ODA_SIDSG,Portugal,0.03026
2020,DC_ODA_SIDSG,Portugal,0.02967
2021,DC_ODA_SIDSG,Portugal,0.02683
2000,DC_ODA_SIDSG,Slovakia,0.0
2001,DC_ODA_SIDSG,Slovakia,0.0
2002,DC_ODA_SIDSG,Slovakia,0.00029
2003,DC_ODA_SIDSG,Slovakia,0.00068
2004,DC_ODA_SIDSG,Slovakia,0.00171
2006,DC_ODA_SIDSG,Slovakia,0.00251
2007,DC_ODA_SIDSG,Slovakia,0.00264
2008,DC_ODA_SIDSG,Slovakia,0.00314
2009,DC_ODA_SIDSG,Slovakia,0.00359
2010,DC_ODA_SIDSG,Slovakia,0.00439
2011,DC_ODA_SIDSG,Slovakia,0.0024
2012,DC_ODA_SIDSG,Slovakia,0.00219
2013,DC_ODA_SIDSG,Slovakia,0.00232
2014,DC_ODA_SIDSG,Slovakia,0.00193
2015,DC_ODA_SIDSG,Slovakia,0.00249
2016,DC_ODA_SIDSG,Slovakia,0.00285
2017,DC_ODA_SIDSG,Slovakia,0.00234
2018,DC_ODA_SIDSG,Slovakia,0.00258
2019,DC_ODA_SIDSG,Slovakia,0.00203
2020,DC_ODA_SIDSG,Slovakia,0.0017
2021,DC_ODA_SIDSG,Slovakia,0.00156
2005,DC_ODA_SIDSG,Slovenia,0.0
2006,DC_ODA_SIDSG,Slovenia,0.0
2007,DC_ODA_SIDSG,Slovenia,0.0
2008,DC_ODA_SIDSG,Slovenia,0.00371
2009,DC_ODA_SIDSG,Slovenia,0.00526
2010,DC_ODA_SIDSG,Slovenia,0.00589
2011,DC_ODA_SIDSG,Slovenia,0.0041
2012,DC_ODA_SIDSG,Slovenia,0.0047
2013,DC_ODA_SIDSG,Slovenia,0.00466
2014,DC_ODA_SIDSG,Slovenia,0.00256
2015,DC_ODA_SIDSG,Slovenia,0.00272
2016,DC_ODA_SIDSG,Slovenia,0.00352
2017,DC_ODA_SIDSG,Slovenia,0.00251
2018,DC_ODA_SIDSG,Slovenia,0.00265
2019,DC_ODA_SIDSG,Slovenia,0.00236
2000,DC_ODA_SIDSG,Australia,0.09315
2001,DC_ODA_SIDSG,Australia,0.07793
2002,DC_ODA_SIDSG,Australia,0.0782
2003,DC_ODA_SIDSG,Australia,0.07813
2004,DC_ODA_SIDSG,Australia,0.0794
2005,DC_ODA_SIDSG,Australia,0.07454
2006,DC_ODA_SIDSG,Australia,0.07508
2007,DC_ODA_SIDSG,Australia,0.08196
2008,DC_ODA_SIDSG,Australia,0.07503
2009,DC_ODA_SIDSG,Australia,0.07233
2010,DC_ODA_SIDSG,Australia,0.08587
2011,DC_ODA_SIDSG,Australia,0.08026
2012,DC_ODA_SIDSG,Australia,0.07855
2013,DC_ODA_SIDSG,Australia,0.07323
2014,DC_ODA_SIDSG,Australia,0.0644
2015,DC_ODA_SIDSG,Australia,0.07306
2016,DC_ODA_SIDSG,Australia,0.05904
2017,DC_ODA_SIDSG,Australia,0.06321
2018,DC_ODA_SIDSG,Australia,0.0592
2019,DC_ODA_SIDSG,Australia,0.05851
2020,DC_ODA_SIDSG,Australia,0.05601
2021,DC_ODA_SIDSG,Australia,0.07878
2000,DC_ODA_SIDSG,Austria,0.00953
2001,DC_ODA_SIDSG,Austria,0.00771
2002,DC_ODA_SIDSG,Austria,0.00537
2003,DC_ODA_SIDSG,Austria,0.00568
2004,DC_ODA_SIDSG,Austria,0.00492
2005,DC_ODA_SIDSG,Austria,0.00491
2006,DC_ODA_SIDSG,Austria,0.00541
2007,DC_ODA_SIDSG,Austria,0.00609
2008,DC_ODA_SIDSG,Austria,0.00609
2009,DC_ODA_SIDSG,Austria,0.00854
2010,DC_ODA_SIDSG,Austria,0.01284
2011,DC_ODA_SIDSG,Austria,0.00545
2012,DC_ODA_SIDSG,Austria,0.00426
2013,DC_ODA_SIDSG,Austria,0.00462
2014,DC_ODA_SIDSG,Austria,0.00343
2015,DC_ODA_SIDSG,Austria,0.00423
2016,DC_ODA_SIDSG,Austria,0.00665
2017,DC_ODA_SIDSG,Austria,0.00622
2018,DC_ODA_SIDSG,Austria,0.00727
2019,DC_ODA_SIDSG,Austria,0.00463
2020,DC_ODA_SIDSG,Austria,0.00831
2021,DC_ODA_SIDSG,Austria,0.00527
2000,DC_ODA_SIDSG,Belgium,0.01368
2001,DC_ODA_SIDSG,Belgium,0.01235
2002,DC_ODA_SIDSG,Belgium,0.01034
2003,DC_ODA_SIDSG,Belgium,0.00847
2004,DC_ODA_SIDSG,Belgium,0.00989
2005,DC_ODA_SIDSG,Belgium,0.00873
