Year,SeriesCode,Country,Activity,Value
2020,DC_ENVTECH_INV,Canada,TOTAL,399886430.06263
2020,DC_ENVTECH_INV,Canada,ISIC4_A,130100000.0
2020,DC_ENVTECH_INV,Canada,ISIC4_S,56400000.0
2020,DC_ENVTECH_INV,Canada,ISIC4_E,4400000.0
2020,DC_ENVTECH_INV,Canada,ISIC4_D,209086430.06263
2008,DC_ENVTECH_INV,Lithuania,ISIC4_D,57308366.14635
2008,DC_ENVTECH_INV,Lithuania,ISIC4_E,81538139.2678
2008,DC_ENVTECH_INV,Lithuania,ISIC4_F,606308.30169
2008,DC_ENVTECH_INV,Lithuania,ISIC4_B,61084.93883
2008,DC_ENVTECH_INV,Lithuania,ISIC4_H,23877765.66821
2008,DC_ENVTECH_INV,Lithuania,TOTAL,202468007.31261
2008,DC_ENVTECH_INV,Lithuania,ISIC4_C,39076342.98973
2009,DC_ENVTECH_INV,Lithuania,ISIC4_E,174958983.73412
2009,DC_ENVTECH_INV,Lithuania,ISIC4_F,1843974.1246
2009,DC_ENVTECH_INV,Lithuania,ISIC4_C,45895004.21882
2009,DC_ENVTECH_INV,Lithuania,TOTAL,277555752.82426
2009,DC_ENVTECH_INV,Lithuania,ISIC4_D,50347319.88
2009,DC_ENVTECH_INV,Lithuania,ISIC4_H,4424336.70839
2009,DC_ENVTECH_INV,Lithuania,ISIC4_B,86134.15835
2010,DC_ENVTECH_INV,Lithuania,ISIC4_B,3808.65326
2010,DC_ENVTECH_INV,Lithuania,ISIC4_C,35362173.62771
2010,DC_ENVTECH_INV,Lithuania,ISIC4_D,31475882.43566
2010,DC_ENVTECH_INV,Lithuania,ISIC4_H,12947956.21807
2010,DC_ENVTECH_INV,Lithuania,TOTAL,247761537.28965
2010,DC_ENVTECH_INV,Lithuania,ISIC4_F,51563.30568
2010,DC_ENVTECH_INV,Lithuania,ISIC4_E,167920153.04927
2011,DC_ENVTECH_INV,Lithuania,ISIC4_E,155953071.53237
2011,DC_ENVTECH_INV,Lithuania,TOTAL,313628386.77167
2011,DC_ENVTECH_INV,Lithuania,ISIC4_D,106009761.87128
