Year,SeriesCode,Country,Value
2010,DC_ENVTECH_TT,Albania,245760976
2011,DC_ENVTECH_TT,Albania,329948510
2012,DC_ENVTECH_TT,Albania,268030622
2013,DC_ENVTECH_TT,Albania,235594785
2014,DC_ENVTECH_TT,Albania,144561541
2015,DC_ENVTECH_TT,Albania,236692789
2016,DC_ENVTECH_TT,Albania,233703160
2017,DC_ENVTECH_TT,Albania,158242452
2018,DC_ENVTECH_TT,Albania,165287742
2019,DC_ENVTECH_TT,Albania,180237400
2020,DC_ENVTECH_TT,Albania,257604445
2010,DC_ENVTECH_TT,Azerbaijan,855702087
2011,DC_ENVTECH_TT,Azerbaijan,1339054804
2012,DC_ENVTECH_TT,Azerbaijan,1234040249
2013,DC_ENVTECH_TT,Azerbaijan,1247366384
2014,DC_ENVTECH_TT,Azerbaijan,1140644411
2015,DC_ENVTECH_TT,Azerbaijan,1339493737
2016,DC_ENVTECH_TT,Azerbaijan,1144996309
2017,DC_ENVTECH_TT,Azerbaijan,833238708
2018,DC_ENVTECH_TT,Azerbaijan,1010978281
2019,DC_ENVTECH_TT,Azerbaijan,1058699599
2020,DC_ENVTECH_TT,Azerbaijan,1089925159
2010,DC_ENVTECH_TT,Australia,17693309707
2011,DC_ENVTECH_TT,Australia,19893746666
2012,DC_ENVTECH_TT,Australia,22309726071
2013,DC_ENVTECH_TT,Australia,21715410527
2014,DC_ENVTECH_TT,Australia,22834733285
2015,DC_ENVTECH_TT,Australia,19736906292
2016,DC_ENVTECH_TT,Australia,17916243884
2017,DC_ENVTECH_TT,Australia,17825566175
2018,DC_ENVTECH_TT,Australia,20477605125
2019,DC_ENVTECH_TT,Australia,20501645476
2020,DC_ENVTECH_TT,Australia,19613903060
2010,DC_ENVTECH_TT,Austria,24231035798
2011,DC_ENVTECH_TT,Austria,27595362491
2012,DC_ENVTECH_TT,Austria,25954451761
2013,DC_ENVTECH_TT,Austria,27208464881
2014,DC_ENVTECH_TT,Austria,27955106083
2015,DC_ENVTECH_TT,Austria,24850139990
2016,DC_ENVTECH_TT,Austria,25185009515
2017,DC_ENVTECH_TT,Austria,26267208608
2018,DC_ENVTECH_TT,Austria,29514267523
2019,DC_ENVTECH_TT,Austria,29205849245
2020,DC_ENVTECH_TT,Austria,27729774464
2010,DC_ENVTECH_TT,Armenia,252352800
2011,DC_ENVTECH_TT,Armenia,199944664
2012,DC_ENVTECH_TT,Armenia,200585734
2013,DC_ENVTECH_TT,Armenia,266616351
2014,DC_ENVTECH_TT,Armenia,268143954
2015,DC_ENVTECH_TT,Armenia,182418288
2016,DC_ENVTECH_TT,Armenia,190974776
2017,DC_ENVTECH_TT,Armenia,250381351
2018,DC_ENVTECH_TT,Armenia,327254921
2019,DC_ENVTECH_TT,Armenia,334616012
2020,DC_ENVTECH_TT,Armenia,398107591
2010,DC_ENVTECH_TT,Belgium,30347175700
2011,DC_ENVTECH_TT,Belgium,35584664278
2012,DC_ENVTECH_TT,Belgium,31392975568
2013,DC_ENVTECH_TT,Belgium,30955573055
2014,DC_ENVTECH_TT,Belgium,31986009938
2015,DC_ENVTECH_TT,Belgium,27184231553
2016,DC_ENVTECH_TT,Belgium,27284474169
2017,DC_ENVTECH_TT,Belgium,27294682104
2018,DC_ENVTECH_TT,Belgium,29146405380
2019,DC_ENVTECH_TT,Belgium,29098765631
2020,DC_ENVTECH_TT,Belgium,29517659316
2010,DC_ENVTECH_TT,Bosnia and Herzegovina,807404829
2011,DC_ENVTECH_TT,Bosnia and Herzegovina,909534614
2012,DC_ENVTECH_TT,Bosnia and Herzegovina,828592009
2013,DC_ENVTECH_TT,Bosnia and Herzegovina,867795094
2014,DC_ENVTECH_TT,Bosnia and Herzegovina,1055825314
2015,DC_ENVTECH_TT,Bosnia and Herzegovina,840479292
2016,DC_ENVTECH_TT,Bosnia and Herzegovina,820185911
2017,DC_ENVTECH_TT,Bosnia and Herzegovina,994149512
2018,DC_ENVTECH_TT,Bosnia and Herzegovina,1106899563
