Year,SeriesCode,Country,Age,Sex,Value
2001,SN_ITK_DEFC,Belarus,,,2.5
2002,SN_ITK_DEFC,Belarus,,,2.7
2003,SN_ITK_DEFC,Belarus,,,3.2
2004,SN_ITK_DEFC,Belarus,,,3.3
2005,SN_ITK_DEFC,Belarus,,,2.5
2006,SN_ITK_DEFC,Belarus,,,2.5
2007,SN_ITK_DEFC,Belarus,,,2.5
2008,SN_ITK_DEFC,Belarus,,,2.5
2009,SN_ITK_DEFC,Belarus,,,2.5
2010,SN_ITK_DEFC,Belarus,,,2.5
2011,SN_ITK_DEFC,Belarus,,,2.5
2012,SN_ITK_DEFC,Belarus,,,2.5
2013,SN_ITK_DEFC,Belarus,,,2.5
2014,SN_ITK_DEFC,Belarus,,,2.5
2015,SN_ITK_DEFC,Belarus,,,2.5
2016,SN_ITK_DEFC,Belarus,,,2.5
2017,SN_ITK_DEFC,Belarus,,,2.5
2018,SN_ITK_DEFC,Belarus,,,2.5
2019,SN_ITK_DEFC,Belarus,,,2.5
2020,SN_ITK_DEFC,Belarus,,,2.5
2021,SN_ITK_DEFC,Belarus,,,2.5
2001,SN_ITK_DEFC,Canada,,,2.5
2002,SN_ITK_DEFC,Canada,,,2.5
2003,SN_ITK_DEFC,Canada,,,2.5
2004,SN_ITK_DEFC,Canada,,,2.5
2005,SN_ITK_DEFC,Canada,,,2.5
2006,SN_ITK_DEFC,Canada,,,2.5
2007,SN_ITK_DEFC,Canada,,,2.5
2008,SN_ITK_DEFC,Canada,,,2.5
2009,SN_ITK_DEFC,Canada,,,2.5
2010,SN_ITK_DEFC,Canada,,,2.5
2011,SN_ITK_DEFC,Canada,,,2.5
2012,SN_ITK_DEFC,Canada,,,2.5
2013,SN_ITK_DEFC,Canada,,,2.5
2014,SN_ITK_DEFC,Canada,,,2.5
2015,SN_ITK_DEFC,Canada,,,2.5
2016,SN_ITK_DEFC,Canada,,,2.5
2017,SN_ITK_DEFC,Canada,,,2.5
2018,SN_ITK_DEFC,Canada,,,2.5
2019,SN_ITK_DEFC,Canada,,,2.5
2020,SN_ITK_DEFC,Canada,,,2.5
2021,SN_ITK_DEFC,Canada,,,2.5
2001,SN_ITK_DEFC,Chile,,,3.5
2002,SN_ITK_DEFC,Chile,,,3.3
2003,SN_ITK_DEFC,Chile,,,3.2
2004,SN_ITK_DEFC,Chile,,,3.3
2005,SN_ITK_DEFC,Chile,,,3.2
2006,SN_ITK_DEFC,Chile,,,3.2
2007,SN_ITK_DEFC,Chile,,,3.2
2008,SN_ITK_DEFC,Chile,,,3.6
2009,SN_ITK_DEFC,Chile,,,3.7
2010,SN_ITK_DEFC,Chile,,,3.7
2011,SN_ITK_DEFC,Chile,,,3.6
2012,SN_ITK_DEFC,Chile,,,3.4
2013,SN_ITK_DEFC,Chile,,,3.3
2014,SN_ITK_DEFC,Chile,,,3.1
2015,SN_ITK_DEFC,Chile,,,3.1
2016,SN_ITK_DEFC,Chile,,,3.1
2017,SN_ITK_DEFC,Chile,,,3.0
2018,SN_ITK_DEFC,Chile,,,2.8
2019,SN_ITK_DEFC,Chile,,,2.6
2004,SN_ITK_DEFC,Serbia,,,2.6
2005,SN_ITK_DEFC,Serbia,,,2.5
2006,SN_ITK_DEFC,Serbia,,,2.5
2007,SN_ITK_DEFC,Serbia,,,2.5
2008,SN_ITK_DEFC,Serbia,,,2.5
2009,SN_ITK_DEFC,Serbia,,,2.5
2010,SN_ITK_DEFC,Serbia,,,2.5
2011,SN_ITK_DEFC,Serbia,,,2.5
2012,SN_ITK_DEFC,Serbia,,,2.5
2013,SN_ITK_DEFC,Serbia,,,2.5
2001,SN_ITK_DEFC,Albania,,,4.9
2002,SN_ITK_DEFC,Albania,,,6.0
2003,SN_ITK_DEFC,Albania,,,7.4
2004,SN_ITK_DEFC,Albania,,,8.6
2005,SN_ITK_DEFC,Albania,,,8.9
2006,SN_ITK_DEFC,Albania,,,8.8
2007,SN_ITK_DEFC,Albania,,,8.3
2008,SN_ITK_DEFC,Albania,,,7.4
2009,SN_ITK_DEFC,Albania,,,6.1
2010,SN_ITK_DEFC,Albania,,,5.4
2011,SN_ITK_DEFC,Albania,,,4.8
2012,SN_ITK_DEFC,Albania,,,4.5
2013,SN_ITK_DEFC,Albania,,,4.4
2014,SN_ITK_DEFC,Albania,,,4.4
2015,SN_ITK_DEFC,Albania,,,4.3
2016,SN_ITK_DEFC,Albania,,,4.2
2017,SN_ITK_DEFC,Albania,,,4.2
2018,SN_ITK_DEFC,Albania,,,4.1
2019,SN_ITK_DEFC,Albania,,,4.1
2020,SN_ITK_DEFC,Albania,,,4.1
2020,SN_ITK_DEFC,Chile,,,2.5
2021,SN_ITK_DEFC,Chile,,,2.5
2001,SN_ITK_DEFC,China,,,10.2
2002,SN_ITK_DEFC,China,,,9.6
2003,SN_ITK_DEFC,China,,,8.8
2004,SN_ITK_DEFC,China,,,8.0
2005,SN_ITK_DEFC,China,,,7.1
2006,SN_ITK_DEFC,China,,,6.1
2007,SN_ITK_DEFC,China,,,5.0
2008,SN_ITK_DEFC,China,,,3.9
2009,SN_ITK_DEFC,China,,,2.8
2010,SN_ITK_DEFC,China,,,2.5
2011,SN_ITK_DEFC,China,,,2.5
2012,SN_ITK_DEFC,China,,,2.5
2013,SN_ITK_DEFC,China,,,2.5
2014,SN_ITK_DEFC,China,,,2.5
2015,SN_ITK_DEFC,China,,,2.5
2016,SN_ITK_DEFC,China,,,2.5
2017,SN_ITK_DEFC,China,,,2.5
2018,SN_ITK_DEFC,China,,,2.5
2019,SN_ITK_DEFC,China,,,2.5
2020,SN_ITK_DEFC,China,,,2.5
2021,SN_ITK_DEFC,China,,,2.5
2001,SN_ITK_DEFC,Colombia,,,8.9
2002,SN_ITK_DEFC,Colombia,,,9.3
2003,SN_ITK_DEFC,Colombia,,,10.0
2004,SN_ITK_DEFC,Colombia,,,10.8
2005,SN_ITK_DEFC,Colombia,,,11.5
2006,SN_ITK_DEFC,Colombia,,,11.7
2007,SN_ITK_DEFC,Colombia,,,11.3
2008,SN_ITK_DEFC,Colombia,,,11.5
2021,SN_ITK_DEFC,Albania,,,4.1
2001,SN_ITK_DEFC,Azerbaijan,,,16.8
2002,SN_ITK_DEFC,Azerbaijan,,,13.3
2003,SN_ITK_DEFC,Azerbaijan,,,10.3
2004,SN_ITK_DEFC,Azerbaijan,,,7.3
2005,SN_ITK_DEFC,Azerbaijan,,,4.7
2006,SN_ITK_DEFC,Azerbaijan,,,2.8
2007,SN_ITK_DEFC,Azerbaijan,,,2.5
2008,SN_ITK_DEFC,Azerbaijan,,,2.5
2009,SN_ITK_DEFC,Azerbaijan,,,2.5
2014,SN_ITK_DEFC,Serbia,,,2.5
2015,SN_ITK_DEFC,Serbia,,,2.5
2016,SN_ITK_DEFC,Serbia,,,2.5
2017,SN_ITK_DEFC,Serbia,,,2.5
2018,SN_ITK_DEFC,Serbia,,,2.5
2019,SN_ITK_DEFC,Serbia,,,2.5
2020,SN_ITK_DEFC,Serbia,,,2.5
2021,SN_ITK_DEFC,Serbia,,,2.5
2001,SN_ITK_DEFC,Slovakia,,,6.1
2009,SN_ITK_DEFC,Colombia,,,11.4
2010,SN_ITK_DEFC,Colombia,,,11.3
2011,SN_ITK_DEFC,Colombia,,,9.9
2012,SN_ITK_DEFC,Colombia,,,8.5
2013,SN_ITK_DEFC,Colombia,,,7.0
2014,SN_ITK_DEFC,Colombia,,,5.8
2015,SN_ITK_DEFC,Colombia,,,4.9
2016,SN_ITK_DEFC,Colombia,,,4.5
