Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2017,AG_PRD_FIESMS,Canada,15+,,All areas,Female,5.7
2015,AG_PRD_FIESMS,Albania,ALLAGE,,All areas,Both sexes,38.8
2015,AG_PRD_FIESMS,Albania,15+,,All areas,Male,35.2
2015,AG_PRD_FIESMS,Albania,15+,,All areas,Female,42.3
2016,AG_PRD_FIESMS,Albania,15+,,All areas,Female,42.5
2016,AG_PRD_FIESMS,Albania,15+,,All areas,Male,35.6
2016,AG_PRD_FIESMS,Albania,ALLAGE,,All areas,Both sexes,39.0
2017,AG_PRD_FIESMS,Albania,ALLAGE,,All areas,Both sexes,38.6
2017,AG_PRD_FIESMS,Albania,15+,,All areas,Male,34.4
2017,AG_PRD_FIESMS,Albania,15+,,All areas,Female,42.9
2017,AG_PRD_FIESMS,Canada,ALLAGE,,All areas,Both sexes,5.0
2017,AG_PRD_FIESMS,Canada,15+,,All areas,Male,4.4
2018,AG_PRD_FIESMS,Canada,15+,,All areas,Male,4.9
2018,AG_PRD_FIESMS,Canada,15+,,All areas,Female,5.2
2018,AG_PRD_FIESMS,Canada,ALLAGE,,All areas,Both sexes,5.1
2019,AG_PRD_FIESMS,Canada,ALLAGE,,All areas,Both sexes,5.8
2019,AG_PRD_FIESMS,Canada,15+,,All areas,Female,6.0
2019,AG_PRD_FIESMS,Canada,15+,,All areas,Male,5.5
2020,AG_PRD_FIESMS,Canada,ALLAGE,,All areas,Both sexes,6.5
2015,AG_PRD_FIESMS,Malta,15+,,All areas,Male,4.8
2015,AG_PRD_FIESMS,Malta,15+,,All areas,Female,6.9
2015,AG_PRD_FIESMS,Malta,ALLAGE,,All areas,Both sexes,5.8
2016,AG_PRD_FIESMS,Malta,ALLAGE,,All areas,Both sexes,5.6
2016,AG_PRD_FIESMS,Malta,15+,,All areas,Female,6.6
2016,AG_PRD_FIESMS,Malta,15+,,All areas,Male,4.6
2017,AG_PRD_FIESMS,Malta,ALLAGE,,All areas,Both sexes,5.1
2017,AG_PRD_FIESMS,Malta,15+,,All areas,Female,6.6
2017,AG_PRD_FIESMS,Malta,15+,,All areas,Male,3.5
2018,AG_PRD_FIESMS,Albania,15+,,All areas,Female,40.7
2018,AG_PRD_FIESMS,Albania,ALLAGE,,All areas,Both sexes,37.1
2018,AG_PRD_FIESMS,Albania,15+,,All areas,Male,33.6
2019,AG_PRD_FIESMS,Albania,ALLAGE,,All areas,Both sexes,33.8
2019,AG_PRD_FIESMS,Albania,15+,,All areas,Male,30.2
2019,AG_PRD_FIESMS,Albania,15+,,All areas,Female,37.3
2020,AG_PRD_FIESMS,Albania,15+,,All areas,Male,27.5
2020,AG_PRD_FIESMS,Albania,15+,,All areas,Female,34.3
2020,AG_PRD_FIESMS,Albania,ALLAGE,,All areas,Both sexes,30.9
2020,AG_PRD_FIESMS,Canada,15+,,All areas,Male,5.7
2020,AG_PRD_FIESMS,Canada,15+,,All areas,Female,7.3
2021,AG_PRD_FIESMS,Canada,15+,,All areas,Male,6.2
