Year,SeriesCode,Country,Sex,Value
2001,PD_AGR_SSFP,Canada,Both sexes,39.3
2001,PD_AGR_SSFP,Canada,Female,29.9
2001,PD_AGR_SSFP,Canada,Male,42.7
2006,PD_AGR_SSFP,Canada,Both sexes,38.7
2006,PD_AGR_SSFP,Canada,Female,31.3
2006,PD_AGR_SSFP,Canada,Male,41.6
2011,PD_AGR_SSFP,Canada,Both sexes,76.2
2011,PD_AGR_SSFP,Canada,Female,60.9
2011,PD_AGR_SSFP,Canada,Male,83.1
2016,PD_AGR_SSFP,Canada,Male,90.8
2016,PD_AGR_SSFP,Canada,Female,68.7
2016,PD_AGR_SSFP,Canada,Both sexes,83.5
2010,PD_AGR_SSFP,Croatia,Male,60.04
2010,PD_AGR_SSFP,Croatia,Female,53.62
2010,PD_AGR_SSFP,Croatia,Both sexes,58.54
2010,PD_AGR_SSFP,Austria,Male,118.23
2010,PD_AGR_SSFP,Austria,Both sexes,110.4
2010,PD_AGR_SSFP,Austria,Female,100.51
2013,PD_AGR_SSFP,Croatia,Both sexes,44.88
2013,PD_AGR_SSFP,Croatia,Female,42.47
2013,PD_AGR_SSFP,Croatia,Male,45.77
2016,PD_AGR_SSFP,Croatia,Male,47.65
2013,PD_AGR_SSFP,Austria,Female,94.78
2013,PD_AGR_SSFP,Austria,Both sexes,109.26
2013,PD_AGR_SSFP,Austria,Male,119.8
2016,PD_AGR_SSFP,Croatia,Female,43.56
2016,PD_AGR_SSFP,Croatia,Both sexes,46.49
2010,PD_AGR_LSFP,Ireland,Both sexes,277.08
2010,PD_AGR_LSFP,Ireland,Female,183.96
2010,PD_AGR_LSFP,Ireland,Male,284.18
2020,PD_AGR_SSFP,Croatia,Male,51.11
2020,PD_AGR_SSFP,Croatia,Female,46.72
2020,PD_AGR_SSFP,Croatia,Both sexes,49.94
2016,PD_AGR_SSFP,Austria,Male,144.96
2016,PD_AGR_SSFP,Austria,Female,95.94
2016,PD_AGR_SSFP,Austria,Both sexes,123.64
2010,PD_AGR_SSFP,Cyprus,Both sexes,64.03
2010,PD_AGR_SSFP,Cyprus,Female,62.11
2010,PD_AGR_SSFP,Cyprus,Male,64.43
2013,PD_AGR_SSFP,Cyprus,Both sexes,55.63
2013,PD_AGR_SSFP,Cyprus,Female,51.12
2010,PD_AGR_LSFP,Austria,Both sexes,371.65
2010,PD_AGR_LSFP,Austria,Male,379.96
2010,PD_AGR_LSFP,Austria,Female,351.06
2013,PD_AGR_SSFP,Cyprus,Male,56.58
2016,PD_AGR_SSFP,Cyprus,Female,60.73
2016,PD_AGR_SSFP,Cyprus,Both sexes,64.43
2016,PD_AGR_SSFP,Cyprus,Male,65.39
2020,PD_AGR_SSFP,Cyprus,Female,51.27
2020,PD_AGR_SSFP,Cyprus,Both sexes,59.41
2020,PD_AGR_SSFP,Cyprus,Male,61.55
2020,PD_AGR_SSFP,Austria,Male,87.99
2020,PD_AGR_SSFP,Austria,Both sexes,81.0
2020,PD_AGR_SSFP,Austria,Female,71.18
2013,PD_AGR_LSFP,Austria,Both sexes,345.76
2013,PD_AGR_LSFP,Austria,Male,351.51
2013,PD_AGR_LSFP,Austria,Female,330.31
2010,PD_AGR_SSFP,Denmark,Both sexes,156.47
2010,PD_AGR_SSFP,Denmark,Female,127.59
2010,PD_AGR_SSFP,Denmark,Male,161.19
2016,PD_AGR_LSFP,Austria,Both sexes,390.63
2016,PD_AGR_LSFP,Austria,Male,402.26
2016,PD_AGR_LSFP,Austria,Female,360.47
2013,PD_AGR_SSFP,Denmark,Male,148.27
2013,PD_AGR_SSFP,Denmark,Female,124.67
2013,PD_AGR_SSFP,Denmark,Both sexes,145.33
2016,PD_AGR_SSFP,Denmark,Both sexes,157.14
2016,PD_AGR_SSFP,Denmark,Female,103.66
2016,PD_AGR_SSFP,Denmark,Male,166.8
2010,PD_AGR_SSFP,Belgium,Male,98.95
2010,PD_AGR_SSFP,Belgium,Female,98.05
2010,PD_AGR_SSFP,Belgium,Both sexes,98.75
2013,PD_AGR_SSFP,Belgium,Both sexes,105.16
2013,PD_AGR_SSFP,Belgium,Female,102.49
2013,PD_AGR_SSFP,Belgium,Male,105.92
2016,PD_AGR_SSFP,Belgium,Male,118.63
2016,PD_AGR_SSFP,Belgium,Female,113.34
2020,PD_AGR_LSFP,Austria,Both sexes,355.78
2020,PD_AGR_LSFP,Austria,Male,378.86
2020,PD_AGR_LSFP,Austria,Female,314.04
2016,PD_AGR_SSFP,Belgium,Both sexes,117.61
2020,PD_AGR_SSFP,Belgium,Male,113.76
2020,PD_AGR_SSFP,Belgium,Female,115.89
2020,PD_AGR_SSFP,Belgium,Both sexes,114.15
2010,PD_AGR_LSFP,Belgium,Male,807.72
2010,PD_AGR_LSFP,Belgium,Both sexes,801.83
2010,PD_AGR_LSFP,Belgium,Female,749.7
2013,PD_AGR_LSFP,Belgium,Both sexes,952.22
2013,PD_AGR_LSFP,Belgium,Male,962.65
2013,PD_AGR_LSFP,Belgium,Female,866.8
2016,PD_AGR_LSFP,Belgium,Male,914.48
2016,PD_AGR_LSFP,Belgium,Both sexes,906.08
2020,PD_AGR_SSFP,Denmark,Female,24.62
2020,PD_AGR_SSFP,Denmark,Both sexes,31.49
2020,PD_AGR_SSFP,Denmark,Male,32.81
2010,PD_AGR_SSFP,Bulgaria,Both sexes,26.03
2010,PD_AGR_SSFP,Bulgaria,Female,24.64
2010,PD_AGR_SSFP,Bulgaria,Male,26.43
2013,PD_AGR_SSFP,Bulgaria,Male,29.2
2013,PD_AGR_SSFP,Bulgaria,Female,26.43
2013,PD_AGR_SSFP,Bulgaria,Both sexes,28.56
2016,PD_AGR_SSFP,Bulgaria,Male,34.95
2016,PD_AGR_SSFP,Bulgaria,Both sexes,34.28
2016,PD_AGR_SSFP,Bulgaria,Female,32.36
2016,PD_AGR_LSFP,Belgium,Female,841.85
2020,PD_AGR_SSFP,Bulgaria,Female,46.43
2020,PD_AGR_SSFP,Bulgaria,Both sexes,46.92
2010,PD_AGR_SSFP,Estonia,Female,47.64
2010,PD_AGR_SSFP,Estonia,Both sexes,54.9
2010,PD_AGR_SSFP,Estonia,Male,60.17
2020,PD_AGR_LSFP,Belgium,Male,1002.74
2020,PD_AGR_LSFP,Belgium,Both sexes,1000.56
2020,PD_AGR_LSFP,Belgium,Female,984.03
2013,PD_AGR_SSFP,Estonia,Male,55.76
2013,PD_AGR_SSFP,Estonia,Both sexes,52.52
2013,PD_AGR_SSFP,Estonia,Female,47.39
2016,PD_AGR_SSFP,Estonia,Both sexes,57.16
2016,PD_AGR_SSFP,Estonia,Female,51.23
2016,PD_AGR_SSFP,Estonia,Male,60.85
2013,PD_AGR_LSFP,Ireland,Male,323.71
2013,PD_AGR_LSFP,Ireland,Both sexes,317.2
2013,PD_AGR_LSFP,Ireland,Female,213.6
2020,PD_AGR_SSFP,Estonia,Male,64.78
2020,PD_AGR_SSFP,Estonia,Both sexes,59.42
2020,PD_AGR_SSFP,Estonia,Female,50.39
2010,PD_AGR_LSFP,Bulgaria,Male,298.05
