Year,SeriesCode,Country,Age,Sex,Value
2000,SH_DYN_IMRTN,Albania,<1Y,Male,812
2000,SH_DYN_IMRTN,Albania,<1Y,Female,543
2000,SH_DYN_IMRTN,Albania,<1Y,Both sexes,1355
2001,SH_DYN_IMRTN,Albania,<1Y,Both sexes,1210
2001,SH_DYN_IMRTN,Albania,<1Y,Female,481
2001,SH_DYN_IMRTN,Albania,<1Y,Male,729
2002,SH_DYN_IMRTN,Albania,<1Y,Male,648
2002,SH_DYN_IMRTN,Albania,<1Y,Female,423
2002,SH_DYN_IMRTN,Albania,<1Y,Both sexes,1071
2003,SH_DYN_IMRTN,Albania,<1Y,Both sexes,953
2003,SH_DYN_IMRTN,Albania,<1Y,Female,373
2003,SH_DYN_IMRTN,Albania,<1Y,Male,580
2004,SH_DYN_IMRTN,Albania,<1Y,Male,518
2004,SH_DYN_IMRTN,Albania,<1Y,Female,330
2004,SH_DYN_IMRTN,Albania,<1Y,Both sexes,848
2005,SH_DYN_IMRTN,Albania,<1Y,Both sexes,743
2005,SH_DYN_IMRTN,Albania,<1Y,Female,288
2005,SH_DYN_IMRTN,Albania,<1Y,Male,455
2006,SH_DYN_IMRTN,Albania,<1Y,Male,395
2006,SH_DYN_IMRTN,Albania,<1Y,Female,251
2006,SH_DYN_IMRTN,Albania,<1Y,Both sexes,646
2007,SH_DYN_IMRTN,Albania,<1Y,Both sexes,565
2007,SH_DYN_IMRTN,Albania,<1Y,Female,222
2007,SH_DYN_IMRTN,Albania,<1Y,Male,343
2008,SH_DYN_IMRTN,Albania,<1Y,Male,303
2008,SH_DYN_IMRTN,Albania,<1Y,Female,199
2008,SH_DYN_IMRTN,Albania,<1Y,Both sexes,502
2009,SH_DYN_IMRTN,Albania,<1Y,Both sexes,453
2009,SH_DYN_IMRTN,Albania,<1Y,Female,183
2009,SH_DYN_IMRTN,Albania,<1Y,Male,270
2010,SH_DYN_IMRTN,Albania,<1Y,Male,244
2010,SH_DYN_IMRTN,Albania,<1Y,Female,169
2010,SH_DYN_IMRTN,Albania,<1Y,Both sexes,413
2011,SH_DYN_IMRTN,Albania,<1Y,Both sexes,379
2011,SH_DYN_IMRTN,Albania,<1Y,Female,157
2011,SH_DYN_IMRTN,Albania,<1Y,Male,222
2012,SH_DYN_IMRTN,Albania,<1Y,Male,205
2012,SH_DYN_IMRTN,Albania,<1Y,Female,147
2012,SH_DYN_IMRTN,Albania,<1Y,Both sexes,352
2013,SH_DYN_IMRTN,Albania,<1Y,Both sexes,330
2013,SH_DYN_IMRTN,Albania,<1Y,Female,139
2013,SH_DYN_IMRTN,Albania,<1Y,Male,191
2014,SH_DYN_IMRTN,Albania,<1Y,Male,179
2014,SH_DYN_IMRTN,Albania,<1Y,Female,132
2014,SH_DYN_IMRTN,Albania,<1Y,Both sexes,311
2015,SH_DYN_IMRTN,Albania,<1Y,Both sexes,293
2015,SH_DYN_IMRTN,Albania,<1Y,Female,125
2015,SH_DYN_IMRTN,Albania,<1Y,Male,168
2016,SH_DYN_IMRTN,Albania,<1Y,Male,158
2016,SH_DYN_IMRTN,Albania,<1Y,Both sexes,277
2016,SH_DYN_IMRTN,Albania,<1Y,Female,119
2017,SH_DYN_IMRTN,Albania,<1Y,Both sexes,265
2017,SH_DYN_IMRTN,Albania,<1Y,Female,114
2017,SH_DYN_IMRTN,Albania,<1Y,Male,151
2018,SH_DYN_IMRTN,Albania,<1Y,Male,146
2018,SH_DYN_IMRTN,Albania,<1Y,Female,110
2018,SH_DYN_IMRTN,Albania,<1Y,Both sexes,256
2019,SH_DYN_IMRTN,Albania,<1Y,Both sexes,250
2019,SH_DYN_IMRTN,Albania,<1Y,Female,108
2019,SH_DYN_IMRTN,Albania,<1Y,Male,142
2000,SH_DYN_IMRTN,Chile,<1Y,Both sexes,2288
2000,SH_DYN_IMRTN,Chile,<1Y,Male,1273
2000,SH_DYN_IMRTN,Chile,<1Y,Female,1015
2001,SH_DYN_IMRTN,Chile,<1Y,Female,940
2001,SH_DYN_IMRTN,Chile,<1Y,Male,1184
2001,SH_DYN_IMRTN,Chile,<1Y,Both sexes,2124
2002,SH_DYN_IMRTN,Chile,<1Y,Both sexes,2014
2002,SH_DYN_IMRTN,Chile,<1Y,Male,1125
2002,SH_DYN_IMRTN,Chile,<1Y,Female,889
2003,SH_DYN_IMRTN,Chile,<1Y,Female,847
2003,SH_DYN_IMRTN,Chile,<1Y,Male,1072
2003,SH_DYN_IMRTN,Chile,<1Y,Both sexes,1919
2020,SH_DYN_IMRTN,Albania,<1Y,Male,142
2020,SH_DYN_IMRTN,Albania,<1Y,Female,107
2020,SH_DYN_IMRTN,Albania,<1Y,Both sexes,249
2021,SH_DYN_IMRTN,Albania,<1Y,Both sexes,247
2021,SH_DYN_IMRTN,Albania,<1Y,Female,107
2021,SH_DYN_IMRTN,Albania,<1Y,Male,140
2000,SH_DYN_IMRTN,Azerbaijan,<1Y,Both sexes,8609
2000,SH_DYN_IMRTN,Azerbaijan,<1Y,Male,4936
2000,SH_DYN_IMRTN,Azerbaijan,<1Y,Female,3673
2001,SH_DYN_IMRTN,Azerbaijan,<1Y,Female,3338
2001,SH_DYN_IMRTN,Azerbaijan,<1Y,Male,4530
2001,SH_DYN_IMRTN,Azerbaijan,<1Y,Both sexes,7868
2000,SH_DYN_IMRTN,Ireland,<1Y,Both sexes,319
2000,SH_DYN_IMRTN,Ireland,<1Y,Female,140
2000,SH_DYN_IMRTN,Ireland,<1Y,Male,179
2001,SH_DYN_IMRTN,Ireland,<1Y,Male,178
2001,SH_DYN_IMRTN,Ireland,<1Y,Female,140
2001,SH_DYN_IMRTN,Ireland,<1Y,Both sexes,318
2002,SH_DYN_IMRTN,Ireland,<1Y,Both sexes,316
