Year,SeriesCode,Country,Age,Location,Sex,Value
2000,SH_DYN_NMRT,Albania,<1M,,Both sexes,12.2
2001,SH_DYN_NMRT,Albania,<1M,,Both sexes,11.8
2002,SH_DYN_NMRT,Albania,<1M,,Both sexes,11.5
2003,SH_DYN_NMRT,Albania,<1M,,Both sexes,11.2
2004,SH_DYN_NMRT,Albania,<1M,,Both sexes,10.9
2005,SH_DYN_NMRT,Albania,<1M,,Both sexes,10.5
2006,SH_DYN_NMRT,Albania,<1M,,Both sexes,10.0
2007,SH_DYN_NMRT,Albania,<1M,,Both sexes,9.3
2008,SH_DYN_NMRT,Albania,<1M,,Both sexes,8.3
2009,SH_DYN_NMRT,Albania,<1M,,Both sexes,7.4
2010,SH_DYN_NMRT,Albania,<1M,,Both sexes,6.7
2011,SH_DYN_NMRT,Albania,<1M,,Both sexes,6.3
2012,SH_DYN_NMRT,Albania,<1M,,Both sexes,6.1
2013,SH_DYN_NMRT,Albania,<1M,,Both sexes,5.9
2014,SH_DYN_NMRT,Albania,<1M,,Both sexes,5.9
2015,SH_DYN_NMRT,Albania,<1M,,Both sexes,6.0
2016,SH_DYN_NMRT,Albania,<1M,,Both sexes,6.3
2017,SH_DYN_NMRT,Albania,<1M,,Both sexes,6.7
2018,SH_DYN_NMRT,Albania,<1M,,Both sexes,7.0
2019,SH_DYN_NMRT,Albania,<1M,,Both sexes,7.1
2020,SH_DYN_NMRT,Albania,<1M,,Both sexes,7.2
2021,SH_DYN_NMRT,Albania,<1M,,Both sexes,7.1
2000,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,34.3
2001,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,32.8
2002,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,31.3
2003,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,29.7
2004,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,28.2
2005,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,26.8
2006,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,25.4
2007,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,24.1
2008,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,22.9
2009,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,21.6
2010,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,20.4
2011,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,18.9
2012,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,17.4
2013,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,16.0
2014,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,14.7
2015,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,13.6
2016,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,12.6
2017,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,11.8
2018,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,11.1
2019,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,10.4
2020,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,10.0
2021,SH_DYN_NMRT,Azerbaijan,<1M,,Both sexes,9.5
2000,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.5
2001,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.5
2002,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.4
2003,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.4
2004,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.3
2005,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.3
2006,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.2
2007,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.1
2008,SH_DYN_NMRT,Australia,<1M,,Both sexes,3.0
2009,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.9
2010,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.8
2011,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.6
2012,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.5
2013,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.4
2014,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.4
2015,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.3
2016,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.3
2017,SH_DYN_NMRT,Australia,<1M,,Both sexes,2.3
2000,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,20.3
2001,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,19.9
2002,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,19.7
2003,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,19.6
2004,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,19.5
2005,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,19.5
2006,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,19.4
2007,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,19.1
2008,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,18.4
2009,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,17.7
2010,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,17.0
2011,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,16.4
2012,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,15.9
2013,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,15.6
2014,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,15.3
2015,SH_DYN_NMRT,Kyrgyzstan,<1M,,Both sexes,14.9
