Year,SeriesCode,Country,Value
2020,SH_BLD_ECOLI,Australia,13.36
2021,SH_BLD_ECOLI,Australia,12.45928
2017,SH_BLD_ECOLI,Austria,9.6
2018,SH_BLD_ECOLI,Austria,10.2
2019,SH_BLD_ECOLI,Austria,9.06
2020,SH_BLD_ECOLI,Austria,9.43
2021,SH_BLD_ECOLI,Austria,8.16247
2020,SH_BLD_ECOLI,Belgium,10.33
2021,SH_BLD_ECOLI,Belgium,8.33333
2016,SH_BLD_ECOLI,Bosnia and Herzegovina,22.7
2017,SH_BLD_ECOLI,Bosnia and Herzegovina,24.9
2018,SH_BLD_ECOLI,Bosnia and Herzegovina,20.2
2019,SH_BLD_ECOLI,Bosnia and Herzegovina,20.34
2020,SH_BLD_ECOLI,Bosnia and Herzegovina,23.46
2021,SH_BLD_ECOLI,Bosnia and Herzegovina,28.85572
2021,SH_BLD_ECOLI,Colombia,30.76923
2017,SH_BLD_ECOLI,Croatia,16.5
2018,SH_BLD_ECOLI,Croatia,14.8
2019,SH_BLD_ECOLI,Croatia,15.58
2020,SH_BLD_ECOLI,Croatia,18.24
2021,SH_BLD_ECOLI,Croatia,18.18182
2017,SH_BLD_ECOLI,Cyprus,30.8
2018,SH_BLD_ECOLI,Cyprus,37.1
2019,SH_BLD_ECOLI,Cyprus,19.57
2020,SH_BLD_ECOLI,Cyprus,51.61
2021,SH_BLD_ECOLI,Cyprus,41.02564
2017,SH_BLD_ECOLI,Czechia,14.2
2018,SH_BLD_ECOLI,Czechia,15.2
2019,SH_BLD_ECOLI,Czechia,15.36
2020,SH_BLD_ECOLI,Czechia,13.09
2021,SH_BLD_ECOLI,Czechia,14.30522
2020,SH_BLD_ECOLI,Denmark,7.27
2021,SH_BLD_ECOLI,Denmark,6.30596
2021,SH_BLD_ECOLI,Estonia,7.85791
2016,SH_BLD_ECOLI,Finland,6.66
2017,SH_BLD_ECOLI,Finland,6.14
2018,SH_BLD_ECOLI,Finland,7.59
2019,SH_BLD_ECOLI,Finland,7.79
2020,SH_BLD_ECOLI,Finland,6.62
2021,SH_BLD_ECOLI,Finland,6.31885
2017,SH_BLD_ECOLI,France,10.22
2018,SH_BLD_ECOLI,France,9.59
2019,SH_BLD_ECOLI,France,9.07
2020,SH_BLD_ECOLI,France,10.42
2021,SH_BLD_ECOLI,France,8.92313
2017,SH_BLD_ECOLI,Georgia,47.06
2018,SH_BLD_ECOLI,Georgia,55.77
2019,SH_BLD_ECOLI,Georgia,56.58
2020,SH_BLD_ECOLI,Georgia,43.65
2021,SH_BLD_ECOLI,Georgia,35.36585
2016,SH_BLD_ECOLI,Germany,11.56
2017,SH_BLD_ECOLI,Germany,12.28
2018,SH_BLD_ECOLI,Germany,12.18
2019,SH_BLD_ECOLI,Germany,11.46
2020,SH_BLD_ECOLI,Germany,10.2
2021,SH_BLD_ECOLI,Germany,8.9564
2017,SH_BLD_ECOLI,Greece,18.3
2018,SH_BLD_ECOLI,Greece,19.33
