Year,SeriesCode,Country,Education level,Location,Quantile,Sex,Value
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,94
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 5 (richest),Both sexes,96
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 4,Both sexes,96
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,96
2000,SE_TOT_CPLR,Albania,PRIMAR,Rural,Total or no breakdown,Both sexes,95
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 1 (poorest),Both sexes,30
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 2,Both sexes,94
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 1 (poorest),Both sexes,94
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 3,Both sexes,96
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,95
2000,SE_TOT_CPLR,Albania,PRIMAR,Urban,Total or no breakdown,Both sexes,95
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,93
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 4,Both sexes,97
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,47
2000,SE_TOT_CPLR,Albania,UPPSEC,Rural,Total or no breakdown,Both sexes,36
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 5 (richest),Both sexes,60
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 4,Both sexes,69
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 3,Both sexes,41
2000,SE_TOT_CPLR,Albania,UPPSEC,Urban,Total or no breakdown,Both sexes,68
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,93
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 2,Both sexes,90
2000,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 3,Both sexes,97
2000,SE_TOT_CPLR,Albania,LOWSEC,Rural,Total or no breakdown,Both sexes,91
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 5 (richest),Both sexes,94
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 1 (poorest),Both sexes,88
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,47
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 2,Both sexes,37
2000,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,46
2000,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,93
2000,SE_TOT_CPLR,Albania,LOWSEC,Urban,Total or no breakdown,Both sexes,96
2001,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,43
2001,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,95
2001,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,96
2001,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,94
2001,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,43
2001,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,96
2001,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,43
2001,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,96
2001,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,95
2002,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,95
2002,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,43
2002,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,43
2002,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,95
2002,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,96
2002,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,97
2002,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,44
2002,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,94
2002,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,97
2003,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,44
2003,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,45
2003,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,95
2003,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,97
2003,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,94
2003,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,45
2003,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,97
2003,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,97
2003,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,95
2004,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,97
2004,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,97
2004,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,48
2004,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,94
2004,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,97
2004,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,95
2004,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,46
2004,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,45
2004,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,96
2005,SE_TOT_CPLR,Albania,LOWSEC,Rural,Total or no breakdown,Both sexes,98
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 1 (poorest),Both sexes,97
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 5 (richest),Both sexes,99
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,99
2005,SE_TOT_CPLR,Albania,PRIMAR,Urban,Total or no breakdown,Both sexes,98
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,96
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 2,Both sexes,96
2005,SE_TOT_CPLR,Albania,UPPSEC,Urban,Total or no breakdown,Both sexes,67
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,99
2005,SE_TOT_CPLR,Albania,PRIMAR,Rural,Total or no breakdown,Both sexes,99
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 1 (poorest),Both sexes,17
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,99
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 4,Both sexes,98
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 5 (richest),Both sexes,100
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,46
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,47
