Year,SeriesCode,Country,Education level,Type of skill,Value
2000,SE_NAP_ACHI,Albania,LOWSEC,SKILL_READ,0.60053
2000,SE_NAP_ACHI,Albania,LOWSEC,SKILL_MATH,0.47846
2009,SE_NAP_ACHI,Albania,LOWSEC,SKILL_MATH,0.22303
2009,SE_NAP_ACHI,Albania,LOWSEC,SKILL_READ,0.49921
2012,SE_NAP_ACHI,Albania,LOWSEC,SKILL_READ,1.00147
2012,SE_NAP_ACHI,Albania,LOWSEC,SKILL_MATH,1.16039
2018,SE_NAP_ACHI,Albania,LOWSEC,SKILL_MATH,0.682
2018,SE_NAP_ACHI,Albania,LOWSEC,SKILL_READ,0.2548
2019,SE_NAP_ACHI,Albania,PRIMAR,SKILL_MATH,0.98955
2006,SE_NAP_ACHI,Azerbaijan,LOWSEC,SKILL_READ,1.15854
2006,SE_NAP_ACHI,Azerbaijan,LOWSEC,SKILL_MATH,1.01614
2009,SE_NAP_ACHI,Azerbaijan,LOWSEC,SKILL_READ,0.99639
2009,SE_NAP_ACHI,Azerbaijan,LOWSEC,SKILL_MATH,1.08478
2019,SE_NAP_ACHI,Azerbaijan,PRIMAR,SKILL_MATH,0.82495
2000,SE_NAP_ACHI,Australia,LOWSEC,SKILL_MATH,1.00896
2000,SE_NAP_ACHI,Australia,LOWSEC,SKILL_READ,0.99386
2003,SE_NAP_ACHI,Australia,LOWSEC,SKILL_READ,0.96906
2003,SE_NAP_ACHI,Australia,GRAD23,SKILL_MATH,1.1522
2003,SE_NAP_ACHI,Australia,PRIMAR,SKILL_MATH,1.00207
2003,SE_NAP_ACHI,Australia,LOWSEC,SKILL_MATH,0.97569
2006,SE_NAP_ACHI,Australia,LOWSEC,SKILL_MATH,1.01433
2006,SE_NAP_ACHI,Australia,LOWSEC,SKILL_READ,1.00034
2007,SE_NAP_ACHI,Australia,PRIMAR,SKILL_MATH,0.55292
2007,SE_NAP_ACHI,Australia,GRAD23,SKILL_MATH,1.27925
2009,SE_NAP_ACHI,Australia,LOWSEC,SKILL_READ,1.01033
2009,SE_NAP_ACHI,Australia,LOWSEC,SKILL_MATH,1.01111
2011,SE_NAP_ACHI,Australia,PRIMAR,SKILL_MATH,1.03275
2012,SE_NAP_ACHI,Australia,LOWSEC,SKILL_READ,1.02113
2012,SE_NAP_ACHI,Australia,LOWSEC,SKILL_MATH,1.0427
2015,SE_NAP_ACHI,Australia,LOWSEC,SKILL_MATH,1.02184
2015,SE_NAP_ACHI,Australia,LOWSEC,SKILL_READ,1.00583
2015,SE_NAP_ACHI,Australia,PRIMAR,SKILL_MATH,0.99309
2015,SE_NAP_ACHI,Australia,GRAD23,SKILL_MATH,0.97854
2018,SE_NAP_ACHI,Australia,LOWSEC,SKILL_READ,1.00836
2018,SE_NAP_ACHI,Australia,LOWSEC,SKILL_MATH,1.03307
2019,SE_NAP_ACHI,Australia,GRAD23,SKILL_MATH,0.92692
2019,SE_NAP_ACHI,Australia,PRIMAR,SKILL_MATH,1.06375
