Year,SeriesCode,Country,Education level,Sex,Value
2018,SE_TRA_GRDL,Albania,LOWSEC,Female,59.39298
2018,SE_TRA_GRDL,Albania,PREPRI,Male,0.0
2018,SE_TRA_GRDL,Albania,PREPRI,Female,85.82278
2018,SE_TRA_GRDL,Albania,PRIMAR,Female,90.90579
2018,SE_TRA_GRDL,Albania,PRIMAR,Both sexes,89.92081
2018,SE_TRA_GRDL,Albania,PREPRI,Both sexes,85.82278
2018,SE_TRA_GRDL,Albania,PRIMAR,Male,84.3686
2018,SE_TRA_GRDL,Albania,LOWSEC,Male,49.04714
2018,SE_TRA_GRDL,Albania,LOWSEC,Both sexes,55.97
2020,SE_TRA_GRDL,Albania,UPPSEC,Female,57.00304
2020,SE_TRA_GRDL,Albania,LOWSEC,Both sexes,51.32635
2020,SE_TRA_GRDL,Albania,LOWSEC,Female,47.1803
2020,SE_TRA_GRDL,Albania,LOWSEC,Male,60.34557
2020,SE_TRA_GRDL,Albania,SECOND,Both sexes,52.39228
2020,SE_TRA_GRDL,Albania,SECOND,Male,55.73248
2020,SE_TRA_GRDL,Albania,UPPSEC,Both sexes,54.16667
2020,SE_TRA_GRDL,Albania,SECOND,Female,50.81885
2020,SE_TRA_GRDL,Albania,UPPSEC,Male,48.38266
2021,SE_TRA_GRDL,Albania,UPPSEC,Male,59.14454
2021,SE_TRA_GRDL,Albania,SECOND,Female,65.10046
2021,SE_TRA_GRDL,Albania,UPPSEC,Both sexes,60.92731
2021,SE_TRA_GRDL,Albania,SECOND,Male,71.21024
2021,SE_TRA_GRDL,Albania,SECOND,Both sexes,67.00588
2021,SE_TRA_GRDL,Albania,LOWSEC,Male,78.40035
2021,SE_TRA_GRDL,Albania,PREPRI,Male,0.0
2021,SE_TRA_GRDL,Albania,PRIMAR,Male,72.2099
2021,SE_TRA_GRDL,Albania,LOWSEC,Female,67.03762
2021,SE_TRA_GRDL,Albania,LOWSEC,Both sexes,70.55423
2021,SE_TRA_GRDL,Albania,UPPSEC,Female,61.75068
2021,SE_TRA_GRDL,Albania,PRIMAR,Both sexes,61.76833
2001,SE_TRA_GRDL,Costa Rica,LOWSEC,Both sexes,84.65016
2001,SE_TRA_GRDL,Costa Rica,PREPRI,Both sexes,84.65943
2001,SE_TRA_GRDL,Costa Rica,PRIMAR,Both sexes,89.54435
2001,SE_TRA_GRDL,Costa Rica,UPPSEC,Both sexes,84.59695
2001,SE_TRA_GRDL,Costa Rica,SECOND,Both sexes,84.63311
2002,SE_TRA_GRDL,Costa Rica,SECOND,Both sexes,84.47761
2002,SE_TRA_GRDL,Costa Rica,UPPSEC,Both sexes,86.19881
2002,SE_TRA_GRDL,Costa Rica,PRIMAR,Both sexes,88.20727
2002,SE_TRA_GRDL,Costa Rica,PREPRI,Both sexes,79.23478
2002,SE_TRA_GRDL,Costa Rica,LOWSEC,Both sexes,83.72505
2004,SE_TRA_GRDL,Costa Rica,PREPRI,Both sexes,91.4948
2004,SE_TRA_GRDL,Costa Rica,PRIMAR,Both sexes,97.42543
2005,SE_TRA_GRDL,Costa Rica,PREPRI,Female,88.79975
2005,SE_TRA_GRDL,Costa Rica,PREPRI,Male,77.08333
2005,SE_TRA_GRDL,Costa Rica,PRIMAR,Male,96.70165
2005,SE_TRA_GRDL,Costa Rica,PRIMAR,Female,96.81005
2005,SE_TRA_GRDL,Costa Rica,PRIMAR,Both sexes,96.78728
2005,SE_TRA_GRDL,Costa Rica,PREPRI,Both sexes,88.13232
2006,SE_TRA_GRDL,Costa Rica,PRIMAR,Female,87.96288
2006,SE_TRA_GRDL,Costa Rica,PRIMAR,Male,88.35726
2006,SE_TRA_GRDL,Costa Rica,LOWSEC,Both sexes,80.16826
2006,SE_TRA_GRDL,Costa Rica,LOWSEC,Female,79.37961
2006,SE_TRA_GRDL,Costa Rica,PREPRI,Both sexes,81.83956
2006,SE_TRA_GRDL,Costa Rica,PRIMAR,Both sexes,88.04313
2006,SE_TRA_GRDL,Costa Rica,UPPSEC,Female,79.27614
2006,SE_TRA_GRDL,Costa Rica,SECOND,Both sexes,80.24903
