Year,SeriesCode,Country,Age,Sex,Value
2008,IC_GEN_MGTL,Armenia,,Female,35.2
2011,IC_GEN_MGTL,Armenia,,Female,31.7
2013,IC_GEN_MGTL,Armenia,,Female,28.8
2014,IC_GEN_MGTL,Armenia,,Female,32.4
2015,IC_GEN_MGTL,Armenia,,Female,29.1
2016,IC_GEN_MGTL,Armenia,,Female,29.5
2017,IC_GEN_MGTL,Armenia,,Female,28.7
2018,IC_GEN_MGTL,Armenia,,Female,25.7
2019,IC_GEN_MGTL,Armenia,,Female,24.4
2020,IC_GEN_MGTL,Armenia,,Female,28.1
2000,IC_GEN_MGTL,Belgium,,Female,32.1
2001,IC_GEN_MGTL,Belgium,,Female,32.9
2002,IC_GEN_MGTL,Belgium,,Female,31.8
2003,IC_GEN_MGTL,Belgium,,Female,29.9
2004,IC_GEN_MGTL,Belgium,,Female,29.9
2005,IC_GEN_MGTL,Belgium,,Female,31.8
2006,IC_GEN_MGTL,Belgium,,Female,31.5
2007,IC_GEN_MGTL,Belgium,,Female,33.9
2008,IC_GEN_MGTL,Belgium,,Female,32.7
2009,IC_GEN_MGTL,Belgium,,Female,34.0
2010,IC_GEN_MGTL,Belgium,,Female,34.1
2011,IC_GEN_MGTL,Belgium,,Female,29.9
2012,IC_GEN_MGTL,Belgium,,Female,32.4
2013,IC_GEN_MGTL,Belgium,,Female,31.4
2014,IC_GEN_MGTL,Belgium,,Female,31.7
2015,IC_GEN_MGTL,Belgium,,Female,32.6
2016,IC_GEN_MGTL,Belgium,,Female,32.7
2017,IC_GEN_MGTL,Belgium,,Female,33.6
2018,IC_GEN_MGTL,Belgium,,Female,33.9
2019,IC_GEN_MGTL,Belgium,,Female,32.7
2020,IC_GEN_MGTL,Belgium,,Female,34.5
2021,IC_GEN_MGTL,Belgium,,Female,35.4
2001,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,18.9
2006,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,20.8
2007,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,16.1
2008,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,23.0
2009,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,25.3
2010,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,23.8
2011,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,21.4
2012,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,24.2
2013,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,22.8
2014,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,24.2
2015,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,22.0
2016,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,21.6
2017,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,20.3
2018,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,25.9
2019,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,24.3
2020,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,25.1
2021,IC_GEN_MGTL,Bosnia and Herzegovina,,Female,24.2
2000,IC_GEN_MGTL,Bulgaria,,Female,29.8
2001,IC_GEN_MGTL,Bulgaria,,Female,32.7
2002,IC_GEN_MGTL,Bulgaria,,Female,33.5
2003,IC_GEN_MGTL,Bulgaria,,Female,31.3
2004,IC_GEN_MGTL,Bulgaria,,Female,34.4
2005,IC_GEN_MGTL,Bulgaria,,Female,34.0
2006,IC_GEN_MGTL,Bulgaria,,Female,31.6
2007,IC_GEN_MGTL,Bulgaria,,Female,31.4
2008,IC_GEN_MGTL,Bulgaria,,Female,32.3
2009,IC_GEN_MGTL,Bulgaria,,Female,32.2
2010,IC_GEN_MGTL,Bulgaria,,Female,33.3
2011,IC_GEN_MGTL,Bulgaria,,Female,36.8
2012,IC_GEN_MGTL,Bulgaria,,Female,36.4
2002,IC_GEN_MGTL,Albania,,Female,13.1
2007,IC_GEN_MGTL,Albania,,Female,20.5
2008,IC_GEN_MGTL,Albania,,Female,23.7
2009,IC_GEN_MGTL,Albania,,Female,22.5
2010,IC_GEN_MGTL,Albania,,Female,19.1
2012,IC_GEN_MGTL,Albania,,Female,16.1
2014,IC_GEN_MGTL,Albania,,Female,18.7
2015,IC_GEN_MGTL,Albania,,Female,19.8
2016,IC_GEN_MGTL,Albania,,Female,24.1
2017,IC_GEN_MGTL,Albania,,Female,22.7
2018,IC_GEN_MGTL,Albania,,Female,29.3
2013,IC_GEN_MGTL,Bulgaria,,Female,36.5
2014,IC_GEN_MGTL,Bulgaria,,Female,36.7
2015,IC_GEN_MGTL,Bulgaria,,Female,36.5
2016,IC_GEN_MGTL,Bulgaria,,Female,37.9
2017,IC_GEN_MGTL,Bulgaria,,Female,39.2
2018,IC_GEN_MGTL,Bulgaria,,Female,38.6
2019,IC_GEN_MGTL,Bulgaria,,Female,39.0
2020,IC_GEN_MGTL,Bulgaria,,Female,41.3
2021,IC_GEN_MGTL,Bulgaria,,Female,38.3
2016,IC_GEN_MGTL,Belarus,,Female,46.0
2017,IC_GEN_MGTL,Belarus,,Female,47.6
2018,IC_GEN_MGTL,Belarus,,Female,47.3
2019,IC_GEN_MGTL,Belarus,,Female,49.1
2020,IC_GEN_MGTL,Belarus,,Female,50.5
2021,IC_GEN_MGTL,Belarus,,Female,47.2
2000,IC_GEN_MGTL,Canada,,Female,35.5
2001,IC_GEN_MGTL,Canada,,Female,35.0
2002,IC_GEN_MGTL,Canada,,Female,34.1
2003,IC_GEN_MGTL,Canada,,Female,35.7
2004,IC_GEN_MGTL,Canada,,Female,36.5
2005,IC_GEN_MGTL,Canada,,Female,35.9
2006,IC_GEN_MGTL,Canada,,Female,36.3
2007,IC_GEN_MGTL,Canada,,Female,36.9
2008,IC_GEN_MGTL,Canada,,Female,36.0
2009,IC_GEN_MGTL,Canada,,Female,37.0
2010,IC_GEN_MGTL,Canada,,Female,36.8
