Year,SeriesCode,Country,Sex,Value
2000,IC_GEN_MGTN,Estonia,Female,34.83
2001,IC_GEN_MGTN,Estonia,Female,38.17
2002,IC_GEN_MGTN,Estonia,Female,37.17
2003,IC_GEN_MGTN,Estonia,Female,34.8
2004,IC_GEN_MGTN,Estonia,Female,41.23
2005,IC_GEN_MGTN,Estonia,Female,41.04
2006,IC_GEN_MGTN,Estonia,Female,39.63
2007,IC_GEN_MGTN,Estonia,Female,34.91
2008,IC_GEN_MGTN,Estonia,Female,36.6
2009,IC_GEN_MGTN,Estonia,Female,34.34
2010,IC_GEN_MGTN,Estonia,Female,38.37
2011,IC_GEN_MGTN,Estonia,Female,34.63
2012,IC_GEN_MGTN,Estonia,Female,31.62
2013,IC_GEN_MGTN,Estonia,Female,32.81
2014,IC_GEN_MGTN,Estonia,Female,30.84
2015,IC_GEN_MGTN,Estonia,Female,27.84
2016,IC_GEN_MGTN,Estonia,Female,31.63
2017,IC_GEN_MGTN,Estonia,Female,34.33
2018,IC_GEN_MGTN,Estonia,Female,33.24
2019,IC_GEN_MGTN,Estonia,Female,35.11
2020,IC_GEN_MGTN,Estonia,Female,35.83
2000,IC_GEN_MGTN,Finland,Female,27.55
2001,IC_GEN_MGTN,Finland,Female,29.74
2002,IC_GEN_MGTN,Finland,Female,30.23
2003,IC_GEN_MGTN,Finland,Female,30.93
2004,IC_GEN_MGTN,Finland,Female,30.68
2005,IC_GEN_MGTN,Finland,Female,32.67
2006,IC_GEN_MGTN,Finland,Female,33.85
2007,IC_GEN_MGTN,Finland,Female,32.28
2008,IC_GEN_MGTN,Finland,Female,33.58
2009,IC_GEN_MGTN,Finland,Female,34.71
2010,IC_GEN_MGTN,Finland,Female,34.34
2011,IC_GEN_MGTN,Finland,Female,31.09
2012,IC_GEN_MGTN,Finland,Female,29.67
2013,IC_GEN_MGTN,Finland,Female,29.47
2014,IC_GEN_MGTN,Finland,Female,34.26
2015,IC_GEN_MGTN,Finland,Female,33.49
2016,IC_GEN_MGTN,Finland,Female,34.06
2017,IC_GEN_MGTN,Finland,Female,31.45
2018,IC_GEN_MGTN,Finland,Female,32.02
2019,IC_GEN_MGTN,Finland,Female,36.76
2020,IC_GEN_MGTN,Finland,Female,37.48
2005,IC_GEN_MGTN,France,Female,36.37
2006,IC_GEN_MGTN,France,Female,37.01
2007,IC_GEN_MGTN,France,Female,36.46
2008,IC_GEN_MGTN,France,Female,36.79
2009,IC_GEN_MGTN,France,Female,37.37
2010,IC_GEN_MGTN,France,Female,38.59
2011,IC_GEN_MGTN,France,Female,39.13
2012,IC_GEN_MGTN,France,Female,39.2
2013,IC_GEN_MGTN,France,Female,35.58
2014,IC_GEN_MGTN,France,Female,32.03
2015,IC_GEN_MGTN,France,Female,30.93
2016,IC_GEN_MGTN,France,Female,31.07
2017,IC_GEN_MGTN,France,Female,32.64
2018,IC_GEN_MGTN,France,Female,34.38
2019,IC_GEN_MGTN,France,Female,34.3
2020,IC_GEN_MGTN,France,Female,34.95
2021,IC_GEN_MGTN,France,Female,36.76
2009,IC_GEN_MGTN,Georgia,Female,29.99
2010,IC_GEN_MGTN,Georgia,Female,29.77
2011,IC_GEN_MGTN,Georgia,Female,33.52
2012,IC_GEN_MGTN,Georgia,Female,31.01
2002,IC_GEN_MGTN,Albania,Female,15.8
2007,IC_GEN_MGTN,Albania,Female,22.81
2008,IC_GEN_MGTN,Albania,Female,24.43
2009,IC_GEN_MGTN,Albania,Female,21.98
2010,IC_GEN_MGTN,Albania,Female,19.1
2012,IC_GEN_MGTN,Albania,Female,14.71
2013,IC_GEN_MGTN,Albania,Female,29.3
2014,IC_GEN_MGTN,Albania,Female,20.62
2015,IC_GEN_MGTN,Albania,Female,19.27
2016,IC_GEN_MGTN,Albania,Female,24.02
2013,IC_GEN_MGTN,Georgia,Female,32.75
2014,IC_GEN_MGTN,Georgia,Female,33.76
2015,IC_GEN_MGTN,Georgia,Female,38.79
2016,IC_GEN_MGTN,Georgia,Female,44.17
2017,IC_GEN_MGTN,Georgia,Female,31.99
2018,IC_GEN_MGTN,Georgia,Female,35.68
2019,IC_GEN_MGTN,Georgia,Female,36.65
2020,IC_GEN_MGTN,Georgia,Female,33.76
2000,IC_GEN_MGTN,Germany,Female,20.66
2001,IC_GEN_MGTN,Germany,Female,20.59
2002,IC_GEN_MGTN,Germany,Female,21.99
2003,IC_GEN_MGTN,Germany,Female,23.06
2004,IC_GEN_MGTN,Germany,Female,22.76
2005,IC_GEN_MGTN,Germany,Female,23.56
2006,IC_GEN_MGTN,Germany,Female,24.19
2007,IC_GEN_MGTN,Germany,Female,24.77
2008,IC_GEN_MGTN,Germany,Female,25.69
2009,IC_GEN_MGTN,Germany,Female,26.82
2010,IC_GEN_MGTN,Germany,Female,27.51
2011,IC_GEN_MGTN,Germany,Female,27.94
2012,IC_GEN_MGTN,Germany,Female,27.06
2013,IC_GEN_MGTN,Germany,Female,27.52
2014,IC_GEN_MGTN,Germany,Female,27.76
2015,IC_GEN_MGTN,Germany,Female,28.04
2016,IC_GEN_MGTN,Germany,Female,28.09
2017,IC_GEN_MGTN,Germany,Female,28.21
2018,IC_GEN_MGTN,Germany,Female,28.58
2019,IC_GEN_MGTN,Germany,Female,28.63
2020,IC_GEN_MGTN,Germany,Female,27.08
2000,IC_GEN_MGTN,Greece,Female,25.0
2001,IC_GEN_MGTN,Greece,Female,24.81
2002,IC_GEN_MGTN,Greece,Female,25.33
2003,IC_GEN_MGTN,Greece,Female,26.36
2004,IC_GEN_MGTN,Greece,Female,25.76
2005,IC_GEN_MGTN,Greece,Female,26.36
2006,IC_GEN_MGTN,Greece,Female,26.66
2007,IC_GEN_MGTN,Greece,Female,28.03
2008,IC_GEN_MGTN,Greece,Female,28.3
2009,IC_GEN_MGTN,Greece,Female,29.8
2010,IC_GEN_MGTN,Greece,Female,29.85
2011,IC_GEN_MGTN,Greece,Female,22.08
2012,IC_GEN_MGTN,Greece,Female,22.17
2013,IC_GEN_MGTN,Greece,Female,25.66
2014,IC_GEN_MGTN,Greece,Female,27.75
2015,IC_GEN_MGTN,Greece,Female,24.76
2016,IC_GEN_MGTN,Greece,Female,24.7
2017,IC_GEN_MGTN,Greece,Female,29.88
2018,IC_GEN_MGTN,Greece,Female,30.4
2019,IC_GEN_MGTN,Greece,Female,30.54
2020,IC_GEN_MGTN,Greece,Female,28.44
2021,IC_GEN_MGTN,Greece,Female,29.44
2000,IC_GEN_MGTN,Hungary,Female,34.19
2017,IC_GEN_MGTN,Albania,Female,22.65
2018,IC_GEN_MGTN,Albania,Female,31.6
2019,IC_GEN_MGTN,Albania,Female,41.34
