Year,SeriesCode,Country,Sex,Value
2010,IC_GEN_MGTN_19ICLS,Australia,Female,33.53
2011,IC_GEN_MGTN_19ICLS,Australia,Female,27.61
2012,IC_GEN_MGTN_19ICLS,Australia,Female,29.89
2013,IC_GEN_MGTN_19ICLS,Australia,Female,32.87
2014,IC_GEN_MGTN_19ICLS,Australia,Female,34.99
2015,IC_GEN_MGTN_19ICLS,Australia,Female,35.3
2016,IC_GEN_MGTN_19ICLS,Australia,Female,36.23
2017,IC_GEN_MGTN_19ICLS,Australia,Female,35.11
2018,IC_GEN_MGTN_19ICLS,Australia,Female,33.85
2019,IC_GEN_MGTN_19ICLS,Australia,Female,34.65
2020,IC_GEN_MGTN_19ICLS,Australia,Female,34.16
2000,IC_GEN_MGTN_19ICLS,Austria,Female,28.13
2001,IC_GEN_MGTN_19ICLS,Austria,Female,29.38
2002,IC_GEN_MGTN_19ICLS,Austria,Female,30.78
2003,IC_GEN_MGTN_19ICLS,Austria,Female,28.5
2004,IC_GEN_MGTN_19ICLS,Austria,Female,23.02
2005,IC_GEN_MGTN_19ICLS,Austria,Female,21.5
2006,IC_GEN_MGTN_19ICLS,Austria,Female,20.96
2007,IC_GEN_MGTN_19ICLS,Austria,Female,21.0
2008,IC_GEN_MGTN_19ICLS,Austria,Female,25.19
2009,IC_GEN_MGTN_19ICLS,Austria,Female,23.25
2010,IC_GEN_MGTN_19ICLS,Austria,Female,25.42
2011,IC_GEN_MGTN_19ICLS,Austria,Female,26.07
2012,IC_GEN_MGTN_19ICLS,Austria,Female,27.13
2013,IC_GEN_MGTN_19ICLS,Austria,Female,26.33
2014,IC_GEN_MGTN_19ICLS,Austria,Female,27.85
2015,IC_GEN_MGTN_19ICLS,Austria,Female,27.88
2016,IC_GEN_MGTN_19ICLS,Austria,Female,29.52
2017,IC_GEN_MGTN_19ICLS,Austria,Female,29.19
2018,IC_GEN_MGTN_19ICLS,Austria,Female,28.86
2019,IC_GEN_MGTN_19ICLS,Austria,Female,32.01
2020,IC_GEN_MGTN_19ICLS,Austria,Female,31.47
2021,IC_GEN_MGTN_19ICLS,Austria,Female,34.31
2000,IC_GEN_MGTN_19ICLS,Belgium,Female,24.53
2001,IC_GEN_MGTN_19ICLS,Belgium,Female,28.38
2002,IC_GEN_MGTN_19ICLS,Belgium,Female,27.97
2003,IC_GEN_MGTN_19ICLS,Belgium,Female,27.33
2004,IC_GEN_MGTN_19ICLS,Belgium,Female,26.91
2005,IC_GEN_MGTN_19ICLS,Belgium,Female,30.24
2006,IC_GEN_MGTN_19ICLS,Belgium,Female,31.13
2007,IC_GEN_MGTN_19ICLS,Belgium,Female,33.54
2008,IC_GEN_MGTN_19ICLS,Belgium,Female,31.9
2009,IC_GEN_MGTN_19ICLS,Belgium,Female,34.57
2010,IC_GEN_MGTN_19ICLS,Belgium,Female,34.77
2011,IC_GEN_MGTN_19ICLS,Belgium,Female,30.45
2012,IC_GEN_MGTN_19ICLS,Belgium,Female,31.67
2013,IC_GEN_MGTN_19ICLS,Belgium,Female,30.75
2014,IC_GEN_MGTN_19ICLS,Belgium,Female,31.3
2015,IC_GEN_MGTN_19ICLS,Belgium,Female,31.04
2016,IC_GEN_MGTN_19ICLS,Belgium,Female,31.98
2017,IC_GEN_MGTN_19ICLS,Belgium,Female,32.94
2018,IC_GEN_MGTN_19ICLS,Belgium,Female,32.87
2019,IC_GEN_MGTN_19ICLS,Belgium,Female,35.07
2020,IC_GEN_MGTN_19ICLS,Belgium,Female,36.45
2021,IC_GEN_MGTN_19ICLS,Belgium,Female,34.45
2021,IC_GEN_MGTN_19ICLS,Bosnia and Herzegovina,Female,20.17
2000,IC_GEN_MGTN_19ICLS,Bulgaria,Female,37.46
2001,IC_GEN_MGTN_19ICLS,Bulgaria,Female,40.52
2002,IC_GEN_MGTN_19ICLS,Bulgaria,Female,42.31
