Year,SeriesCode,Country,Value
2022,SH_LGR_ACSRHEC5,Albania,100
2022,SH_LGR_ACSRHEC5,Australia,100
2022,SH_LGR_ACSRHEC5,Austria,100
2019,SH_LGR_ACSRHEC5,Armenia,80
2019,SH_LGR_ACSRHEC5,Belgium,100
2022,SH_LGR_ACSRHEC5,Bosnia and Herzegovina,0
2022,SH_LGR_ACSRHEC5,Bulgaria,60
2022,SH_LGR_ACSRHEC5,Belarus,80
2022,SH_LGR_ACSRHEC5,Canada,0
2022,SH_LGR_ACSRHEC5,Chile,100
2022,SH_LGR_ACSRHEC5,China,100
2022,SH_LGR_ACSRHEC5,Colombia,100
2022,SH_LGR_ACSRHEC5,Costa Rica,100
2022,SH_LGR_ACSRHEC5,Croatia,100
2022,SH_LGR_ACSRHEC5,Cyprus,0
2022,SH_LGR_ACSRHEC5,Czechia,60
2022,SH_LGR_ACSRHEC5,Denmark,80
2022,SH_LGR_ACSRHEC5,Estonia,100
2022,SH_LGR_ACSRHEC5,Finland,100
2022,SH_LGR_ACSRHEC5,Georgia,100
2022,SH_LGR_ACSRHEC5,Germany,80
2022,SH_LGR_ACSRHEC5,Greece,100
2022,SH_LGR_ACSRHEC5,Hungary,100
2022,SH_LGR_ACSRHEC5,India,100
2022,SH_LGR_ACSRHEC5,Japan,100
2022,SH_LGR_ACSRHEC5,Kazakhstan,80
2019,SH_LGR_ACSRHEC5,Kyrgyzstan,60
2019,SH_LGR_ACSRHEC5,Latvia,0
2022,SH_LGR_ACSRHEC5,Lithuania,80
2019,SH_LGR_ACSRHEC5,Malta,100
2022,SH_LGR_ACSRHEC5,Mexico,100
2019,SH_LGR_ACSRHEC5,Moldova,100
2019,SH_LGR_ACSRHEC5,Montenegro,60
2022,SH_LGR_ACSRHEC5,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHEC5,New Zealand,100
2022,SH_LGR_ACSRHEC5,Norway,100
2022,SH_LGR_ACSRHEC5,Poland,80
2022,SH_LGR_ACSRHEC5,Portugal,100
2022,SH_LGR_ACSRHEC5,Romania,100
2022,SH_LGR_ACSRHEC5,Serbia,100
2022,SH_LGR_ACSRHEC5,Slovakia,60
2019,SH_LGR_ACSRHEC5,Viet Nam,80
2022,SH_LGR_ACSRHEC5,Slovenia,100
2019,SH_LGR_ACSRHEC5,Sweden,100
2019,SH_LGR_ACSRHEC5,Switzerland,100
2022,SH_LGR_ACSRHEC5,United Arab Emirates,100
2022,SH_LGR_ACSRHEC5,Türkiye,100
2022,SH_LGR_ACSRHEC5,Turkmenistan,100
2022,SH_LGR_ACSRHEC5,Ukraine,100
2022,SH_LGR_ACSRHEC5,North Macedonia,100
2022,SH_LGR_ACSRHEC5,United Kingdom of Great Britain and Northern Ireland,100
2022,SH_LGR_ACSRHEC5,Uzbekistan,100
2022,SH_LGR_ACSRHEC5,Uzbekistan,100
