Year,SeriesCode,Country,Value
2022,SH_LGR_ACSRHES1,Albania,86
2019,SH_LGR_ACSRHES1,Armenia,94
2022,SH_LGR_ACSRHES1,Bosnia and Herzegovina,76
2022,SH_LGR_ACSRHES1,Bulgaria,90
2022,SH_LGR_ACSRHES1,Belarus,86
2022,SH_LGR_ACSRHES1,China,84
2022,SH_LGR_ACSRHES1,Colombia,86
2022,SH_LGR_ACSRHES1,Costa Rica,79
2022,SH_LGR_ACSRHES1,Croatia,98
2022,SH_LGR_ACSRHES1,Cyprus,59
2022,SH_LGR_ACSRHES1,Czechia,94
2022,SH_LGR_ACSRHES1,Denmark,86
2022,SH_LGR_ACSRHES1,Estonia,94
2022,SH_LGR_ACSRHES1,Finland,94
2022,SH_LGR_ACSRHES1,Georgia,90
2022,SH_LGR_ACSRHES1,Germany,69
2022,SH_LGR_ACSRHES1,Greece,59
2022,SH_LGR_ACSRHES1,Hungary,81
2022,SH_LGR_ACSRHES1,India,90
2022,SH_LGR_ACSRHES1,Japan,51
2022,SH_LGR_ACSRHES1,Kazakhstan,77
2019,SH_LGR_ACSRHES1,Kyrgyzstan,73
2019,SH_LGR_ACSRHES1,Latvia,51
2022,SH_LGR_ACSRHES1,Lithuania,94
2022,SH_LGR_ACSRHES1,Mexico,69
2019,SH_LGR_ACSRHES1,Moldova,88
2019,SH_LGR_ACSRHES1,Montenegro,81
2022,SH_LGR_ACSRHES1,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHES1,New Zealand,84
2022,SH_LGR_ACSRHES1,Norway,100
2022,SH_LGR_ACSRHES1,Poland,81
2022,SH_LGR_ACSRHES1,Portugal,88
2022,SH_LGR_ACSRHES1,Romania,94
2022,SH_LGR_ACSRHES1,Serbia,96
2022,SH_LGR_ACSRHES1,Slovakia,70
2019,SH_LGR_ACSRHES1,Viet Nam,38
2022,SH_LGR_ACSRHES1,Slovenia,90
2019,SH_LGR_ACSRHES1,Sweden,100
2019,SH_LGR_ACSRHES1,Switzerland,81
2022,SH_LGR_ACSRHES1,United Arab Emirates,79
2022,SH_LGR_ACSRHES1,Türkiye,75
2022,SH_LGR_ACSRHES1,Turkmenistan,86
2022,SH_LGR_ACSRHES1,Ukraine,88
2022,SH_LGR_ACSRHES1,United Kingdom of Great Britain and Northern Ireland,88
2022,SH_LGR_ACSRHES1,Uzbekistan,86
2022,SH_LGR_ACSRHES1,Uzbekistan,86
