Year,SeriesCode,Country,Value
2018,SG_GEN_EQPWN,Albania,1
2021,SG_GEN_EQPWN,Albania,2
2018,SG_GEN_EQPWN,Azerbaijan,0
2021,SG_GEN_EQPWN,Austria,2
2018,SG_GEN_EQPWN,Armenia,1
2021,SG_GEN_EQPWN,Armenia,2
2021,SG_GEN_EQPWN,Belgium,2
2018,SG_GEN_EQPWN,Bosnia and Herzegovina,1
2021,SG_GEN_EQPWN,Bosnia and Herzegovina,1
2018,SG_GEN_EQPWN,Belarus,1
2021,SG_GEN_EQPWN,Chile,1
2021,SG_GEN_EQPWN,Colombia,1
2018,SG_GEN_EQPWN,Costa Rica,1
2021,SG_GEN_EQPWN,Czechia,1
2021,SG_GEN_EQPWN,Finland,1
2018,SG_GEN_EQPWN,Georgia,1
2021,SG_GEN_EQPWN,Georgia,1
2021,SG_GEN_EQPWN,Germany,1
2021,SG_GEN_EQPWN,Greece,1
2021,SG_GEN_EQPWN,Iceland,2
2021,SG_GEN_EQPWN,India,2
2021,SG_GEN_EQPWN,Ireland,1
2021,SG_GEN_EQPWN,Italy,1
2021,SG_GEN_EQPWN,Lithuania,1
2021,SG_GEN_EQPWN,Luxembourg,1
2018,SG_GEN_EQPWN,Moldova,1
2021,SG_GEN_EQPWN,Moldova,1
2018,SG_GEN_EQPWN,Montenegro,0
2021,SG_GEN_EQPWN,Netherlands (Kingdom of the),1
2021,SG_GEN_EQPWN,Portugal,2
2021,SG_GEN_EQPWN,Serbia,2
2018,SG_GEN_EQPWN,Viet Nam,2
2021,SG_GEN_EQPWN,Spain,1
2021,SG_GEN_EQPWN,Switzerland,1
2021,SG_GEN_EQPWN,Ukraine,2
2021,SG_GEN_EQPWN,Uzbekistan,1
2021,SG_GEN_EQPWN,North Macedonia,1
2021,SG_GEN_EQPWN,North Macedonia,1
