Year,SeriesCode,Country,Location,Value
2000,SH_SAN_SAFE,Chile,All areas,66.54897
2000,SH_SAN_SAFE,Chile,Urban,70.11825
2001,SH_SAN_SAFE,Chile,Urban,70.31994
2001,SH_SAN_SAFE,Chile,All areas,66.90661
2002,SH_SAN_SAFE,Chile,All areas,67.2493
2002,SH_SAN_SAFE,Chile,Urban,70.52163
2003,SH_SAN_SAFE,Chile,Urban,70.72332
2003,SH_SAN_SAFE,Chile,All areas,67.54523
2004,SH_SAN_SAFE,Chile,Urban,72.8567
2004,SH_SAN_SAFE,Chile,All areas,69.61293
2005,SH_SAN_SAFE,Chile,All areas,71.69609
2005,SH_SAN_SAFE,Chile,Urban,75.00338
2006,SH_SAN_SAFE,Chile,All areas,73.79542
2006,SH_SAN_SAFE,Chile,Urban,77.16337
2007,SH_SAN_SAFE,Chile,All areas,75.91038
2007,SH_SAN_SAFE,Chile,Urban,79.33666
2008,SH_SAN_SAFE,Chile,All areas,78.04147
2008,SH_SAN_SAFE,Chile,Urban,81.52325
2009,SH_SAN_SAFE,Chile,Urban,83.72314
2009,SH_SAN_SAFE,Chile,All areas,80.18813
2000,SH_SAN_SAFE,Japan,All areas,96.40438
2001,SH_SAN_SAFE,Japan,All areas,96.55231
2002,SH_SAN_SAFE,Japan,All areas,96.69403
2003,SH_SAN_SAFE,Japan,All areas,96.83196
2004,SH_SAN_SAFE,Japan,All areas,96.96611
2005,SH_SAN_SAFE,Japan,All areas,97.09648
2006,SH_SAN_SAFE,Japan,All areas,97.22307
2007,SH_SAN_SAFE,Japan,All areas,97.39781
2008,SH_SAN_SAFE,Japan,All areas,97.56735
2009,SH_SAN_SAFE,Japan,All areas,97.73166
2010,SH_SAN_SAFE,Chile,Urban,85.93634
2010,SH_SAN_SAFE,Chile,All areas,82.35033
2011,SH_SAN_SAFE,Chile,Urban,88.16284
2011,SH_SAN_SAFE,Chile,All areas,84.52857
2012,SH_SAN_SAFE,Chile,All areas,86.7223
2012,SH_SAN_SAFE,Chile,Urban,90.40265
2013,SH_SAN_SAFE,Chile,All areas,88.93174
2013,SH_SAN_SAFE,Chile,Urban,92.65576
2014,SH_SAN_SAFE,Chile,Urban,94.92217
2014,SH_SAN_SAFE,Chile,All areas,91.15688
