Year,SeriesCode,Country,Value
2006,EN_LKRV_SWAC,Albania,-2.82799
2007,EN_LKRV_SWAC,Albania,2.0549
2008,EN_LKRV_SWAC,Albania,6.05733
2009,EN_LKRV_SWAC,Albania,3.1827
2010,EN_LKRV_SWAC,Albania,3.09724
2011,EN_LKRV_SWAC,Albania,9.9327
2012,EN_LKRV_SWAC,Albania,9.30351
2013,EN_LKRV_SWAC,Albania,8.74844
2014,EN_LKRV_SWAC,Albania,11.56631
2015,EN_LKRV_SWAC,Albania,11.71622
2016,EN_LKRV_SWAC,Albania,11.59295
2017,EN_LKRV_SWAC,Albania,15.23244
2006,EN_LKRV_SWAC,New Zealand,3.75028
2007,EN_LKRV_SWAC,New Zealand,10.26108
2008,EN_LKRV_SWAC,New Zealand,11.48208
2009,EN_LKRV_SWAC,New Zealand,10.87226
2010,EN_LKRV_SWAC,New Zealand,8.20227
2011,EN_LKRV_SWAC,New Zealand,6.79952
2012,EN_LKRV_SWAC,New Zealand,2.06308
2013,EN_LKRV_SWAC,New Zealand,-1.64072
2014,EN_LKRV_SWAC,New Zealand,1.62038
2015,EN_LKRV_SWAC,New Zealand,7.69558
2016,EN_LKRV_SWAC,New Zealand,15.40655
2017,EN_LKRV_SWAC,New Zealand,15.52727
2018,EN_LKRV_SWAC,New Zealand,19.43192
2019,EN_LKRV_SWAC,New Zealand,17.07861
2020,EN_LKRV_SWAC,New Zealand,15.12556
2021,EN_LKRV_SWAC,New Zealand,9.84243
2022,EN_LKRV_SWAC,New Zealand,16.50135
2006,EN_LKRV_SWAC,Norway,0.09779
2007,EN_LKRV_SWAC,Norway,4.158
2008,EN_LKRV_SWAC,Norway,-1.56907
2009,EN_LKRV_SWAC,Norway,-3.95378
2010,EN_LKRV_SWAC,Norway,-6.34968
2011,EN_LKRV_SWAC,Norway,-9.84946
2012,EN_LKRV_SWAC,Norway,-11.13211
2018,EN_LKRV_SWAC,Albania,20.69351
2019,EN_LKRV_SWAC,Albania,23.08673
2020,EN_LKRV_SWAC,Albania,24.5722
2021,EN_LKRV_SWAC,Albania,29.53622
2022,EN_LKRV_SWAC,Albania,33.74003
2006,EN_LKRV_SWAC,Azerbaijan,-4.84668
2007,EN_LKRV_SWAC,Azerbaijan,4.20793
2008,EN_LKRV_SWAC,Azerbaijan,15.69177
2009,EN_LKRV_SWAC,Azerbaijan,18.62751
2010,EN_LKRV_SWAC,Azerbaijan,19.51319
2011,EN_LKRV_SWAC,Azerbaijan,32.16004
2012,EN_LKRV_SWAC,Azerbaijan,33.62563
2013,EN_LKRV_SWAC,Azerbaijan,31.00789
2014,EN_LKRV_SWAC,Azerbaijan,32.99135
2015,EN_LKRV_SWAC,Azerbaijan,39.13281
2016,EN_LKRV_SWAC,Azerbaijan,33.25616
2017,EN_LKRV_SWAC,Azerbaijan,26.43414
2018,EN_LKRV_SWAC,Azerbaijan,30.10187
2019,EN_LKRV_SWAC,Azerbaijan,24.88806
2020,EN_LKRV_SWAC,Azerbaijan,21.31276
2021,EN_LKRV_SWAC,Azerbaijan,15.12768
2022,EN_LKRV_SWAC,Azerbaijan,18.97342
2006,EN_LKRV_SWAC,Australia,-9.70228
2007,EN_LKRV_SWAC,Australia,-14.96118
2008,EN_LKRV_SWAC,Australia,-7.87142
2009,EN_LKRV_SWAC,Australia,-9.10414
2010,EN_LKRV_SWAC,Australia,-8.99713
2011,EN_LKRV_SWAC,Australia,0.63541
2012,EN_LKRV_SWAC,Australia,11.13793
2013,EN_LKRV_SWAC,Australia,9.8869
2014,EN_LKRV_SWAC,Australia,7.41913
2015,EN_LKRV_SWAC,Australia,3.54191
2016,EN_LKRV_SWAC,Australia,-5.43166
2017,EN_LKRV_SWAC,Australia,-10.73223
2018,EN_LKRV_SWAC,Australia,-8.05527
2019,EN_LKRV_SWAC,Australia,-6.22053
2013,EN_LKRV_SWAC,Norway,-16.34175
2014,EN_LKRV_SWAC,Norway,-3.93653
2015,EN_LKRV_SWAC,Norway,-0.9049
2016,EN_LKRV_SWAC,Norway,7.58116
2017,EN_LKRV_SWAC,Norway,23.76757
2018,EN_LKRV_SWAC,Norway,48.19488
2019,EN_LKRV_SWAC,Norway,64.51559
2020,EN_LKRV_SWAC,Norway,81.52637
2021,EN_LKRV_SWAC,Norway,108.00155
2022,EN_LKRV_SWAC,Norway,132.94417
2006,EN_LKRV_SWAC,Poland,3.87907
2007,EN_LKRV_SWAC,Poland,8.5052
2020,EN_LKRV_SWAC,Australia,-9.60879
2021,EN_LKRV_SWAC,Australia,-5.95619
2022,EN_LKRV_SWAC,Australia,-10.20981
2006,EN_LKRV_SWAC,Austria,3.1738
2007,EN_LKRV_SWAC,Austria,8.89701
2008,EN_LKRV_SWAC,Austria,15.53474
2009,EN_LKRV_SWAC,Austria,8.02755
2010,EN_LKRV_SWAC,Austria,11.3864
2011,EN_LKRV_SWAC,Austria,12.26243
2012,EN_LKRV_SWAC,Austria,14.12889
2013,EN_LKRV_SWAC,Austria,13.71407
2014,EN_LKRV_SWAC,Austria,23.38029
2015,EN_LKRV_SWAC,Austria,23.93651
2016,EN_LKRV_SWAC,Austria,27.70076
2017,EN_LKRV_SWAC,Austria,31.45065
2018,EN_LKRV_SWAC,Austria,36.35449
2019,EN_LKRV_SWAC,Austria,39.8013
2020,EN_LKRV_SWAC,Austria,46.37218
2021,EN_LKRV_SWAC,Austria,51.56509
2022,EN_LKRV_SWAC,Austria,57.74253
2006,EN_LKRV_SWAC,Armenia,-0.70508
2007,EN_LKRV_SWAC,Armenia,9.80269
2008,EN_LKRV_SWAC,Armenia,18.80675
2009,EN_LKRV_SWAC,Armenia,27.93521
2008,EN_LKRV_SWAC,Poland,9.51531
2009,EN_LKRV_SWAC,Poland,4.23382
2010,EN_LKRV_SWAC,Poland,5.31656
2011,EN_LKRV_SWAC,Poland,3.23748
2012,EN_LKRV_SWAC,Poland,4.62604
2013,EN_LKRV_SWAC,Poland,2.84789
2014,EN_LKRV_SWAC,Poland,10.76215
2015,EN_LKRV_SWAC,Poland,11.74109
2016,EN_LKRV_SWAC,Poland,13.01398
2017,EN_LKRV_SWAC,Poland,16.67493
2018,EN_LKRV_SWAC,Poland,24.2549
2019,EN_LKRV_SWAC,Poland,29.29061
2010,EN_LKRV_SWAC,Armenia,29.43614
2011,EN_LKRV_SWAC,Armenia,32.63118
2012,EN_LKRV_SWAC,Armenia,29.91242
2013,EN_LKRV_SWAC,Armenia,27.06914
2014,EN_LKRV_SWAC,Armenia,27.27021
2015,EN_LKRV_SWAC,Armenia,27.84747
2016,EN_LKRV_SWAC,Armenia,28.08725
2017,EN_LKRV_SWAC,Armenia,34.49634
2018,EN_LKRV_SWAC,Armenia,37.03299
