Year,Country,Location,Value
2000,Austria,URBAN,100.0
2000,Austria,ALLAREA,100.0
2000,Austria,RURAL,100.0
2001,Austria,RURAL,100.0
2001,Austria,URBAN,100.0
2001,Austria,ALLAREA,100.0
2002,Austria,ALLAREA,100.0
2002,Austria,URBAN,100.0
2002,Austria,RURAL,100.0
2003,Austria,URBAN,100.0
2003,Austria,ALLAREA,100.0
2003,Austria,RURAL,100.0
2004,Austria,ALLAREA,100.0
2004,Austria,URBAN,100.0
2004,Austria,RURAL,100.0
2005,Austria,RURAL,100.0
2005,Austria,URBAN,100.0
2005,Austria,ALLAREA,100.0
2006,Austria,ALLAREA,100.0
2006,Austria,URBAN,100.0
2006,Austria,RURAL,100.0
2007,Austria,RURAL,100.0
2007,Austria,URBAN,100.0
2007,Austria,ALLAREA,100.0
2008,Austria,ALLAREA,100.0
2008,Austria,URBAN,100.0
2008,Austria,RURAL,100.0
2009,Austria,RURAL,100.0
2009,Austria,URBAN,100.0
2009,Austria,ALLAREA,100.0
2010,Austria,URBAN,100.0
2010,Austria,RURAL,100.0
2010,Austria,ALLAREA,100.0
2011,Austria,ALLAREA,100.0
2011,Austria,RURAL,100.0
2011,Austria,URBAN,100.0
2012,Austria,URBAN,100.0
2012,Austria,RURAL,100.0
2012,Austria,ALLAREA,100.0
2000,Czechia,ALLAREA,100.0
2000,Czechia,URBAN,100.0
2000,Czechia,RURAL,100.0
2001,Czechia,URBAN,100.0
2001,Czechia,RURAL,100.0
2001,Czechia,ALLAREA,100.0
2002,Czechia,ALLAREA,100.0
2002,Czechia,RURAL,100.0
2002,Czechia,URBAN,100.0
2003,Czechia,URBAN,99.9
2003,Czechia,RURAL,100.0
2003,Czechia,ALLAREA,100.0
2004,Czechia,RURAL,100.0
2013,Austria,ALLAREA,100.0
2013,Austria,RURAL,100.0
2013,Austria,URBAN,100.0
2014,Austria,URBAN,100.0
2014,Austria,ALLAREA,100.0
2014,Austria,RURAL,100.0
2015,Austria,RURAL,100.0
2015,Austria,URBAN,100.0
2015,Austria,ALLAREA,100.0
2016,Austria,RURAL,100.0
2016,Austria,ALLAREA,100.0
2016,Austria,URBAN,100.0
2017,Austria,RURAL,100.0
2017,Austria,URBAN,100.0
2017,Austria,ALLAREA,100.0
2018,Austria,ALLAREA,100.0
2018,Austria,URBAN,100.0
2018,Austria,RURAL,100.0
2019,Austria,RURAL,100.0
2019,Austria,ALLAREA,100.0
2019,Austria,URBAN,100.0
2020,Austria,ALLAREA,100.0
2020,Austria,URBAN,100.0
2020,Austria,RURAL,100.0
2021,Austria,URBAN,100.0
2021,Austria,RURAL,100.0
2004,Czechia,URBAN,99.9
2004,Czechia,ALLAREA,100.0
2005,Czechia,URBAN,99.8
2005,Czechia,RURAL,100.0
2005,Czechia,ALLAREA,100.0
2006,Czechia,ALLAREA,100.0
2006,Czechia,RURAL,100.0
2006,Czechia,URBAN,100.0
2007,Czechia,URBAN,100.0
2007,Czechia,RURAL,100.0
2007,Czechia,ALLAREA,100.0
2008,Czechia,RURAL,100.0
2008,Czechia,URBAN,100.0
2000,Kyrgyzstan,ALLAREA,99.6
2000,Kyrgyzstan,URBAN,99.7
2000,Kyrgyzstan,RURAL,99.5
2001,Kyrgyzstan,RURAL,99.5
2001,Kyrgyzstan,URBAN,99.6
2001,Kyrgyzstan,ALLAREA,99.5
2002,Kyrgyzstan,ALLAREA,100.0
2002,Kyrgyzstan,URBAN,100.0
2002,Kyrgyzstan,RURAL,100.0
2003,Kyrgyzstan,URBAN,99.4
2003,Kyrgyzstan,RURAL,99.4
2003,Kyrgyzstan,ALLAREA,99.4
