Year,SeriesCode,Country,Location,Value
2000,EG_EGY_CLEAN,Albania,All areas,39
2000,EG_EGY_CLEAN,Albania,Rural,19
2000,EG_EGY_CLEAN,Albania,Urban,67
2001,EG_EGY_CLEAN,Albania,All areas,41
2001,EG_EGY_CLEAN,Albania,Rural,20
2001,EG_EGY_CLEAN,Albania,Urban,69
2002,EG_EGY_CLEAN,Albania,All areas,44
2002,EG_EGY_CLEAN,Albania,Rural,23
2002,EG_EGY_CLEAN,Albania,Urban,71
2003,EG_EGY_CLEAN,Albania,All areas,46
2003,EG_EGY_CLEAN,Albania,Rural,25
2003,EG_EGY_CLEAN,Albania,Urban,74
2004,EG_EGY_CLEAN,Albania,All areas,49
2004,EG_EGY_CLEAN,Albania,Rural,27
2004,EG_EGY_CLEAN,Albania,Urban,76
2005,EG_EGY_CLEAN,Albania,All areas,52
2005,EG_EGY_CLEAN,Albania,Rural,30
2005,EG_EGY_CLEAN,Albania,Urban,78
2006,EG_EGY_CLEAN,Albania,All areas,55
2006,EG_EGY_CLEAN,Albania,Rural,32
2006,EG_EGY_CLEAN,Albania,Urban,80
2007,EG_EGY_CLEAN,Albania,Rural,36
2007,EG_EGY_CLEAN,Albania,All areas,58
2007,EG_EGY_CLEAN,Albania,Urban,82
2008,EG_EGY_CLEAN,Albania,All areas,61
2008,EG_EGY_CLEAN,Albania,Rural,38
2008,EG_EGY_CLEAN,Albania,Urban,83
2009,EG_EGY_CLEAN,Albania,All areas,63
2009,EG_EGY_CLEAN,Albania,Rural,41
2009,EG_EGY_CLEAN,Albania,Urban,85
2010,EG_EGY_CLEAN,Albania,Rural,44
2010,EG_EGY_CLEAN,Albania,All areas,66
2010,EG_EGY_CLEAN,Albania,Urban,86
2011,EG_EGY_CLEAN,Albania,All areas,68
2011,EG_EGY_CLEAN,Albania,Rural,47
2011,EG_EGY_CLEAN,Albania,Urban,87
2012,EG_EGY_CLEAN,Albania,All areas,70
2012,EG_EGY_CLEAN,Albania,Rural,50
2012,EG_EGY_CLEAN,Albania,Urban,88
2013,EG_EGY_CLEAN,Albania,Rural,52
2013,EG_EGY_CLEAN,Albania,All areas,72
2013,EG_EGY_CLEAN,Albania,Urban,89
2014,EG_EGY_CLEAN,Albania,All areas,74
2014,EG_EGY_CLEAN,Albania,Rural,55
2014,EG_EGY_CLEAN,Albania,Urban,90
2015,EG_EGY_CLEAN,Albania,All areas,76
2015,EG_EGY_CLEAN,Albania,Rural,57
2015,EG_EGY_CLEAN,Albania,Urban,91
2016,EG_EGY_CLEAN,Albania,All areas,78
2016,EG_EGY_CLEAN,Albania,Rural,59
2016,EG_EGY_CLEAN,Albania,Urban,91
2017,EG_EGY_CLEAN,Albania,All areas,79
2017,EG_EGY_CLEAN,Albania,Rural,61
2017,EG_EGY_CLEAN,Albania,Urban,92
2018,EG_EGY_CLEAN,Albania,All areas,80
2018,EG_EGY_CLEAN,Albania,Rural,63
2018,EG_EGY_CLEAN,Albania,Urban,92
2019,EG_EGY_CLEAN,Albania,All areas,82
