Year,SeriesCode,Country,Activity,Sex,Value
2012,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Female,7.02
2012,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Both sexes,5.7
2012,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,5.88
2012,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,9.87
2012,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Male,4.66
2012,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,7.28
2012,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Male,7.19
2012,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Male,4.77
2012,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Female,13.39
2013,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Male,7.35
2013,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Male,5.52
2013,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Both sexes,6.62
2013,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,8.23
2013,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,9.64
2013,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,6.76
2013,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Female,13.17
2013,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Male,5.61
2013,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Female,8.02
2014,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Male,1.46
2014,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Male,1.95
2014,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Male,12.17
2014,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Female,8.78
2014,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,10.79
2014,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Both sexes,2.27
2014,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Female,3.29
2014,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,3.51
2014,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,2.64
2015,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Both sexes,3.79
2015,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Male,4.04
2015,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Male,3.74
2015,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Male,10.35
2015,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Female,15.03
2015,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,12.23
2015,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,4.14
2015,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Female,3.85
2015,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,4.27
2016,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,6.39
2016,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,4.82
2016,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Male,3.33
2016,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,17.18
