Year,SeriesCode,Country,Disability status,Sex,Value
2021,SL_TLF_UEMDIS_19ICLS,Denmark,Persons without disability,Female,8.52
2021,SL_TLF_UEMDIS_19ICLS,Denmark,Total or no breakdown,Female,9.09
2021,SL_TLF_UEMDIS_19ICLS,Denmark,Persons with disability,Male,28.12
2021,SL_TLF_UEMDIS_19ICLS,Denmark,Persons without disability,Male,7.6
2021,SL_TLF_UEMDIS_19ICLS,Denmark,Persons without disability,Both sexes,8.04
2021,SL_TLF_UEMDIS_19ICLS,Denmark,Persons with disability,Female,33.11
2021,SL_TLF_UEMDIS_19ICLS,Denmark,Total or no breakdown,Male,8.03
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,8.59
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,11.24
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,8.29
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,34.86
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,17.24
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,13.8
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,13.19
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,25.5
2004,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,10.79
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,26.37
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,7.4
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,9.27
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,21.98
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,11.06
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,7.1
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,8.88
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,17.47
