Year,Poverty line,Country,Value
2001,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,12.8
2001,$3.65 a day (2017 PPP) LMIC,Kazakhstan,37.6
2001,$6.85 a day (2017 PPP) UMIC,Kazakhstan,74.5
2002,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,8.9
2002,$3.65 a day (2017 PPP) LMIC,Kazakhstan,33.4
2002,$6.85 a day (2017 PPP) UMIC,Kazakhstan,72.3
2003,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,6.2
2003,$3.65 a day (2017 PPP) LMIC,Kazakhstan,28.0
2003,$6.85 a day (2017 PPP) UMIC,Kazakhstan,67.6
2004,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,3.3
2004,$3.65 a day (2017 PPP) LMIC,Kazakhstan,21.6
2004,$6.85 a day (2017 PPP) UMIC,Kazakhstan,64.3
2005,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,8.7
2005,$3.65 a day (2017 PPP) LMIC,Kazakhstan,28.4
2005,$6.85 a day (2017 PPP) UMIC,Kazakhstan,61.5
2006,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,1.0
2006,$3.65 a day (2017 PPP) LMIC,Kazakhstan,8.4
2006,$6.85 a day (2017 PPP) UMIC,Kazakhstan,50.8
2007,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.4
2007,$3.65 a day (2017 PPP) LMIC,Kazakhstan,4.5
2007,$6.85 a day (2017 PPP) UMIC,Kazakhstan,38.0
2008,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.2
2008,$3.65 a day (2017 PPP) LMIC,Kazakhstan,3.4
2008,$6.85 a day (2017 PPP) UMIC,Kazakhstan,36.7
2009,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.2
2009,$3.65 a day (2017 PPP) LMIC,Kazakhstan,4.0
2009,$6.85 a day (2017 PPP) UMIC,Kazakhstan,37.6
2010,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.2
2010,$3.65 a day (2017 PPP) LMIC,Kazakhstan,2.9
2010,$6.85 a day (2017 PPP) UMIC,Kazakhstan,32.0
2011,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.1
2011,$3.65 a day (2017 PPP) LMIC,Kazakhstan,1.1
2011,$6.85 a day (2017 PPP) UMIC,Kazakhstan,19.2
2012,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.0
2012,$3.65 a day (2017 PPP) LMIC,Kazakhstan,0.9
2012,$6.85 a day (2017 PPP) UMIC,Kazakhstan,19.0
2013,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.0
2013,$3.65 a day (2017 PPP) LMIC,Kazakhstan,0.4
2013,$6.85 a day (2017 PPP) UMIC,Kazakhstan,13.7
2014,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.0
2014,$3.65 a day (2017 PPP) LMIC,Kazakhstan,0.5
2014,$6.85 a day (2017 PPP) UMIC,Kazakhstan,14.8
2015,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.0
2015,$3.65 a day (2017 PPP) LMIC,Kazakhstan,0.7
2015,$6.85 a day (2017 PPP) UMIC,Kazakhstan,17.2
2016,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.1
2016,$3.65 a day (2017 PPP) LMIC,Kazakhstan,1.3
2016,$6.85 a day (2017 PPP) UMIC,Kazakhstan,23.8
2017,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.0
2017,$3.65 a day (2017 PPP) LMIC,Kazakhstan,0.7
2017,$6.85 a day (2017 PPP) UMIC,Kazakhstan,18.8
2018,$2.15 a day (2017 PPP) dollar-a-day,Kazakhstan,0.0
2018,$3.65 a day (2017 PPP) LMIC,Kazakhstan,0.5
2018,$6.85 a day (2017 PPP) UMIC,Kazakhstan,14.3
2000,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,38.2
2000,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,75.7
2000,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,95.2
2001,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,33.4
2001,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,71.5
2001,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,95.0
2002,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,31.1
2002,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,69.7
2002,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,94.6
2003,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,25.7
2003,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,67.5
2003,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,94.1
2004,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,11.6
2004,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,44.2
2004,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,80.0
2005,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,13.6
2005,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,49.7
2005,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,84.7
2006,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,8.4
2006,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,37.0
2006,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,72.9
2007,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,8.8
2007,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,33.6
2007,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,74.2
2008,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,3.3
2008,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,22.7
2008,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,67.6
2009,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,1.5
2009,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,18.7
2009,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,67.6
2010,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,3.5
2010,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,21.4
2010,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,70.5
2011,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,1.3
2011,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,19.3
2011,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,70.6
2012,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,2.6
2012,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,20.0
2012,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,73.3
2013,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,2.6
2013,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,24.1
2013,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,73.3
2014,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,1.0
2014,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,17.6
2014,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,70.8
2015,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,2.2
2015,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,21.1
2015,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,73.8
2016,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,1.1
2016,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,17.0
2016,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,71.3
2017,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,1.3
2017,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,17.3
2017,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,70.3
2018,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,0.7
2018,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,13.2
2018,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,66.1
2019,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,0.7
2019,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,11.7
2019,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,63.7
2020,$2.15 a day (2017 PPP) dollar-a-day,Kyrgyzstan,1.3
2020,$3.65 a day (2017 PPP) LMIC,Kyrgyzstan,18.7
2020,$6.85 a day (2017 PPP) UMIC,Kyrgyzstan,67.6
1999,$2.15 a day (2017 PPP) dollar-a-day,Tajikistan,62.0
1999,$3.65 a day (2017 PPP) LMIC,Tajikistan,90.4
1999,$6.85 a day (2017 PPP) UMIC,Tajikistan,99.2
2003,$2.15 a day (2017 PPP) dollar-a-day,Tajikistan,36.7
2003,$3.65 a day (2017 PPP) LMIC,Tajikistan,72.7
2003,$6.85 a day (2017 PPP) UMIC,Tajikistan,94.8
2004,$2.15 a day (2017 PPP) dollar-a-day,Tajikistan,21.4
2004,$3.65 a day (2017 PPP) LMIC,Tajikistan,55.0
2004,$6.85 a day (2017 PPP) UMIC,Tajikistan,87.7
2007,$2.15 a day (2017 PPP) dollar-a-day,Tajikistan,12.8
2007,$3.65 a day (2017 PPP) LMIC,Tajikistan,42.7
2007,$6.85 a day (2017 PPP) UMIC,Tajikistan,85.0
2009,$2.15 a day (2017 PPP) dollar-a-day,Tajikistan,6.8
2009,$3.65 a day (2017 PPP) LMIC,Tajikistan,32.0
2009,$6.85 a day (2017 PPP) UMIC,Tajikistan,76.3
2015,$2.15 a day (2017 PPP) dollar-a-day,Tajikistan,6.1
2015,$3.65 a day (2017 PPP) LMIC,Tajikistan,25.7
2015,$6.85 a day (2017 PPP) UMIC,Tajikistan,66.4
1998,$2.15 a day (2017 PPP) dollar-a-day,Turkmenistan,43.1
1998,$3.65 a day (2017 PPP) LMIC,Turkmenistan,71.1
1998,$6.85 a day (2017 PPP) UMIC,Turkmenistan,91.3
1998,$2.15 a day (2017 PPP) dollar-a-day,Uzbekistan,58.8
1998,$3.65 a day (2017 PPP) LMIC,Uzbekistan,82.3
1998,$6.85 a day (2017 PPP) UMIC,Uzbekistan,95.5
2000,$2.15 a day (2017 PPP) dollar-a-day,Uzbekistan,81.3
2000,$3.65 a day (2017 PPP) LMIC,Uzbekistan,94.7
2000,$6.85 a day (2017 PPP) UMIC,Uzbekistan,99.0
2002,$2.15 a day (2017 PPP) dollar-a-day,Uzbekistan,80.5
2002,$3.65 a day (2017 PPP) LMIC,Uzbekistan,94.2
2002,$6.85 a day (2017 PPP) UMIC,Uzbekistan,99.1
2003,$2.15 a day (2017 PPP) dollar-a-day,Uzbekistan,81.5
2003,$3.65 a day (2017 PPP) LMIC,Uzbekistan,94.6
2003,$6.85 a day (2017 PPP) UMIC,Uzbekistan,99.1
2002,$2.15 a day (2017 PPP) dollar-a-day,Albania,1.1
2002,$3.65 a day (2017 PPP) LMIC,Albania,11.4
2002,$6.85 a day (2017 PPP) UMIC,Albania,52.1
2005,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.6
2005,$3.65 a day (2017 PPP) LMIC,Albania,7.3
2005,$6.85 a day (2017 PPP) UMIC,Albania,40.4
2008,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.2
2008,$3.65 a day (2017 PPP) LMIC,Albania,3.9
2008,$6.85 a day (2017 PPP) UMIC,Albania,33.4
2012,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.6
2012,$3.65 a day (2017 PPP) LMIC,Albania,4.8
