Year,SeriesCode,Country,Sex,Value
2021,SI_COV_BENFTS,Albania,Both sexes,77.6
2016,SI_COV_BENFTS,Azerbaijan,Both sexes,40.3
2020,SI_COV_BENFTS,Azerbaijan,Both sexes,39.0
2016,SI_COV_BENFTS,Australia,Both sexes,82.0
2020,SI_COV_BENFTS,Australia,Both sexes,100.0
2020,SI_COV_BENFTS,Australia,Female,100.0
2020,SI_COV_BENFTS,Australia,Male,100.0
2016,SI_COV_BENFTS,Austria,Both sexes,98.6
2020,SI_COV_BENFTS,Austria,Both sexes,98.6
2016,SI_COV_BENFTS,Armenia,Both sexes,47.3
2020,SI_COV_BENFTS,Armenia,Both sexes,54.4
2016,SI_COV_BENFTS,Belgium,Both sexes,100.0
2020,SI_COV_BENFTS,Belgium,Male,100.0
2020,SI_COV_BENFTS,Belgium,Both sexes,100.0
2020,SI_COV_BENFTS,Belgium,Female,100.0
2020,SI_COV_BENFTS,Bosnia and Herzegovina,Both sexes,40.0
2016,SI_COV_BENFTS,Bulgaria,Both sexes,88.3
2020,SI_COV_BENFTS,Bulgaria,Both sexes,88.3
2020,SI_COV_BENFTS,Belarus,Both sexes,36.0
2016,SI_COV_BENFTS,Canada,Both sexes,99.8
2020,SI_COV_BENFTS,Canada,Both sexes,99.8
2017,SI_COV_BENFTS,Chile,Both sexes,69.2
2020,SI_COV_BENFTS,Chile,Both sexes,70.2
2021,SI_COV_BENFTS,Chile,Both sexes,83.0
2016,SI_COV_BENFTS,China,Both sexes,63.0
2017,SI_COV_BENFTS,China,Both sexes,67.4
2020,SI_COV_BENFTS,China,Both sexes,70.8
2017,SI_COV_BENFTS,Colombia,Both sexes,40.8
2020,SI_COV_BENFTS,Colombia,Both sexes,52.5
2021,SI_COV_BENFTS,Colombia,Both sexes,49.7
2017,SI_COV_BENFTS,Costa Rica,Both sexes,72.0
2020,SI_COV_BENFTS,Costa Rica,Both sexes,58.0
2021,SI_COV_BENFTS,Costa Rica,Both sexes,60.5
2020,SI_COV_BENFTS,Croatia,Both sexes,56.0
2016,SI_COV_BENFTS,Cyprus,Both sexes,61.2
2020,SI_COV_BENFTS,Cyprus,Both sexes,61.2
2016,SI_COV_BENFTS,Czechia,Both sexes,88.8
2020,SI_COV_BENFTS,Czechia,Both sexes,88.8
2016,SI_COV_BENFTS,Denmark,Both sexes,89.5
2020,SI_COV_BENFTS,Denmark,Both sexes,89.5
2016,SI_COV_BENFTS,Estonia,Both sexes,98.4
2020,SI_COV_BENFTS,Estonia,Both sexes,98.4
2016,SI_COV_BENFTS,Finland,Both sexes,100.0
2020,SI_COV_BENFTS,Finland,Female,100.0
2020,SI_COV_BENFTS,Finland,Both sexes,100.0
2020,SI_COV_BENFTS,Finland,Male,100.0
2016,SI_COV_BENFTS,France,Both sexes,100.0
2020,SI_COV_BENFTS,France,Female,100.0
2020,SI_COV_BENFTS,France,Both sexes,100.0
2020,SI_COV_BENFTS,France,Male,100.0
2016,SI_COV_BENFTS,Georgia,Both sexes,28.6
2020,SI_COV_BENFTS,Georgia,Both sexes,97.1
2016,SI_COV_BENFTS,Germany,Both sexes,99.5
2020,SI_COV_BENFTS,Germany,Both sexes,99.5
2020,SI_COV_BENFTS,Greece,Both sexes,64.0
2016,SI_COV_BENFTS,Hungary,Both sexes,86.2
2020,SI_COV_BENFTS,Hungary,Both sexes,86.2
2020,SI_COV_BENFTS,Iceland,Both sexes,81.0
2016,SI_COV_BENFTS,India,Both sexes,22.0
