Year,SeriesCode,Country,Quantile,Value
2008,SI_COV_LMKT,Albania,Quantile 1 (poorest),7.86586
2008,SI_COV_LMKT,Albania,Total or no breakdown,6.04202
2012,SI_COV_LMKT,Albania,Total or no breakdown,14.22281
2012,SI_COV_LMKT,Albania,Quantile 1 (poorest),17.03102
2015,SI_COV_LMKT,Azerbaijan,Quantile 1 (poorest),3.80956
2015,SI_COV_LMKT,Azerbaijan,Total or no breakdown,3.61394
2008,SI_COV_LMKT,Armenia,Total or no breakdown,2.94078
2008,SI_COV_LMKT,Armenia,Quantile 1 (poorest),2.7243
2009,SI_COV_LMKT,Armenia,Total or no breakdown,4.14208
2009,SI_COV_LMKT,Armenia,Quantile 1 (poorest),4.4735
2010,SI_COV_LMKT,Armenia,Quantile 1 (poorest),5.49662
2010,SI_COV_LMKT,Armenia,Total or no breakdown,6.29827
2011,SI_COV_LMKT,Armenia,Total or no breakdown,4.34558
2011,SI_COV_LMKT,Armenia,Quantile 1 (poorest),6.51984
2012,SI_COV_LMKT,Armenia,Total or no breakdown,3.32451
2012,SI_COV_LMKT,Armenia,Quantile 1 (poorest),2.99704
2013,SI_COV_LMKT,Armenia,Total or no breakdown,3.20584
2013,SI_COV_LMKT,Armenia,Quantile 1 (poorest),3.39142
2014,SI_COV_LMKT,Armenia,Total or no breakdown,0.8872
2014,SI_COV_LMKT,Armenia,Quantile 1 (poorest),0.78219
2007,SI_COV_LMKT,Bosnia and Herzegovina,Total or no breakdown,2.03118
2007,SI_COV_LMKT,Bosnia and Herzegovina,Quantile 1 (poorest),3.5248
2007,SI_COV_LMKT,Bulgaria,Quantile 1 (poorest),25.36885
2007,SI_COV_LMKT,Bulgaria,Total or no breakdown,13.33934
2008,SI_COV_LMKT,Belarus,Total or no breakdown,0.95735
2008,SI_COV_LMKT,Belarus,Quantile 1 (poorest),2.16785
2009,SI_COV_LMKT,Belarus,Total or no breakdown,1.16548
2009,SI_COV_LMKT,Belarus,Quantile 1 (poorest),2.33606
2010,SI_COV_LMKT,Belarus,Quantile 1 (poorest),2.27473
2010,SI_COV_LMKT,Belarus,Total or no breakdown,0.93436
2012,SI_COV_LMKT,Belarus,Quantile 1 (poorest),0.60336
2012,SI_COV_LMKT,Belarus,Total or no breakdown,0.55285
2015,SI_COV_LMKT,Belarus,Total or no breakdown,1.12192
2015,SI_COV_LMKT,Belarus,Quantile 1 (poorest),2.82066
2016,SI_COV_LMKT,Belarus,Total or no breakdown,1.11034
2016,SI_COV_LMKT,Belarus,Quantile 1 (poorest),1.97855
2006,SI_COV_LMKT,Chile,Quantile 1 (poorest),11.91531
2006,SI_COV_LMKT,Chile,Total or no breakdown,23.40301
2009,SI_COV_LMKT,Chile,Total or no breakdown,21.74592
2009,SI_COV_LMKT,Chile,Quantile 1 (poorest),12.30475
2011,SI_COV_LMKT,Chile,Total or no breakdown,0.59718
2011,SI_COV_LMKT,Chile,Quantile 1 (poorest),0.44437
2013,SI_COV_LMKT,Chile,Total or no breakdown,20.50725
2013,SI_COV_LMKT,Chile,Quantile 1 (poorest),13.8681
2015,SI_COV_LMKT,Chile,Total or no breakdown,24.27583
2015,SI_COV_LMKT,Chile,Quantile 1 (poorest),14.23999
2017,SI_COV_LMKT,Chile,Quantile 1 (poorest),13.33355
2017,SI_COV_LMKT,Chile,Total or no breakdown,22.32238
2008,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),16.19802
2008,SI_COV_LMKT,Costa Rica,Total or no breakdown,21.155
2009,SI_COV_LMKT,Costa Rica,Total or no breakdown,25.33946
2009,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),22.64373
2010,SI_COV_LMKT,Costa Rica,Total or no breakdown,19.84133
2010,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),15.04027
2011,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),16.76853
2011,SI_COV_LMKT,Costa Rica,Total or no breakdown,21.76401
2012,SI_COV_LMKT,Costa Rica,Total or no breakdown,21.79102
2012,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),16.03325
2014,SI_COV_LMKT,Costa Rica,Total or no breakdown,23.09385
2014,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),19.82315
2015,SI_COV_LMKT,Costa Rica,Total or no breakdown,24.48749
2015,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),20.64208
2016,SI_COV_LMKT,Costa Rica,Total or no breakdown,25.34954
2016,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),20.18356
2017,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),22.9862
2017,SI_COV_LMKT,Costa Rica,Total or no breakdown,26.08644
2018,SI_COV_LMKT,Costa Rica,Total or no breakdown,21.87133
2018,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),18.55113
2019,SI_COV_LMKT,Costa Rica,Quantile 1 (poorest),19.84239
2019,SI_COV_LMKT,Costa Rica,Total or no breakdown,21.69569
2008,SI_COV_LMKT,Croatia,Total or no breakdown,4.09476
2008,SI_COV_LMKT,Croatia,Quantile 1 (poorest),4.7013
2010,SI_COV_LMKT,Croatia,Quantile 1 (poorest),8.62459
2010,SI_COV_LMKT,Croatia,Total or no breakdown,5.79397
2011,SI_COV_LMKT,Croatia,Total or no breakdown,5.35082
2011,SI_COV_LMKT,Croatia,Quantile 1 (poorest),6.8212
2014,SI_COV_LMKT,Croatia,Total or no breakdown,5.11951
2014,SI_COV_LMKT,Croatia,Quantile 1 (poorest),7.96386
2011,SI_COV_LMKT,Georgia,Quantile 1 (poorest),0.06922
2011,SI_COV_LMKT,Georgia,Total or no breakdown,0.32554
2007,SI_COV_LMKT,Hungary,Total or no breakdown,9.86803
2007,SI_COV_LMKT,Hungary,Quantile 1 (poorest),20.65943
2004,SI_COV_LMKT,India,Total or no breakdown,3.55752
2004,SI_COV_LMKT,India,Quantile 1 (poorest),1.50049
2009,SI_COV_LMKT,India,Total or no breakdown,4.43938
2009,SI_COV_LMKT,India,Quantile 1 (poorest),1.96246
2014,SI_COV_LMKT,Kazakhstan,Quantile 1 (poorest),22.62891
2014,SI_COV_LMKT,Kazakhstan,Total or no breakdown,12.50519
2011,SI_COV_LMKT,Kyrgyzstan,Quantile 1 (poorest),25.65016
2011,SI_COV_LMKT,Kyrgyzstan,Total or no breakdown,23.89148
2012,SI_COV_LMKT,Kyrgyzstan,Quantile 1 (poorest),17.35811
2012,SI_COV_LMKT,Kyrgyzstan,Total or no breakdown,21.08072
2013,SI_COV_LMKT,Kyrgyzstan,Total or no breakdown,25.79409
2013,SI_COV_LMKT,Kyrgyzstan,Quantile 1 (poorest),25.32387
2008,SI_COV_LMKT,Latvia,Quantile 1 (poorest),7.67277
2008,SI_COV_LMKT,Latvia,Total or no breakdown,7.69174
2009,SI_COV_LMKT,Latvia,Total or no breakdown,9.84013
2009,SI_COV_LMKT,Latvia,Quantile 1 (poorest),14.00812
2008,SI_COV_LMKT,Lithuania,Quantile 1 (poorest),2.8735
2008,SI_COV_LMKT,Lithuania,Total or no breakdown,2.22928
2010,SI_COV_LMKT,Moldova,Quantile 1 (poorest),4.73696
2010,SI_COV_LMKT,Moldova,Total or no breakdown,2.49661
2012,SI_COV_LMKT,Moldova,Total or no breakdown,1.54528
2012,SI_COV_LMKT,Moldova,Quantile 1 (poorest),3.12991
2013,SI_COV_LMKT,Moldova,Quantile 1 (poorest),2.1085
2013,SI_COV_LMKT,Moldova,Total or no breakdown,0.91597
2018,SI_COV_LMKT,Moldova,Quantile 1 (poorest),4.53158
2018,SI_COV_LMKT,Moldova,Total or no breakdown,1.72003
2011,SI_COV_LMKT,Montenegro,Quantile 1 (poorest),3.58474
2011,SI_COV_LMKT,Montenegro,Total or no breakdown,3.96
2012,SI_COV_LMKT,Montenegro,Total or no breakdown,3.54356
2012,SI_COV_LMKT,Montenegro,Quantile 1 (poorest),7.14999
2013,SI_COV_LMKT,Montenegro,Quantile 1 (poorest),4.923
2013,SI_COV_LMKT,Montenegro,Total or no breakdown,2.19372
2014,SI_COV_LMKT,Montenegro,Total or no breakdown,3.61241
2014,SI_COV_LMKT,Montenegro,Quantile 1 (poorest),2.46184
2005,SI_COV_LMKT,Poland,Quantile 1 (poorest),47.56495
2005,SI_COV_LMKT,Poland,Total or no breakdown,24.52726
2006,SI_COV_LMKT,Poland,Total or no breakdown,21.01191
2006,SI_COV_LMKT,Poland,Quantile 1 (poorest),42.27876
2007,SI_COV_LMKT,Poland,Total or no breakdown,16.11297
2007,SI_COV_LMKT,Poland,Quantile 1 (poorest),31.78217
2008,SI_COV_LMKT,Poland,Total or no breakdown,12.46534
2008,SI_COV_LMKT,Poland,Quantile 1 (poorest),24.77924
2009,SI_COV_LMKT,Poland,Quantile 1 (poorest),27.50686
2009,SI_COV_LMKT,Poland,Total or no breakdown,14.15517
2010,SI_COV_LMKT,Poland,Total or no breakdown,3.47952
2010,SI_COV_LMKT,Poland,Quantile 1 (poorest),5.86095
2011,SI_COV_LMKT,Poland,Total or no breakdown,2.58855
2011,SI_COV_LMKT,Poland,Quantile 1 (poorest),4.05343
2012,SI_COV_LMKT,Poland,Quantile 1 (poorest),4.33946
2012,SI_COV_LMKT,Poland,Total or no breakdown,2.76575
2015,SI_COV_LMKT,Poland,Total or no breakdown,1.79158
2015,SI_COV_LMKT,Poland,Quantile 1 (poorest),2.78051
2008,SI_COV_LMKT,Romania,Total or no breakdown,1.51533
2008,SI_COV_LMKT,Romania,Quantile 1 (poorest),1.48785
2011,SI_COV_LMKT,Romania,Quantile 1 (poorest),3.44867
2011,SI_COV_LMKT,Romania,Total or no breakdown,2.99951
2012,SI_COV_LMKT,Romania,Total or no breakdown,2.2849
2012,SI_COV_LMKT,Romania,Quantile 1 (poorest),2.21701
2016,SI_COV_LMKT,Romania,Total or no breakdown,0.96226
2016,SI_COV_LMKT,Romania,Quantile 1 (poorest),0.98309
2015,SI_COV_LMKT,Serbia,Quantile 1 (poorest),2.15688
2015,SI_COV_LMKT,Serbia,Total or no breakdown,1.61207
2009,SI_COV_LMKT,Slovakia,Quantile 1 (poorest),11.96245
2009,SI_COV_LMKT,Slovakia,Total or no breakdown,5.71974
2006,SI_COV_LMKT,Viet Nam,Quantile 1 (poorest),18.89609
2006,SI_COV_LMKT,Viet Nam,Total or no breakdown,6.08825
2010,SI_COV_LMKT,Viet Nam,Quantile 1 (poorest),40.3625
2010,SI_COV_LMKT,Viet Nam,Total or no breakdown,18.41876
2012,SI_COV_LMKT,Viet Nam,Total or no breakdown,14.18074
2012,SI_COV_LMKT,Viet Nam,Quantile 1 (poorest),33.45951
2014,SI_COV_LMKT,Viet Nam,Quantile 1 (poorest),24.40484
2014,SI_COV_LMKT,Viet Nam,Total or no breakdown,8.97639
2009,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.78859
2009,SI_COV_LMKT,Türkiye,Total or no breakdown,1.13947
2010,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.44673
2010,SI_COV_LMKT,Türkiye,Total or no breakdown,1.0446
2011,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.50685
2011,SI_COV_LMKT,Türkiye,Total or no breakdown,0.85332
2012,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.45323
2012,SI_COV_LMKT,Türkiye,Total or no breakdown,0.84086
2013,SI_COV_LMKT,Türkiye,Total or no breakdown,0.82759
2013,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.45731
2014,SI_COV_LMKT,Türkiye,Total or no breakdown,1.27875
2014,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.48963
2015,SI_COV_LMKT,Türkiye,Total or no breakdown,1.47964
2015,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),1.20446
2016,SI_COV_LMKT,Türkiye,Total or no breakdown,1.33638
2016,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.59554
2018,SI_COV_LMKT,Türkiye,Total or no breakdown,1.44904
2018,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),0.963
2019,SI_COV_LMKT,Türkiye,Quantile 1 (poorest),1.24553
2019,SI_COV_LMKT,Türkiye,Total or no breakdown,1.82681
2006,SI_COV_LMKT,Ukraine,Total or no breakdown,6.04397
2006,SI_COV_LMKT,Ukraine,Quantile 1 (poorest),10.17821
2011,SI_COV_LMKT,Ukraine,Quantile 1 (poorest),4.81953
2011,SI_COV_LMKT,Ukraine,Total or no breakdown,3.44978
2012,SI_COV_LMKT,Ukraine,Total or no breakdown,3.72593
2012,SI_COV_LMKT,Ukraine,Quantile 1 (poorest),6.42283
2013,SI_COV_LMKT,Ukraine,Quantile 1 (poorest),3.66689
