Year,SeriesCode,Country,Sex,Value
2000,SI_COV_PENSN,Albania,Both sexes,89.0
2011,SI_COV_PENSN,Albania,Both sexes,77.0
2021,SI_COV_PENSN,Albania,Male,100.0
2021,SI_COV_PENSN,Albania,Both sexes,100.0
2021,SI_COV_PENSN,Albania,Female,100.0
2000,SI_COV_PENSN,Azerbaijan,Both sexes,97.0
2016,SI_COV_PENSN,Azerbaijan,Both sexes,81.1
2016,SI_COV_PENSN,Azerbaijan,Female,95.3
2016,SI_COV_PENSN,Azerbaijan,Male,63.1
2018,SI_COV_PENSN,Azerbaijan,Both sexes,100.0
2020,SI_COV_PENSN,Azerbaijan,Both sexes,72.8
2020,SI_COV_PENSN,Azerbaijan,Female,76.8
2020,SI_COV_PENSN,Azerbaijan,Male,56.6
2000,SI_COV_PENSN,Australia,Both sexes,80.0
2013,SI_COV_PENSN,Australia,Both sexes,70.1
2013,SI_COV_PENSN,Australia,Female,72.6
2013,SI_COV_PENSN,Australia,Male,67.2
2014,SI_COV_PENSN,Australia,Female,73.1
2014,SI_COV_PENSN,Australia,Male,69.2
2014,SI_COV_PENSN,Australia,Both sexes,71.3
2016,SI_COV_PENSN,Australia,Both sexes,74.3
2020,SI_COV_PENSN,Australia,Male,100.0
2020,SI_COV_PENSN,Australia,Both sexes,100.0
2020,SI_COV_PENSN,Australia,Female,100.0
2000,SI_COV_PENSN,Austria,Both sexes,96.0
2013,SI_COV_PENSN,Austria,Male,100.0
2013,SI_COV_PENSN,Austria,Female,96.5
2013,SI_COV_PENSN,Austria,Both sexes,100.0
2014,SI_COV_PENSN,Austria,Both sexes,100.0
2014,SI_COV_PENSN,Austria,Male,100.0
2014,SI_COV_PENSN,Austria,Female,98.8
2020,SI_COV_PENSN,Austria,Female,100.0
2020,SI_COV_PENSN,Austria,Male,100.0
2020,SI_COV_PENSN,Austria,Both sexes,100.0
2000,SI_COV_PENSN,Armenia,Both sexes,87.0
2016,SI_COV_PENSN,Armenia,Both sexes,68.5
2016,SI_COV_PENSN,Armenia,Female,72.6
2016,SI_COV_PENSN,Armenia,Male,62.3
2018,SI_COV_PENSN,Armenia,Both sexes,100.0
2020,SI_COV_PENSN,Armenia,Female,69.9
2020,SI_COV_PENSN,Armenia,Male,58.3
2020,SI_COV_PENSN,Armenia,Both sexes,65.2
2000,SI_COV_PENSN,Belgium,Both sexes,100.0
2013,SI_COV_PENSN,Belgium,Both sexes,100.0
2013,SI_COV_PENSN,Belgium,Female,98.9
2013,SI_COV_PENSN,Belgium,Male,100.0
2014,SI_COV_PENSN,Belgium,Male,100.0
2014,SI_COV_PENSN,Belgium,Female,100.0
2014,SI_COV_PENSN,Belgium,Both sexes,100.0
2020,SI_COV_PENSN,Belgium,Both sexes,100.0
2020,SI_COV_PENSN,Belgium,Female,100.0
2020,SI_COV_PENSN,Belgium,Male,100.0
2009,SI_COV_PENSN,Bosnia and Herzegovina,Both sexes,29.6
2020,SI_COV_PENSN,Bosnia and Herzegovina,Female,41.3
2020,SI_COV_PENSN,Bosnia and Herzegovina,Both sexes,69.5
2020,SI_COV_PENSN,Bosnia and Herzegovina,Male,100.0
2000,SI_COV_PENSN,Bulgaria,Both sexes,96.0
2013,SI_COV_PENSN,Bulgaria,Both sexes,100.0
2013,SI_COV_PENSN,Bulgaria,Female,100.0
2013,SI_COV_PENSN,Bulgaria,Male,100.0
2014,SI_COV_PENSN,Bulgaria,Both sexes,100.0
2014,SI_COV_PENSN,Bulgaria,Female,100.0
2014,SI_COV_PENSN,Bulgaria,Male,100.0
2016,SI_COV_PENSN,Bulgaria,Both sexes,100.0
2016,SI_COV_PENSN,Bulgaria,Male,100.0
2016,SI_COV_PENSN,Bulgaria,Female,100.0
2020,SI_COV_PENSN,Bulgaria,Female,82.5
2020,SI_COV_PENSN,Bulgaria,Male,100.0
2020,SI_COV_PENSN,Bulgaria,Both sexes,94.0
2000,SI_COV_PENSN,Belarus,Both sexes,39.0
2016,SI_COV_PENSN,Belarus,Both sexes,100.0
2020,SI_COV_PENSN,Belarus,Male,100.0
2020,SI_COV_PENSN,Belarus,Both sexes,100.0
2020,SI_COV_PENSN,Belarus,Female,100.0
2000,SI_COV_PENSN,Canada,Both sexes,91.0
2013,SI_COV_PENSN,Canada,Both sexes,92.1
2013,SI_COV_PENSN,Canada,Male,91.0
2013,SI_COV_PENSN,Canada,Female,93.0
2014,SI_COV_PENSN,Canada,Female,95.8
2014,SI_COV_PENSN,Canada,Male,94.1
2014,SI_COV_PENSN,Canada,Both sexes,95.1
2016,SI_COV_PENSN,Canada,Female,100.0
2016,SI_COV_PENSN,Canada,Both sexes,100.0
2016,SI_COV_PENSN,Canada,Male,100.0
2020,SI_COV_PENSN,Canada,Male,100.0
2020,SI_COV_PENSN,Canada,Both sexes,100.0
2020,SI_COV_PENSN,Canada,Female,100.0
2003,SI_COV_PENSN,Chile,Both sexes,63.0
2013,SI_COV_PENSN,Chile,Male,30.7
2013,SI_COV_PENSN,Chile,Female,47.8
2013,SI_COV_PENSN,Chile,Both sexes,40.6
2014,SI_COV_PENSN,Chile,Male,29.8
2014,SI_COV_PENSN,Chile,Both sexes,40.0
2014,SI_COV_PENSN,Chile,Female,47.5
2016,SI_COV_PENSN,Chile,Both sexes,78.6
2020,SI_COV_PENSN,Chile,Both sexes,71.5
2020,SI_COV_PENSN,Chile,Female,72.6
2020,SI_COV_PENSN,Chile,Male,69.5
2021,SI_COV_PENSN,Chile,Male,100.0
2021,SI_COV_PENSN,Chile,Both sexes,100.0
2021,SI_COV_PENSN,Chile,Female,100.0
2000,SI_COV_PENSN,China,Both sexes,24.0
2016,SI_COV_PENSN,China,Both sexes,100.0
2017,SI_COV_PENSN,China,Both sexes,100.0
2020,SI_COV_PENSN,China,Female,100.0
2020,SI_COV_PENSN,China,Male,100.0
2020,SI_COV_PENSN,China,Both sexes,100.0
2000,SI_COV_PENSN,Colombia,Both sexes,14.0
2016,SI_COV_PENSN,Colombia,Male,53.6
2016,SI_COV_PENSN,Colombia,Female,53.0
2016,SI_COV_PENSN,Colombia,Both sexes,51.7
2020,SI_COV_PENSN,Colombia,Both sexes,50.6
2021,SI_COV_PENSN,Colombia,Both sexes,45.7
2000,SI_COV_PENSN,Costa Rica,Both sexes,28.0
2016,SI_COV_PENSN,Costa Rica,Both sexes,68.8
2020,SI_COV_PENSN,Costa Rica,Male,68.0
2020,SI_COV_PENSN,Costa Rica,Both sexes,56.2
2020,SI_COV_PENSN,Costa Rica,Female,46.1
2021,SI_COV_PENSN,Costa Rica,Both sexes,56.2
2016,SI_COV_PENSN,Croatia,Both sexes,57.6
2020,SI_COV_PENSN,Croatia,Female,63.1
2020,SI_COV_PENSN,Croatia,Both sexes,89.8
2020,SI_COV_PENSN,Croatia,Male,100.0
2000,SI_COV_PENSN,Cyprus,Both sexes,74.0
2013,SI_COV_PENSN,Cyprus,Female,73.8
2013,SI_COV_PENSN,Cyprus,Male,100.0
2013,SI_COV_PENSN,Cyprus,Both sexes,91.4
2014,SI_COV_PENSN,Cyprus,Female,76.8
2014,SI_COV_PENSN,Cyprus,Both sexes,94.3
2014,SI_COV_PENSN,Cyprus,Male,100.0
2020,SI_COV_PENSN,Cyprus,Male,100.0
2020,SI_COV_PENSN,Cyprus,Female,79.9
2020,SI_COV_PENSN,Cyprus,Both sexes,97.8
2000,SI_COV_PENSN,Czechia,Both sexes,100.0
2013,SI_COV_PENSN,Czechia,Female,100.0
2013,SI_COV_PENSN,Czechia,Male,100.0
2013,SI_COV_PENSN,Czechia,Both sexes,100.0
2014,SI_COV_PENSN,Czechia,Both sexes,100.0
2014,SI_COV_PENSN,Czechia,Female,100.0
2014,SI_COV_PENSN,Czechia,Male,100.0
2020,SI_COV_PENSN,Czechia,Both sexes,91.3
2020,SI_COV_PENSN,Czechia,Male,84.0
2020,SI_COV_PENSN,Czechia,Female,96.9
2000,SI_COV_PENSN,Denmark,Both sexes,100.0
2013,SI_COV_PENSN,Denmark,Male,95.2
2013,SI_COV_PENSN,Denmark,Both sexes,96.8
2013,SI_COV_PENSN,Denmark,Female,98.2
2014,SI_COV_PENSN,Denmark,Both sexes,99.2
2014,SI_COV_PENSN,Denmark,Male,97.8
2014,SI_COV_PENSN,Denmark,Female,100.0
2020,SI_COV_PENSN,Denmark,Female,100.0
2020,SI_COV_PENSN,Denmark,Male,100.0
2020,SI_COV_PENSN,Denmark,Both sexes,100.0
2000,SI_COV_PENSN,Estonia,Both sexes,92.0
2013,SI_COV_PENSN,Estonia,Male,100.0
2013,SI_COV_PENSN,Estonia,Female,100.0
2013,SI_COV_PENSN,Estonia,Both sexes,100.0
2014,SI_COV_PENSN,Estonia,Male,100.0
2014,SI_COV_PENSN,Estonia,Both sexes,100.0
2014,SI_COV_PENSN,Estonia,Female,100.0
2020,SI_COV_PENSN,Estonia,Male,100.0
2020,SI_COV_PENSN,Estonia,Both sexes,100.0
2020,SI_COV_PENSN,Estonia,Female,100.0
2000,SI_COV_PENSN,Finland,Both sexes,100.0
2013,SI_COV_PENSN,Finland,Both sexes,100.0
2013,SI_COV_PENSN,Finland,Female,100.0
2013,SI_COV_PENSN,Finland,Male,100.0
2014,SI_COV_PENSN,Finland,Male,100.0
2014,SI_COV_PENSN,Finland,Both sexes,100.0
2014,SI_COV_PENSN,Finland,Female,100.0
2020,SI_COV_PENSN,Finland,Both sexes,100.0
2020,SI_COV_PENSN,Finland,Female,100.0
2020,SI_COV_PENSN,Finland,Male,100.0
2000,SI_COV_PENSN,France,Both sexes,100.0
2013,SI_COV_PENSN,France,Female,100.0
2013,SI_COV_PENSN,France,Male,100.0
2013,SI_COV_PENSN,France,Both sexes,100.0
2014,SI_COV_PENSN,France,Female,100.0
2014,SI_COV_PENSN,France,Male,100.0
2014,SI_COV_PENSN,France,Both sexes,100.0
2020,SI_COV_PENSN,France,Male,100.0
2020,SI_COV_PENSN,France,Both sexes,100.0
2020,SI_COV_PENSN,France,Female,100.0
2000,SI_COV_PENSN,Georgia,Both sexes,80.0
2016,SI_COV_PENSN,Georgia,Male,97.7
2016,SI_COV_PENSN,Georgia,Both sexes,91.9
2016,SI_COV_PENSN,Georgia,Female,89.7
2018,SI_COV_PENSN,Georgia,Both sexes,100.0
2020,SI_COV_PENSN,Georgia,Both sexes,90.9
2020,SI_COV_PENSN,Georgia,Male,98.7
2020,SI_COV_PENSN,Georgia,Female,100.0
2000,SI_COV_PENSN,Germany,Both sexes,100.0
2013,SI_COV_PENSN,Germany,Male,77.1
2013,SI_COV_PENSN,Germany,Female,66.4
2013,SI_COV_PENSN,Germany,Both sexes,71.1
2014,SI_COV_PENSN,Germany,Female,66.7
2014,SI_COV_PENSN,Germany,Male,77.6
2014,SI_COV_PENSN,Germany,Both sexes,71.5
2016,SI_COV_PENSN,Germany,Both sexes,100.0
2016,SI_COV_PENSN,Germany,Female,100.0
2016,SI_COV_PENSN,Germany,Male,100.0
2020,SI_COV_PENSN,Germany,Male,100.0
2020,SI_COV_PENSN,Germany,Female,100.0
