Year,SeriesCode,Country,Sex,Value
2016,SI_COV_POOR,Azerbaijan,Both sexes,100.0
2018,SI_COV_POOR,Azerbaijan,Both sexes,100.0
2016,SI_COV_POOR,Australia,Both sexes,100.0
2016,SI_COV_POOR,Austria,Both sexes,100.0
2016,SI_COV_POOR,Armenia,Both sexes,38.2
2018,SI_COV_POOR,Armenia,Both sexes,100.0
2016,SI_COV_POOR,Belgium,Both sexes,100.0
2016,SI_COV_POOR,Bulgaria,Both sexes,52.1
2016,SI_COV_POOR,Canada,Both sexes,100.0
2016,SI_COV_POOR,Chile,Both sexes,97.6
2020,SI_COV_POOR,Chile,Both sexes,100.0
2016,SI_COV_POOR,China,Both sexes,51.6
2020,SI_COV_POOR,China,Both sexes,100.0
2016,SI_COV_POOR,Colombia,Both sexes,22.8
2019,SI_COV_POOR,Colombia,Both sexes,44.4
2021,SI_COV_POOR,Colombia,Both sexes,53.6
2016,SI_COV_POOR,Costa Rica,Both sexes,38.0
2020,SI_COV_POOR,Costa Rica,Both sexes,75.4
2021,SI_COV_POOR,Costa Rica,Both sexes,81.2
2016,SI_COV_POOR,Cyprus,Both sexes,100.0
2016,SI_COV_POOR,Czechia,Both sexes,99.6
2016,SI_COV_POOR,Denmark,Both sexes,100.0
2016,SI_COV_POOR,Estonia,Both sexes,100.0
2016,SI_COV_POOR,Finland,Both sexes,100.0
2016,SI_COV_POOR,France,Both sexes,100.0
2016,SI_COV_POOR,Georgia,Both sexes,100.0
2018,SI_COV_POOR,Georgia,Both sexes,100.0
2016,SI_COV_POOR,Germany,Both sexes,100.0
2016,SI_COV_POOR,Hungary,Both sexes,100.0
2016,SI_COV_POOR,Ireland,Both sexes,100.0
2016,SI_COV_POOR,Kazakhstan,Both sexes,28.9
2016,SI_COV_POOR,Republic of Korea,Both sexes,21.4
2018,SI_COV_POOR,Kyrgyzstan,Both sexes,89.4
2016,SI_COV_POOR,Latvia,Both sexes,100.0
2016,SI_COV_POOR,Lithuania,Both sexes,54.1
2017,SI_COV_POOR,Mexico,Both sexes,45.1
2020,SI_COV_POOR,Mexico,Both sexes,66.8
2021,SI_COV_POOR,Mexico,Both sexes,68.9
2016,SI_COV_POOR,Netherlands (Kingdom of the),Both sexes,100.0
2016,SI_COV_POOR,New Zealand,Both sexes,37.4
2016,SI_COV_POOR,Norway,Both sexes,100.0
2016,SI_COV_POOR,Poland,Both sexes,100.0
2016,SI_COV_POOR,Portugal,Both sexes,100.0
2016,SI_COV_POOR,Romania,Both sexes,100.0
2016,SI_COV_POOR,Slovakia,Both sexes,100.0
2018,SI_COV_POOR,Viet Nam,Both sexes,100.0
2016,SI_COV_POOR,Slovenia,Both sexes,100.0
2016,SI_COV_POOR,Spain,Both sexes,100.0
2016,SI_COV_POOR,Sweden,Both sexes,100.0
2016,SI_COV_POOR,Switzerland,Both sexes,100.0
2018,SI_COV_POOR,Tajikistan,Both sexes,28.1
2018,SI_COV_POOR,Ukraine,Both sexes,43.0
2016,SI_COV_POOR,United Kingdom of Great Britain and Northern Ireland,Both sexes,100.0
2017,SI_COV_POOR,Uzbekistan,Both sexes,68.0
2018,SI_COV_POOR,Uzbekistan,Both sexes,82.5
2018,SI_COV_POOR,Uzbekistan,Both sexes,82.5
