Year,SeriesCode,Country,Quantile,Value
2008,SI_COV_SOCAST,Lithuania,Total or no breakdown,58.67134
2008,SI_COV_SOCAST,Lithuania,Quantile 1 (poorest),68.09415
2008,SI_COV_SOCAST,Mexico,Total or no breakdown,15.626
2008,SI_COV_SOCAST,Mexico,Quantile 1 (poorest),26.65463
2010,SI_COV_SOCAST,Mexico,Total or no breakdown,31.99193
2010,SI_COV_SOCAST,Mexico,Quantile 1 (poorest),54.8807
2012,SI_COV_SOCAST,Mexico,Total or no breakdown,37.04733
2012,SI_COV_SOCAST,Mexico,Quantile 1 (poorest),68.88569
2014,SI_COV_SOCAST,Mexico,Total or no breakdown,32.52565
2014,SI_COV_SOCAST,Mexico,Quantile 1 (poorest),53.83163
2016,SI_COV_SOCAST,Mexico,Total or no breakdown,29.18586
2016,SI_COV_SOCAST,Mexico,Quantile 1 (poorest),50.45571
2018,SI_COV_SOCAST,Mexico,Total or no breakdown,27.48966
2018,SI_COV_SOCAST,Mexico,Quantile 1 (poorest),49.66216
2010,SI_COV_SOCAST,Moldova,Total or no breakdown,33.76309
2010,SI_COV_SOCAST,Moldova,Quantile 1 (poorest),41.71106
2012,SI_COV_SOCAST,Moldova,Total or no breakdown,29.34293
2012,SI_COV_SOCAST,Moldova,Quantile 1 (poorest),38.8092
2013,SI_COV_SOCAST,Moldova,Total or no breakdown,23.79203
2013,SI_COV_SOCAST,Moldova,Quantile 1 (poorest),29.629
2018,SI_COV_SOCAST,Moldova,Quantile 1 (poorest),50.04396
2018,SI_COV_SOCAST,Moldova,Total or no breakdown,32.74051
2011,SI_COV_SOCAST,Montenegro,Quantile 1 (poorest),14.99426
2011,SI_COV_SOCAST,Montenegro,Total or no breakdown,5.08993
2012,SI_COV_SOCAST,Montenegro,Total or no breakdown,8.56685
2012,SI_COV_SOCAST,Montenegro,Quantile 1 (poorest),23.06891
2013,SI_COV_SOCAST,Montenegro,Total or no breakdown,10.41047
2013,SI_COV_SOCAST,Montenegro,Quantile 1 (poorest),27.13369
2014,SI_COV_SOCAST,Montenegro,Total or no breakdown,8.07594
2014,SI_COV_SOCAST,Montenegro,Quantile 1 (poorest),22.6477
2005,SI_COV_SOCAST,Poland,Total or no breakdown,50.5828
2005,SI_COV_SOCAST,Poland,Quantile 1 (poorest),71.04557
2006,SI_COV_SOCAST,Poland,Total or no breakdown,49.32769
2006,SI_COV_SOCAST,Poland,Quantile 1 (poorest),69.58492
2007,SI_COV_SOCAST,Poland,Total or no breakdown,47.58559
2007,SI_COV_SOCAST,Poland,Quantile 1 (poorest),66.86927
2008,SI_COV_SOCAST,Poland,Total or no breakdown,43.29234
2008,SI_COV_SOCAST,Poland,Quantile 1 (poorest),62.00586
2009,SI_COV_SOCAST,Poland,Total or no breakdown,41.08965
2009,SI_COV_SOCAST,Poland,Quantile 1 (poorest),60.84591
2010,SI_COV_SOCAST,Poland,Quantile 1 (poorest),60.50547
2010,SI_COV_SOCAST,Poland,Total or no breakdown,39.55377
2011,SI_COV_SOCAST,Poland,Total or no breakdown,39.33474
2011,SI_COV_SOCAST,Poland,Quantile 1 (poorest),60.10428
2012,SI_COV_SOCAST,Poland,Total or no breakdown,38.75306
2012,SI_COV_SOCAST,Poland,Quantile 1 (poorest),60.60022
2015,SI_COV_SOCAST,Poland,Total or no breakdown,31.34959
2015,SI_COV_SOCAST,Poland,Quantile 1 (poorest),50.70274
2008,SI_COV_SOCAST,Albania,Quantile 1 (poorest),45.55193
2008,SI_COV_SOCAST,Albania,Total or no breakdown,32.67408
2012,SI_COV_SOCAST,Albania,Total or no breakdown,19.08167
2012,SI_COV_SOCAST,Albania,Quantile 1 (poorest),27.67075
2015,SI_COV_SOCAST,Azerbaijan,Total or no breakdown,26.91493
2015,SI_COV_SOCAST,Azerbaijan,Quantile 1 (poorest),33.36717
2008,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),34.10233
2008,SI_COV_SOCAST,Armenia,Total or no breakdown,22.44042
2008,SI_COV_SOCAST,Romania,Total or no breakdown,55.41553
2008,SI_COV_SOCAST,Romania,Quantile 1 (poorest),79.49001
2011,SI_COV_SOCAST,Romania,Total or no breakdown,62.20367
2011,SI_COV_SOCAST,Romania,Quantile 1 (poorest),82.75261
2012,SI_COV_SOCAST,Romania,Total or no breakdown,61.83329
2012,SI_COV_SOCAST,Romania,Quantile 1 (poorest),82.85327
2016,SI_COV_SOCAST,Romania,Total or no breakdown,58.58158
2016,SI_COV_SOCAST,Romania,Quantile 1 (poorest),81.92651
2007,SI_COV_SOCAST,Serbia,Total or no breakdown,11.85203
2007,SI_COV_SOCAST,Serbia,Quantile 1 (poorest),21.84727
2010,SI_COV_SOCAST,Serbia,Total or no breakdown,11.27447
2010,SI_COV_SOCAST,Serbia,Quantile 1 (poorest),26.00123
2013,SI_COV_SOCAST,Serbia,Total or no breakdown,11.72431
2013,SI_COV_SOCAST,Serbia,Quantile 1 (poorest),26.51171
2015,SI_COV_SOCAST,Serbia,Quantile 1 (poorest),29.53887
2015,SI_COV_SOCAST,Serbia,Total or no breakdown,13.40416
2009,SI_COV_SOCAST,Slovakia,Total or no breakdown,83.19675
2009,SI_COV_SOCAST,Slovakia,Quantile 1 (poorest),95.61363
2006,SI_COV_SOCAST,Viet Nam,Total or no breakdown,22.53121
2006,SI_COV_SOCAST,Viet Nam,Quantile 1 (poorest),47.20541
2010,SI_COV_SOCAST,Viet Nam,Total or no breakdown,38.54105
2010,SI_COV_SOCAST,Viet Nam,Quantile 1 (poorest),58.26172
2012,SI_COV_SOCAST,Viet Nam,Total or no breakdown,23.38437
2012,SI_COV_SOCAST,Viet Nam,Quantile 1 (poorest),58.93117
2009,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),28.14877
2009,SI_COV_SOCAST,Armenia,Total or no breakdown,19.59614
2010,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),32.78167
2010,SI_COV_SOCAST,Armenia,Total or no breakdown,23.21633
2011,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),27.45092
2011,SI_COV_SOCAST,Armenia,Total or no breakdown,20.22949
2012,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),36.91831
2012,SI_COV_SOCAST,Armenia,Total or no breakdown,25.04328
2014,SI_COV_SOCAST,Viet Nam,Quantile 1 (poorest),48.38658
2014,SI_COV_SOCAST,Viet Nam,Total or no breakdown,17.50683
2011,SI_COV_SOCAST,Tajikistan,Total or no breakdown,9.74993
2011,SI_COV_SOCAST,Tajikistan,Quantile 1 (poorest),13.04268
2004,SI_COV_SOCAST,Türkiye,Total or no breakdown,27.21969
2004,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),33.0107
2005,SI_COV_SOCAST,Türkiye,Total or no breakdown,27.60373
2005,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),33.29232
2006,SI_COV_SOCAST,Türkiye,Total or no breakdown,30.50476
2006,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),36.79194
2007,SI_COV_SOCAST,Türkiye,Total or no breakdown,33.16355
2007,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),46.45131
2008,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),56.0718
2008,SI_COV_SOCAST,Türkiye,Total or no breakdown,37.05219
2009,SI_COV_SOCAST,Türkiye,Total or no breakdown,17.96611
2009,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),41.70753
2010,SI_COV_SOCAST,Türkiye,Total or no breakdown,18.44495
2010,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),47.49978
2011,SI_COV_SOCAST,Türkiye,Total or no breakdown,18.39216
2011,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),48.06989
2012,SI_COV_SOCAST,Türkiye,Total or no breakdown,15.86075
2012,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),42.4554
2013,SI_COV_SOCAST,Türkiye,Total or no breakdown,16.69057
