Year,SeriesCode,Country,Value
2005,VC_DSR_GDPLS,Chile,78505500.0
2006,VC_DSR_GDPLS,Chile,48769037.79
2007,VC_DSR_GDPLS,Chile,118123911.73
2008,VC_DSR_GDPLS,Chile,63732225.0
2009,VC_DSR_GDPLS,Chile,0.0
2010,VC_DSR_GDPLS,Chile,3749201250.0
2011,VC_DSR_GDPLS,Chile,17939437.5
2012,VC_DSR_GDPLS,Chile,5935125.0
2013,VC_DSR_GDPLS,Chile,0.0
2014,VC_DSR_GDPLS,Chile,207961912.5
2015,VC_DSR_GDPLS,Chile,198192150.0
2016,VC_DSR_GDPLS,Chile,1534455.0
2017,VC_DSR_GDPLS,Chile,107318722.16
2018,VC_DSR_GDPLS,Chile,0.0
2019,VC_DSR_GDPLS,Chile,0.0
2020,VC_DSR_GDPLS,Chile,0.0
2021,VC_DSR_GDPLS,Chile,0.0
2005,VC_DSR_GDPLS,Colombia,1191784517.02
2006,VC_DSR_GDPLS,Colombia,100088300.96
2007,VC_DSR_GDPLS,Colombia,8845858324.03
2008,VC_DSR_GDPLS,Colombia,9651326413.99
2009,VC_DSR_GDPLS,Colombia,132007974.4
2010,VC_DSR_GDPLS,Colombia,11213425874.95
2011,VC_DSR_GDPLS,Colombia,11384158181.52
2012,VC_DSR_GDPLS,Colombia,14104467316.55
2013,VC_DSR_GDPLS,Colombia,2563024154.83
2014,VC_DSR_GDPLS,Colombia,75893801645.39
2015,VC_DSR_GDPLS,Colombia,38504319325.35
2016,VC_DSR_GDPLS,Colombia,52681627334.87
2017,VC_DSR_GDPLS,Colombia,30283390829.31
2018,VC_DSR_GDPLS,Colombia,14396174148.57
2019,VC_DSR_GDPLS,Colombia,62903586.31
2020,VC_DSR_GDPLS,Colombia,808485504.78
2021,VC_DSR_GDPLS,Colombia,610698333.64
2005,VC_DSR_GDPLS,Costa Rica,369033527.83
2006,VC_DSR_GDPLS,Costa Rica,27418997.32
2007,VC_DSR_GDPLS,Costa Rica,289521343.75
2008,VC_DSR_GDPLS,Costa Rica,111495036.62
2009,VC_DSR_GDPLS,Costa Rica,538125744.62
2010,VC_DSR_GDPLS,Costa Rica,345994293.55
2011,VC_DSR_GDPLS,Costa Rica,0.0
2012,VC_DSR_GDPLS,Costa Rica,128367504.61
2013,VC_DSR_GDPLS,Costa Rica,0.0
2014,VC_DSR_GDPLS,Costa Rica,55643290.13
2015,VC_DSR_GDPLS,Costa Rica,182130651.65
2016,VC_DSR_GDPLS,Costa Rica,56705589.9
2017,VC_DSR_GDPLS,Costa Rica,569760665.63
2018,VC_DSR_GDPLS,Costa Rica,15772148.32
2019,VC_DSR_GDPLS,Costa Rica,61238331.25
2020,VC_DSR_GDPLS,Costa Rica,220789836.74
2021,VC_DSR_GDPLS,Costa Rica,33543752922.72
2017,VC_DSR_GDPLS,Croatia,374162394.99
2005,VC_DSR_GDPLS,Cyprus,0.0
2006,VC_DSR_GDPLS,Cyprus,4236059.47
2007,VC_DSR_GDPLS,Cyprus,513045.07
2008,VC_DSR_GDPLS,Cyprus,2901.99
2009,VC_DSR_GDPLS,Cyprus,1867647.89
2010,VC_DSR_GDPLS,Cyprus,687461.09
2011,VC_DSR_GDPLS,Cyprus,144672032.29
2012,VC_DSR_GDPLS,Cyprus,385912.89
2013,VC_DSR_GDPLS,Cyprus,896601.54
2014,VC_DSR_GDPLS,Cyprus,506856.14
2015,VC_DSR_GDPLS,Cyprus,460889.83
2017,VC_DSR_GDPLS,Cyprus,5724774.59
2018,VC_DSR_GDPLS,Cyprus,4191750.0
2016,VC_DSR_GDPLS,Czechia,5441917.08
2005,VC_DSR_GDPLS,Albania,18256616.1
2006,VC_DSR_GDPLS,Albania,2567808.89
2007,VC_DSR_GDPLS,Albania,944480.22
2008,VC_DSR_GDPLS,Albania,1336500.0
2009,VC_DSR_GDPLS,Albania,17771520.0
2010,VC_DSR_GDPLS,Albania,78754844.06
2011,VC_DSR_GDPLS,Albania,2452437.96
2012,VC_DSR_GDPLS,Albania,3760518.06
2013,VC_DSR_GDPLS,Albania,8521533.36
2014,VC_DSR_GDPLS,Albania,7371225.0
2015,VC_DSR_GDPLS,Albania,2249802.0
2016,VC_DSR_GDPLS,Albania,1206765.0
2017,VC_DSR_GDPLS,Czechia,299509931.7
2005,VC_DSR_GDPLS,Estonia,84566596.19
2006,VC_DSR_GDPLS,Estonia,12545477.36
2007,VC_DSR_GDPLS,Estonia,0.0
2008,VC_DSR_GDPLS,Estonia,13388018.16
2009,VC_DSR_GDPLS,Estonia,0.0
2010,VC_DSR_GDPLS,Estonia,111251.65
2011,VC_DSR_GDPLS,Estonia,2783910.51
2012,VC_DSR_GDPLS,Estonia,0.0
2013,VC_DSR_GDPLS,Estonia,0.0
2014,VC_DSR_GDPLS,Estonia,0.0
2015,VC_DSR_GDPLS,Estonia,3483870.48
2018,VC_DSR_GDPLS,Albania,5394486.78
2019,VC_DSR_GDPLS,Albania,2965623.0
2020,VC_DSR_GDPLS,Albania,513375.0
2009,VC_DSR_GDPLS,Australia,0.0
2010,VC_DSR_GDPLS,Australia,106310587.5
2011,VC_DSR_GDPLS,Australia,113518125.0
2012,VC_DSR_GDPLS,Australia,6884325.0
2013,VC_DSR_GDPLS,Australia,59952750.0
2014,VC_DSR_GDPLS,Australia,2559375.0
2015,VC_DSR_GDPLS,Australia,78455662.5
2016,VC_DSR_GDPLS,Australia,38915662.5
2017,VC_DSR_GDPLS,Australia,92571562.5
2018,VC_DSR_GDPLS,Australia,186478875.0
2019,VC_DSR_GDPLS,Australia,318142502.71
2020,VC_DSR_GDPLS,Australia,167752485.0
2021,VC_DSR_GDPLS,Australia,149877789.46
2018,VC_DSR_GDPLS,Austria,644645654.9
2019,VC_DSR_GDPLS,Austria,149159281.9
2016,VC_DSR_GDPLS,Estonia,2401979.75
2017,VC_DSR_GDPLS,Estonia,3581089.33
2018,VC_DSR_GDPLS,Estonia,0.0
2005,VC_DSR_GDPLS,Finland,2200200.0
2006,VC_DSR_GDPLS,Finland,3755587.5
2007,VC_DSR_GDPLS,Finland,2917200.0
2020,VC_DSR_GDPLS,Austria,206574112.02
2005,VC_DSR_GDPLS,Armenia,825187.5
2006,VC_DSR_GDPLS,Armenia,1301025.0
2007,VC_DSR_GDPLS,Armenia,2328450.0
2008,VC_DSR_GDPLS,Armenia,1055362.5
2009,VC_DSR_GDPLS,Armenia,1372275.0
2008,VC_DSR_GDPLS,Finland,3256800.0
2009,VC_DSR_GDPLS,Finland,2495812.5
2010,VC_DSR_GDPLS,Finland,2483250.0
2011,VC_DSR_GDPLS,Finland,1953675.0
2012,VC_DSR_GDPLS,Finland,1589587.5
